country;variable;percentile;year;value;age;pop
QQ-MER;mgweal999i;p0p100;1995;-1100650913.0;999;i
QQ-MER;mgweal999i;p0p100;1996;-704443483.0;999;i
QQ-MER;mgweal999i;p0p100;1997;-916610186.0;999;i
QQ-MER;mgweal999i;p0p100;1998;-1050067368.0;999;i
QQ-MER;mgweal999i;p0p100;1999;-770027327.0;999;i
QQ-MER;mgweal999i;p0p100;2000;-564314519.0;999;i
QQ-MER;mgweal999i;p0p100;2001;-781508680.0;999;i
QQ-MER;mgweal999i;p0p100;2002;-761775634.0;999;i
QQ-MER;mgweal999i;p0p100;2003;-580519696.0;999;i
QQ-MER;mgweal999i;p0p100;2004;-79983738.0;999;i
QQ-MER;mgweal999i;p0p100;2005;1129687802.0;999;i
QQ-MER;mgweal999i;p0p100;2006;3112386882.0;999;i
QQ-MER;mgweal999i;p0p100;2007;3853659050.0;999;i
QQ-MER;mgweal999i;p0p100;2008;4284171428.0;999;i
QQ-MER;mgweal999i;p0p100;2009;4243682389.0;999;i
QQ-MER;mgweal999i;p0p100;2010;4924932989.0;999;i
QQ-MER;mgweal999i;p0p100;2011;4817547843.0;999;i
QQ-MER;mgweal999i;p0p100;2012;3929898810.0;999;i
QQ-MER;mgweal999i;p0p100;2013;2882656339.0;999;i
QQ-MER;mgweal999i;p0p100;2014;3065137734.0;999;i
QQ-MER;mgweal999i;p0p100;2015;2796612967.0;999;i
QQ-MER;mgweal999i;p0p100;2016;2026166396.0;999;i
QQ-MER;mgweal999i;p0p100;2017;1546070004.0;999;i
QQ-MER;mgweal999i;p0p100;2018;925372381.0;999;i
QQ-MER;mgweal999i;p0p100;2019;-49246383.0;999;i
QQ-MER;mgweal999i;p0p100;2020;-615992104.0;999;i
QQ-MER;mgweal999i;p0p100;2021;-1261695148.0;999;i
QQ-MER;mndpro999i;p0p100;1960;2951325376.0;999;i
QQ-MER;mndpro999i;p0p100;1961;3116312064.0;999;i
QQ-MER;mndpro999i;p0p100;1962;3296819776.0;999;i
QQ-MER;mndpro999i;p0p100;1963;3449722752.0;999;i
QQ-MER;mndpro999i;p0p100;1964;3722528384.0;999;i
