country;variable;percentile;year;value;age;pop
QR-MER;mgweal999i;p0p100;1995;420089732624.0;999;i
QR-MER;mgweal999i;p0p100;1996;448563011376.0;999;i
QR-MER;mgweal999i;p0p100;1997;494227346288.0;999;i
QR-MER;mgweal999i;p0p100;1998;515790960088.0;999;i
QR-MER;mgweal999i;p0p100;1999;514744908320.0;999;i
QR-MER;mgweal999i;p0p100;2000;576439556160.0;999;i
QR-MER;mgweal999i;p0p100;2001;608208526510.0;999;i
QR-MER;mgweal999i;p0p100;2002;608910827822.0;999;i
QR-MER;mgweal999i;p0p100;2003;609013454932.0;999;i
QR-MER;mgweal999i;p0p100;2004;733049079608.0;999;i
QR-MER;mgweal999i;p0p100;2005;870096949218.0;999;i
QR-MER;mgweal999i;p0p100;2006;1024267263792.0;999;i
QR-MER;mgweal999i;p0p100;2007;1134416384576.0;999;i
QR-MER;mgweal999i;p0p100;2008;1211528131212.0;999;i
QR-MER;mgweal999i;p0p100;2009;1063995201920.0;999;i
QR-MER;mgweal999i;p0p100;2010;1030452058976.0;999;i
QR-MER;mgweal999i;p0p100;2011;1036016992640.0;999;i
QR-MER;mgweal999i;p0p100;2012;1051172936352.0;999;i
QR-MER;mgweal999i;p0p100;2013;1118342747712.0;999;i
QR-MER;mgweal999i;p0p100;2014;1086154661824.0;999;i
QR-MER;mgweal999i;p0p100;2015;996514693792.0;999;i
QR-MER;mgweal999i;p0p100;2016;863716562744.0;999;i
QR-MER;mgweal999i;p0p100;2017;759087241952.0;999;i
QR-MER;mgweal999i;p0p100;2018;701502374528.0;999;i
QR-MER;mgweal999i;p0p100;2019;621734374528.0;999;i
QR-MER;mgweal999i;p0p100;2020;540254139200.0;999;i
QR-MER;mgweal999i;p0p100;2021;469588194240.0;999;i
QR-MER;mndpro999i;p0p100;1950;221635272192.0;999;i
QR-MER;mndpro999i;p0p100;1951;232765230080.0;999;i
QR-MER;mndpro999i;p0p100;1952;241017976064.0;999;i
QR-MER;mndpro999i;p0p100;1953;252315395712.0;999;i
QR-MER;mndpro999i;p0p100;1954;266648623872.0;999;i
QR-MER;mndpro999i;p0p100;1955;284186885504.0;999;i
QR-MER;mndpro999i;p0p100;1956;293091954816.0;999;i
QR-MER;mndpro999i;p0p100;1957;317186112256.0;999;i
QR-MER;mndpro999i;p0p100;1958;333097939840.0;999;i
QR-MER;mndpro999i;p0p100;1959;339714379264.0;999;i
QR-MER;mndpro999i;p0p100;1960;361670196512.0;999;i
QR-MER;mndpro999i;p0p100;1961;389909028576.0;999;i
QR-MER;mndpro999i;p0p100;1962;411140020832.0;999;i
QR-MER;mndpro999i;p0p100;1963;415045295040.0;999;i
QR-MER;mndpro999i;p0p100;1964;444825920640.0;999;i
QR-MER;mndpro999i;p0p100;1965;463491960128.0;999;i
QR-MER;mndpro999i;p0p100;1966;483184660032.0;999;i
QR-MER;mndpro999i;p0p100;1967;499795615872.0;999;i
QR-MER;mndpro999i;p0p100;1968;532169286080.0;999;i
QR-MER;mndpro999i;p0p100;1969;566761844800.0;999;i
QR-MER;mndpro999i;p0p100;1970;605090280640.0;999;i
QR-MER;mndpro999i;p0p100;1971;643325705344.0;999;i
QR-MER;mndpro999i;p0p100;1972;686483473024.0;999;i
QR-MER;mndpro999i;p0p100;1973;750028972928.0;999;i
QR-MER;mndpro999i;p0p100;1974;798906414976.0;999;i
QR-MER;mndpro999i;p0p100;1975;818833545216.0;999;i
QR-MER;mndpro999i;p0p100;1976;872960986496.0;999;i
QR-MER;mndpro999i;p0p100;1977;917292428928.0;999;i
QR-MER;mndpro999i;p0p100;1978;942066052224.0;999;i
QR-MER;mndpro999i;p0p100;1979;1001572116992.0;999;i
QR-MER;mndpro999i;p0p100;1980;1056000770560.0;999;i
QR-MER;mndpro999i;p0p100;1981;1029844529280.0;999;i
QR-MER;mndpro999i;p0p100;1982;1019592826880.0;999;i
QR-MER;mndpro999i;p0p100;1983;990358994944.0;999;i
QR-MER;mndpro999i;p0p100;1984;1029274091776.0;999;i
QR-MER;mndpro999i;p0p100;1985;1070287457536.0;999;i
QR-MER;mndpro999i;p0p100;1986;1144649679488.0;999;i
QR-MER;mndpro999i;p0p100;1987;1191116099200.0;999;i
QR-MER;mndpro999i;p0p100;1988;1199603080320.0;999;i
QR-MER;mndpro999i;p0p100;1989;1197548283520.0;999;i
QR-MER;mndpro999i;p0p100;1990;1178627971200.0;999;i
QR-MER;mndpro999i;p0p100;1991;1225884314880.0;999;i
QR-MER;mndpro999i;p0p100;1992;1258296129024.0;999;i
QR-MER;mndpro999i;p0p100;1993;1317332256256.0;999;i
QR-MER;mndpro999i;p0p100;1994;1382878162688.0;999;i
QR-MER;mndpro999i;p0p100;1995;1431235055616.0;999;i
QR-MER;mndpro999i;p0p100;1996;1464489726848.0;999;i
QR-MER;mndpro999i;p0p100;1997;1537114017536.0;999;i
QR-MER;mndpro999i;p0p100;1998;1550094951680.0;999;i
QR-MER;mndpro999i;p0p100;1999;1524534651648.0;999;i
QR-MER;mndpro999i;p0p100;2000;1598901301760.0;999;i
QR-MER;mndpro999i;p0p100;2001;1610449971328.0;999;i
QR-MER;mndpro999i;p0p100;2002;1600764864256.0;999;i
QR-MER;mndpro999i;p0p100;2003;1622764625664.0;999;i
QR-MER;mndpro999i;p0p100;2004;1772559616640.0;999;i
QR-MER;mndpro999i;p0p100;2005;1866344693632.0;999;i
QR-MER;mndpro999i;p0p100;2006;1972446297344.0;999;i
QR-MER;mndpro999i;p0p100;2007;2094917925632.0;999;i
QR-MER;mndpro999i;p0p100;2008;2212085954944.0;999;i
QR-MER;mndpro999i;p0p100;2009;2174975200000.0;999;i
QR-MER;mndpro999i;p0p100;2010;2327555572224.0;999;i
QR-MER;mndpro999i;p0p100;2011;2454014736640.0;999;i
QR-MER;mndpro999i;p0p100;2012;2523081155584.0;999;i
QR-MER;mndpro999i;p0p100;2013;2616533560832.0;999;i
QR-MER;mndpro999i;p0p100;2014;2620014654208.0;999;i
QR-MER;mndpro999i;p0p100;2015;2577492152064.0;999;i
QR-MER;mndpro999i;p0p100;2016;2489033230080.0;999;i
QR-MER;mndpro999i;p0p100;2017;2494319219968.0;999;i
QR-MER;mndpro999i;p0p100;2018;2492083139328.0;999;i
QR-MER;mndpro999i;p0p100;2019;2471702163456.0;999;i
QR-MER;mndpro999i;p0p100;2020;2278625436416.0;999;i
QR-MER;mndpro999i;p0p100;2021;2309075569792.0;999;i
QR-MER;mgdpro999i;p0p100;1950;243427550208.0;999;i
