country;variable;percentile;year;value;age;pop
QS-MER;ahweal992j;p72p100;1995;9376.6;992;j
QS-MER;ahweal992j;p72p100;1996;10048.1;992;j
QS-MER;ahweal992j;p72p100;1997;10184.3;992;j
QS-MER;ahweal992j;p72p100;1998;9421.1;992;j
QS-MER;ahweal992j;p72p100;1999;9926.5;992;j
QS-MER;ahweal992j;p72p100;2000;10569.1;992;j
QS-MER;ahweal992j;p72p100;2001;10936.0;992;j
QS-MER;ahweal992j;p72p100;2002;11402.0;992;j
QS-MER;ahweal992j;p72p100;2003;12290.7;992;j
QS-MER;ahweal992j;p72p100;2004;13034.0;992;j
QS-MER;ahweal992j;p72p100;2005;13780.3;992;j
QS-MER;ahweal992j;p72p100;2006;14680.4;992;j
QS-MER;ahweal992j;p72p100;2007;15848.3;992;j
QS-MER;ahweal992j;p72p100;2008;17747.0;992;j
QS-MER;ahweal992j;p72p100;2009;17887.6;992;j
QS-MER;ahweal992j;p72p100;2010;20137.5;992;j
QS-MER;ahweal992j;p72p100;2011;20921.4;992;j
QS-MER;ahweal992j;p72p100;2012;21730.0;992;j
QS-MER;ahweal992j;p72p100;2013;22599.9;992;j
QS-MER;ahweal992j;p72p100;2014;23448.6;992;j
QS-MER;ahweal992j;p72p100;2015;23986.3;992;j
QS-MER;ahweal992j;p72p100;2016;25819.5;992;j
QS-MER;ahweal992j;p72p100;2017;27333.1;992;j
QS-MER;ahweal992j;p72p100;2018;28786.0;992;j
QS-MER;ahweal992j;p72p100;2019;30958.8;992;j
QS-MER;ahweal992j;p72p100;2020;30965.5;992;j
QS-MER;ahweal992j;p72p100;2021;32409.2;992;j
QS-MER;aptinc992j;p58p59;1980;764.9;992;j
QS-MER;aptinc992j;p58p59;1981;767.6;992;j
QS-MER;aptinc992j;p58p59;1982;767.7;992;j
QS-MER;aptinc992j;p58p59;1983;809.7;992;j
QS-MER;aptinc992j;p58p59;1984;814.8;992;j
QS-MER;aptinc992j;p58p59;1985;807.6;992;j
QS-MER;aptinc992j;p58p59;1986;797.2;992;j
QS-MER;aptinc992j;p58p59;1987;837.9;992;j
QS-MER;aptinc992j;p58p59;1988;866.0;992;j
QS-MER;aptinc992j;p58p59;1989;913.0;992;j
QS-MER;aptinc992j;p58p59;1990;937.2;992;j
QS-MER;aptinc992j;p58p59;1991;948.0;992;j
QS-MER;aptinc992j;p58p59;1992;974.4;992;j
QS-MER;aptinc992j;p58p59;1993;1058.6;992;j
QS-MER;aptinc992j;p58p59;1994;1094.1;992;j
QS-MER;aptinc992j;p58p59;1995;1141.2;992;j
QS-MER;aptinc992j;p58p59;1996;1189.1;992;j
QS-MER;aptinc992j;p58p59;1997;1290.3;992;j
QS-MER;aptinc992j;p58p59;1998;1268.8;992;j
QS-MER;aptinc992j;p58p59;1999;1203.0;992;j
QS-MER;aptinc992j;p58p59;2000;1353.1;992;j
QS-MER;aptinc992j;p58p59;2001;1364.0;992;j
QS-MER;aptinc992j;p58p59;2002;1398.7;992;j
QS-MER;aptinc992j;p58p59;2003;1440.4;992;j
QS-MER;aptinc992j;p58p59;2004;1494.3;992;j
QS-MER;aptinc992j;p58p59;2005;1549.1;992;j
QS-MER;aptinc992j;p58p59;2006;1643.5;992;j
QS-MER;aptinc992j;p58p59;2007;1739.0;992;j
QS-MER;aptinc992j;p58p59;2008;1802.2;992;j
QS-MER;aptinc992j;p58p59;2009;1811.9;992;j
QS-MER;aptinc992j;p58p59;2010;2064.8;992;j
QS-MER;aptinc992j;p58p59;2011;2145.5;992;j
QS-MER;aptinc992j;p58p59;2012;2216.8;992;j
QS-MER;aptinc992j;p58p59;2013;2327.4;992;j
QS-MER;aptinc992j;p58p59;2014;2397.3;992;j
QS-MER;aptinc992j;p58p59;2015;2457.7;992;j
QS-MER;aptinc992j;p58p59;2016;2626.1;992;j
QS-MER;aptinc992j;p58p59;2017;2746.2;992;j
QS-MER;aptinc992j;p58p59;2018;2740.6;992;j
QS-MER;aptinc992j;p58p59;2019;2830.8;992;j
QS-MER;aptinc992j;p58p59;2020;2719.4;992;j
QS-MER;aptinc992j;p58p59;2021;2772.2;992;j
QS-MER;bhweal992j;p94p100;1995;9.21171283721924;992;j
QS-MER;bhweal992j;p94p100;1996;8.99118518829346;992;j
QS-MER;bhweal992j;p94p100;1997;8.54375457763672;992;j
QS-MER;bhweal992j;p94p100;1998;8.1087007522583;992;j
QS-MER;bhweal992j;p94p100;1999;8.44585609436035;992;j
QS-MER;bhweal992j;p94p100;2000;7.4030613899231;992;j
QS-MER;bhweal992j;p94p100;2001;6.88804626464844;992;j
QS-MER;bhweal992j;p94p100;2002;6.46530914306641;992;j
QS-MER;bhweal992j;p94p100;2003;6.37719917297363;992;j
QS-MER;bhweal992j;p94p100;2004;6.23375177383423;992;j
QS-MER;bhweal992j;p94p100;2005;5.8537769317627;992;j
QS-MER;bhweal992j;p94p100;2006;5.72142314910889;992;j
QS-MER;bhweal992j;p94p100;2007;5.71291208267212;992;j
QS-MER;bhweal992j;p94p100;2008;5.7867431640625;992;j
QS-MER;bhweal992j;p94p100;2009;5.44164562225342;992;j
QS-MER;bhweal992j;p94p100;2010;5.68880319595337;992;j
QS-MER;bhweal992j;p94p100;2011;5.65774917602539;992;j
QS-MER;bhweal992j;p94p100;2012;5.74751996994019;992;j
QS-MER;bhweal992j;p94p100;2013;5.66466474533081;992;j
QS-MER;bhweal992j;p94p100;2014;5.54004526138306;992;j
QS-MER;bhweal992j;p94p100;2015;5.26561975479126;992;j
QS-MER;bhweal992j;p94p100;2016;5.12031650543213;992;j
QS-MER;bhweal992j;p94p100;2017;5.1663875579834;992;j
QS-MER;bhweal992j;p94p100;2018;5.05005931854248;992;j
QS-MER;bhweal992j;p94p100;2019;5.06913709640503;992;j
QS-MER;bhweal992j;p94p100;2020;4.9572286605835;992;j
QS-MER;bhweal992j;p94p100;2021;4.96547603607178;992;j
QS-MER;bptinc992j;p32p100;1980;6.89012956619263;992;j
QS-MER;bptinc992j;p32p100;1981;6.77666473388672;992;j
QS-MER;bptinc992j;p32p100;1982;6.7436408996582;992;j
QS-MER;bptinc992j;p32p100;1983;6.59682035446167;992;j
QS-MER;bptinc992j;p32p100;1984;6.33879566192627;992;j
QS-MER;bptinc992j;p32p100;1985;6.21209383010864;992;j
QS-MER;bptinc992j;p32p100;1986;6.1813530921936;992;j
QS-MER;bptinc992j;p32p100;1987;6.37272596359253;992;j
QS-MER;bptinc992j;p32p100;1988;6.72794342041016;992;j
QS-MER;bptinc992j;p32p100;1989;6.96938180923462;992;j
QS-MER;bptinc992j;p32p100;1990;7.16397714614868;992;j
QS-MER;bptinc992j;p32p100;1991;7.22935724258423;992;j
QS-MER;bptinc992j;p32p100;1992;7.29415321350098;992;j
QS-MER;bptinc992j;p32p100;1993;6.94262552261353;992;j
QS-MER;bptinc992j;p32p100;1994;7.16510200500488;992;j
QS-MER;bptinc992j;p32p100;1995;7.22882652282715;992;j
QS-MER;bptinc992j;p32p100;1996;7.20163774490356;992;j
QS-MER;bptinc992j;p32p100;1997;6.32098293304443;992;j
QS-MER;bptinc992j;p32p100;1998;5.48294305801392;992;j
QS-MER;bptinc992j;p32p100;1999;5.58379554748535;992;j
QS-MER;bptinc992j;p32p100;2000;5.37656211853027;992;j
QS-MER;bptinc992j;p32p100;2001;5.49408864974976;992;j
QS-MER;bptinc992j;p32p100;2002;5.46791744232178;992;j
QS-MER;bptinc992j;p32p100;2003;5.49379587173462;992;j
QS-MER;bptinc992j;p32p100;2004;5.64649724960327;992;j
QS-MER;bptinc992j;p32p100;2005;5.65285301208496;992;j
QS-MER;bptinc992j;p32p100;2006;5.50615406036377;992;j
QS-MER;bptinc992j;p32p100;2007;5.59656381607056;992;j
QS-MER;bptinc992j;p32p100;2008;6.0145525932312;992;j
QS-MER;bptinc992j;p32p100;2009;5.90790939331055;992;j
QS-MER;bptinc992j;p32p100;2010;5.53308486938477;992;j
QS-MER;bptinc992j;p32p100;2011;5.5188045501709;992;j
QS-MER;bptinc992j;p32p100;2012;5.27517890930176;992;j
QS-MER;bptinc992j;p32p100;2013;5.08294153213501;992;j
QS-MER;bptinc992j;p32p100;2014;5.11297655105591;992;j
QS-MER;bptinc992j;p32p100;2015;5.12779760360718;992;j
QS-MER;bptinc992j;p32p100;2016;4.96145582199097;992;j
QS-MER;bptinc992j;p32p100;2017;4.82729339599609;992;j
QS-MER;bptinc992j;p32p100;2018;5.3166708946228;992;j
QS-MER;bptinc992j;p32p100;2019;5.23066186904907;992;j
QS-MER;bptinc992j;p32p100;2020;5.11474132537842;992;j
QS-MER;bptinc992j;p32p100;2021;5.19920110702515;992;j
QS-MER;bptinc992j;p54p100;1980;4.82037687301636;992;j
QS-MER;bptinc992j;p54p100;1981;4.85423517227173;992;j
QS-MER;bptinc992j;p54p100;1982;4.84983348846435;992;j
QS-MER;bptinc992j;p54p100;1983;4.70471668243408;992;j
QS-MER;bptinc992j;p54p100;1984;4.56965017318726;992;j
QS-MER;bptinc992j;p54p100;1985;4.45069980621338;992;j
QS-MER;bptinc992j;p54p100;1986;4.46351623535156;992;j
QS-MER;bptinc992j;p54p100;1987;4.47706937789917;992;j
QS-MER;bptinc992j;p54p100;1988;4.64192914962769;992;j
QS-MER;bptinc992j;p54p100;1989;4.71236658096313;992;j
QS-MER;bptinc992j;p54p100;1990;4.82598304748535;992;j
QS-MER;bptinc992j;p54p100;1991;4.90915727615356;992;j
QS-MER;bptinc992j;p54p100;1992;4.95452260971069;992;j
QS-MER;bptinc992j;p54p100;1993;4.78250122070312;992;j
QS-MER;bptinc992j;p54p100;1994;4.82832765579224;992;j
QS-MER;bptinc992j;p54p100;1995;4.90305471420288;992;j
QS-MER;bptinc992j;p54p100;1996;4.89778184890747;992;j
QS-MER;bptinc992j;p54p100;1997;4.56464338302612;992;j
QS-MER;bptinc992j;p54p100;1998;4.16554498672485;992;j
QS-MER;bptinc992j;p54p100;1999;4.2475380897522;992;j
QS-MER;bptinc992j;p54p100;2000;4.11404800415039;992;j
QS-MER;bptinc992j;p54p100;2001;4.1330976486206;992;j
QS-MER;bptinc992j;p54p100;2002;4.10502862930298;992;j
QS-MER;bptinc992j;p54p100;2003;4.12200593948364;992;j
QS-MER;bptinc992j;p54p100;2004;4.19292497634888;992;j
QS-MER;bptinc992j;p54p100;2005;4.23487186431885;992;j
QS-MER;bptinc992j;p54p100;2006;4.20015287399292;992;j
