country;variable;percentile;year;value;age;pop
QS;ahweal992j;p26p100;1995;6787.3;992;j
QS;ahweal992j;p26p100;1996;7265.6;992;j
QS;ahweal992j;p26p100;1997;7252.6;992;j
QS;ahweal992j;p26p100;1998;6818.6;992;j
QS;ahweal992j;p26p100;1999;7041.4;992;j
QS;ahweal992j;p26p100;2000;7897.5;992;j
QS;ahweal992j;p26p100;2001;8370.0;992;j
QS;ahweal992j;p26p100;2002;8829.5;992;j
QS;ahweal992j;p26p100;2003;9540.8;992;j
QS;ahweal992j;p26p100;2004;10174.6;992;j
QS;ahweal992j;p26p100;2005;10996.0;992;j
QS;ahweal992j;p26p100;2006;11914.9;992;j
QS;ahweal992j;p26p100;2007;13053.8;992;j
QS;ahweal992j;p26p100;2008;14433.8;992;j
QS;ahweal992j;p26p100;2009;15005.1;992;j
QS;ahweal992j;p26p100;2010;16531.3;992;j
QS;ahweal992j;p26p100;2011;17513.5;992;j
QS;ahweal992j;p26p100;2012;18158.9;992;j
QS;ahweal992j;p26p100;2013;18899.5;992;j
QS;ahweal992j;p26p100;2014;19716.0;992;j
QS;ahweal992j;p26p100;2015;20583.7;992;j
QS;ahweal992j;p26p100;2016;22232.4;992;j
QS;ahweal992j;p26p100;2017;23695.2;992;j
QS;ahweal992j;p26p100;2018;25384.5;992;j
QS;ahweal992j;p26p100;2019;27079.0;992;j
QS;ahweal992j;p26p100;2020;27413.8;992;j
QS;ahweal992j;p26p100;2021;29229.1;992;j
QS;ahweal992j;p28p100;1995;6969.5;992;j
QS;ahweal992j;p28p100;1996;7460.7;992;j
QS;ahweal992j;p28p100;1997;7447.3;992;j
QS;ahweal992j;p28p100;1998;7001.3;992;j
QS;ahweal992j;p28p100;1999;7230.1;992;j
QS;ahweal992j;p28p100;2000;8108.4;992;j
QS;ahweal992j;p28p100;2001;8592.9;992;j
QS;ahweal992j;p28p100;2002;9063.9;992;j
QS;ahweal992j;p28p100;2003;9794.1;992;j
QS;ahweal992j;p28p100;2004;10444.9;992;j
QS;ahweal992j;p28p100;2005;11287.8;992;j
QS;ahweal992j;p28p100;2006;12230.5;992;j
QS;ahweal992j;p28p100;2007;13399.7;992;j
QS;ahweal992j;p28p100;2008;14816.5;992;j
QS;ahweal992j;p28p100;2009;15401.9;992;j
QS;ahweal992j;p28p100;2010;16968.8;992;j
QS;ahweal992j;p28p100;2011;17977.3;992;j
QS;ahweal992j;p28p100;2012;18640.6;992;j
QS;ahweal992j;p28p100;2013;19399.6;992;j
QS;ahweal992j;p28p100;2014;20238.3;992;j
QS;ahweal992j;p28p100;2015;21126.7;992;j
QS;ahweal992j;p28p100;2016;22819.7;992;j
QS;ahweal992j;p28p100;2017;24321.5;992;j
QS;ahweal992j;p28p100;2018;26055.4;992;j
QS;ahweal992j;p28p100;2019;27794.5;992;j
QS;ahweal992j;p28p100;2020;28137.6;992;j
QS;ahweal992j;p28p100;2021;30001.0;992;j
QS;ahweal992j;p43p100;1995;8689.8;992;j
QS;ahweal992j;p43p100;1996;9303.0;992;j
QS;ahweal992j;p43p100;1997;9284.8;992;j
QS;ahweal992j;p43p100;1998;8724.8;992;j
QS;ahweal992j;p43p100;1999;9010.1;992;j
QS;ahweal992j;p43p100;2000;10091.4;992;j
QS;ahweal992j;p43p100;2001;10683.0;992;j
QS;ahweal992j;p43p100;2002;11257.7;992;j
QS;ahweal992j;p43p100;2003;12166.9;992;j
QS;ahweal992j;p43p100;2004;12972.7;992;j
QS;ahweal992j;p43p100;2005;14016.2;992;j
QS;ahweal992j;p43p100;2006;15182.8;992;j
QS;ahweal992j;p43p100;2007;16628.6;992;j
QS;ahweal992j;p43p100;2008;18390.4;992;j
QS;ahweal992j;p43p100;2009;19097.9;992;j
QS;ahweal992j;p43p100;2010;21054.3;992;j
QS;ahweal992j;p43p100;2011;22309.5;992;j
QS;ahweal992j;p43p100;2012;23142.4;992;j
QS;ahweal992j;p43p100;2013;24064.0;992;j
QS;ahweal992j;p43p100;2014;25113.8;992;j
QS;ahweal992j;p43p100;2015;26186.8;992;j
QS;ahweal992j;p43p100;2016;28299.5;992;j
QS;ahweal992j;p43p100;2017;30155.0;992;j
QS;ahweal992j;p43p100;2018;32301.7;992;j
QS;ahweal992j;p43p100;2019;34454.6;992;j
QS;ahweal992j;p43p100;2020;34871.3;992;j
QS;ahweal992j;p43p100;2021;37181.4;992;j
QS;ahweal992j;p59p100;1995;11712.8;992;j
QS;ahweal992j;p59p100;1996;12542.9;992;j
QS;ahweal992j;p59p100;1997;12511.4;992;j
QS;ahweal992j;p59p100;1998;11745.7;992;j
QS;ahweal992j;p59p100;1999;12135.1;992;j
QS;ahweal992j;p59p100;2000;13547.5;992;j
QS;ahweal992j;p59p100;2001;14305.1;992;j
QS;ahweal992j;p59p100;2002;15048.7;992;j
QS;ahweal992j;p59p100;2003;16262.7;992;j
QS;ahweal992j;p59p100;2004;17337.0;992;j
QS;ahweal992j;p59p100;2005;18721.6;992;j
QS;ahweal992j;p59p100;2006;20264.8;992;j
QS;ahweal992j;p59p100;2007;22179.7;992;j
QS;ahweal992j;p59p100;2008;24529.9;992;j
QS;ahweal992j;p59p100;2009;25429.2;992;j
QS;ahweal992j;p59p100;2010;28061.2;992;j
QS;ahweal992j;p59p100;2011;29746.8;992;j
QS;ahweal992j;p59p100;2012;30886.6;992;j
QS;ahweal992j;p59p100;2013;32070.1;992;j
QS;ahweal992j;p59p100;2014;33489.6;992;j
QS;ahweal992j;p59p100;2015;34844.4;992;j
QS;ahweal992j;p59p100;2016;37672.1;992;j
QS;ahweal992j;p59p100;2017;40122.8;992;j
QS;ahweal992j;p59p100;2018;42972.0;992;j
QS;ahweal992j;p59p100;2019;45827.1;992;j
QS;ahweal992j;p59p100;2020;46349.9;992;j
QS;ahweal992j;p59p100;2021;49433.1;992;j
QS;aptinc992j;p86p87;1980;5661.2;992;j
QS;aptinc992j;p86p87;1981;5647.4;992;j
QS;aptinc992j;p86p87;1982;5591.0;992;j
QS;aptinc992j;p86p87;1983;5779.7;992;j
QS;aptinc992j;p86p87;1984;5665.0;992;j
QS;aptinc992j;p86p87;1985;5490.6;992;j
QS;aptinc992j;p86p87;1986;5461.5;992;j
QS;aptinc992j;p86p87;1987;5762.9;992;j
QS;aptinc992j;p86p87;1988;6154.5;992;j
QS;aptinc992j;p86p87;1989;6479.8;992;j
QS;aptinc992j;p86p87;1990;6773.9;992;j
QS;aptinc992j;p86p87;1991;6931.0;992;j
QS;aptinc992j;p86p87;1992;7135.6;992;j
