country;variable;percentile;year;value;age;pop
QT-MER;ahweal992j;p14p100;1995;18730.1;992;j
QT-MER;ahweal992j;p14p100;1996;18467.8;992;j
QT-MER;ahweal992j;p14p100;1997;17904.9;992;j
QT-MER;ahweal992j;p14p100;1998;17104.4;992;j
QT-MER;ahweal992j;p14p100;1999;17133.4;992;j
QT-MER;ahweal992j;p14p100;2000;17462.9;992;j
QT-MER;ahweal992j;p14p100;2001;17976.2;992;j
QT-MER;ahweal992j;p14p100;2002;17459.1;992;j
QT-MER;ahweal992j;p14p100;2003;18081.1;992;j
QT-MER;ahweal992j;p14p100;2004;19635.2;992;j
QT-MER;ahweal992j;p14p100;2005;22056.7;992;j
QT-MER;ahweal992j;p14p100;2006;24884.4;992;j
QT-MER;ahweal992j;p14p100;2007;26750.3;992;j
QT-MER;ahweal992j;p14p100;2008;25705.3;992;j
QT-MER;ahweal992j;p14p100;2009;24880.1;992;j
QT-MER;ahweal992j;p14p100;2010;25677.6;992;j
QT-MER;ahweal992j;p14p100;2011;25039.0;992;j
QT-MER;ahweal992j;p14p100;2012;24700.7;992;j
QT-MER;ahweal992j;p14p100;2013;25420.8;992;j
QT-MER;ahweal992j;p14p100;2014;25968.2;992;j
QT-MER;ahweal992j;p14p100;2015;26055.8;992;j
QT-MER;ahweal992j;p14p100;2016;25127.2;992;j
QT-MER;ahweal992j;p14p100;2017;25180.2;992;j
QT-MER;ahweal992j;p14p100;2018;25084.3;992;j
QT-MER;ahweal992j;p14p100;2019;24322.2;992;j
QT-MER;ahweal992j;p14p100;2020;23155.2;992;j
QT-MER;ahweal992j;p14p100;2021;23762.7;992;j
QT-MER;aptinc992j;p67p68;1980;5639.4;992;j
QT-MER;aptinc992j;p67p68;1981;5565.1;992;j
QT-MER;aptinc992j;p67p68;1982;5240.0;992;j
QT-MER;aptinc992j;p67p68;1983;4991.9;992;j
QT-MER;aptinc992j;p67p68;1984;5193.5;992;j
QT-MER;aptinc992j;p67p68;1985;4957.5;992;j
QT-MER;aptinc992j;p67p68;1986;4920.3;992;j
QT-MER;aptinc992j;p67p68;1987;4996.6;992;j
QT-MER;aptinc992j;p67p68;1988;5095.6;992;j
QT-MER;aptinc992j;p67p68;1989;5158.7;992;j
QT-MER;aptinc992j;p67p68;1990;4988.3;992;j
QT-MER;aptinc992j;p67p68;1991;4661.8;992;j
QT-MER;aptinc992j;p67p68;1992;4470.8;992;j
QT-MER;aptinc992j;p67p68;1993;5095.6;992;j
QT-MER;aptinc992j;p67p68;1994;5092.0;992;j
QT-MER;aptinc992j;p67p68;1995;4960.8;992;j
QT-MER;aptinc992j;p67p68;1996;4994.7;992;j
QT-MER;aptinc992j;p67p68;1997;4924.8;992;j
QT-MER;aptinc992j;p67p68;1998;4759.3;992;j
QT-MER;aptinc992j;p67p68;1999;4597.7;992;j
