country;variable;percentile;year;value;age;pop
QU-MER;ahweal992j;p62p63;1995;1798.9;992;j
QU-MER;ahweal992j;p62p63;1996;1913.1;992;j
QU-MER;ahweal992j;p62p63;1997;1975.5;992;j
QU-MER;ahweal992j;p62p63;1998;2049.6;992;j
QU-MER;ahweal992j;p62p63;1999;2169.3;992;j
QU-MER;ahweal992j;p62p63;2000;2259.2;992;j
QU-MER;ahweal992j;p62p63;2001;2354.9;992;j
QU-MER;ahweal992j;p62p63;2002;2397.0;992;j
QU-MER;ahweal992j;p62p63;2003;2510.7;992;j
QU-MER;ahweal992j;p62p63;2004;2694.6;992;j
QU-MER;ahweal992j;p62p63;2005;2884.2;992;j
QU-MER;ahweal992j;p62p63;2006;3091.0;992;j
QU-MER;ahweal992j;p62p63;2007;3169.9;992;j
QU-MER;ahweal992j;p62p63;2008;3268.0;992;j
QU-MER;ahweal992j;p62p63;2009;3328.2;992;j
QU-MER;ahweal992j;p62p63;2010;3327.6;992;j
QU-MER;ahweal992j;p62p63;2011;3478.6;992;j
QU-MER;ahweal992j;p62p63;2012;3664.2;992;j
QU-MER;ahweal992j;p62p63;2013;3779.9;992;j
QU-MER;ahweal992j;p62p63;2014;3932.7;992;j
QU-MER;ahweal992j;p62p63;2015;4146.9;992;j
QU-MER;ahweal992j;p62p63;2016;4416.8;992;j
QU-MER;ahweal992j;p62p63;2017;4615.3;992;j
QU-MER;ahweal992j;p62p63;2018;4765.2;992;j
QU-MER;ahweal992j;p62p63;2019;4953.2;992;j
QU-MER;ahweal992j;p62p63;2020;4675.1;992;j
QU-MER;ahweal992j;p62p63;2021;4928.4;992;j
QU-MER;aptinc992j;p56p57;1980;544.0;992;j
QU-MER;aptinc992j;p56p57;1981;565.5;992;j
QU-MER;aptinc992j;p56p57;1982;590.3;992;j
QU-MER;aptinc992j;p56p57;1983;556.7;992;j
QU-MER;aptinc992j;p56p57;1984;590.8;992;j
QU-MER;aptinc992j;p56p57;1985;590.6;992;j
QU-MER;aptinc992j;p56p57;1986;603.4;992;j
QU-MER;aptinc992j;p56p57;1987;610.7;992;j
QU-MER;aptinc992j;p56p57;1988;613.0;992;j
QU-MER;aptinc992j;p56p57;1989;646.8;992;j
QU-MER;aptinc992j;p56p57;1990;681.3;992;j
QU-MER;aptinc992j;p56p57;1991;700.6;992;j
QU-MER;aptinc992j;p56p57;1992;676.4;992;j
QU-MER;aptinc992j;p56p57;1993;676.5;992;j
QU-MER;aptinc992j;p56p57;1994;675.9;992;j
QU-MER;aptinc992j;p56p57;1995;692.7;992;j
QU-MER;aptinc992j;p56p57;1996;727.6;992;j
QU-MER;aptinc992j;p56p57;1997;743.2;992;j
QU-MER;aptinc992j;p56p57;1998;744.4;992;j
QU-MER;aptinc992j;p56p57;1999;767.7;992;j
QU-MER;aptinc992j;p56p57;2000;803.4;992;j
QU-MER;aptinc992j;p56p57;2001;800.3;992;j
QU-MER;aptinc992j;p56p57;2002;802.5;992;j
QU-MER;aptinc992j;p56p57;2003;794.8;992;j
QU-MER;aptinc992j;p56p57;2004;819.1;992;j
QU-MER;aptinc992j;p56p57;2005;840.4;992;j
QU-MER;aptinc992j;p56p57;2006;873.8;992;j
QU-MER;aptinc992j;p56p57;2007;904.7;992;j
QU-MER;aptinc992j;p56p57;2008;950.1;992;j
QU-MER;aptinc992j;p56p57;2009;948.0;992;j
