country;variable;percentile;year;value;age;pop
QU;bhweal992j;p23p100;1995;11.6801128387451;992;j
QU;bhweal992j;p23p100;1996;11.6124668121338;992;j
QU;bhweal992j;p23p100;1997;11.6828832626343;992;j
QU;bhweal992j;p23p100;1998;11.614842414856;992;j
QU;bhweal992j;p23p100;1999;11.5737781524658;992;j
QU;bhweal992j;p23p100;2000;11.6182613372803;992;j
QU;bhweal992j;p23p100;2001;11.5622177124023;992;j
QU;bhweal992j;p23p100;2002;11.6410884857178;992;j
QU;bhweal992j;p23p100;2003;11.7917461395264;992;j
QU;bhweal992j;p23p100;2004;11.8115739822388;992;j
QU;bhweal992j;p23p100;2005;11.94460105896;992;j
QU;bhweal992j;p23p100;2006;12.1292209625244;992;j
QU;bhweal992j;p23p100;2007;12.4791822433472;992;j
QU;bhweal992j;p23p100;2008;12.9569492340088;992;j
QU;bhweal992j;p23p100;2009;12.6889181137085;992;j
QU;bhweal992j;p23p100;2010;13.3075914382935;992;j
QU;bhweal992j;p23p100;2011;13.947811126709;992;j
QU;bhweal992j;p23p100;2012;14.1409893035889;992;j
QU;bhweal992j;p23p100;2013;14.1551342010498;992;j
QU;bhweal992j;p23p100;2014;14.3667221069336;992;j
QU;bhweal992j;p23p100;2015;14.4321374893188;992;j
QU;bhweal992j;p23p100;2016;14.4536752700806;992;j
QU;bhweal992j;p23p100;2017;14.3854370117188;992;j
QU;bhweal992j;p23p100;2018;14.4560241699219;992;j
QU;bhweal992j;p23p100;2019;14.2701644897461;992;j
QU;bhweal992j;p23p100;2020;13.7682065963745;992;j
QU;bhweal992j;p23p100;2021;14.2902975082397;992;j
QU;bhweal992j;p5p100;1995;-382.570098876953;992;j
QU;bhweal992j;p5p100;1996;-355.971099853516;992;j
QU;bhweal992j;p5p100;1997;-448.375366210938;992;j
QU;bhweal992j;p5p100;1998;-549.69921875;992;j
QU;bhweal992j;p5p100;1999;-672.798278808594;992;j
QU;bhweal992j;p5p100;2000;-842.91455078125;992;j
QU;bhweal992j;p5p100;2001;9010.7734375;992;j
QU;bhweal992j;p5p100;2002;509.34765625;992;j
QU;bhweal992j;p5p100;2003;158.717956542969;992;j
QU;bhweal992j;p5p100;2004;101.021636962891;992;j
QU;bhweal992j;p5p100;2005;74.3757095336914;992;j
QU;bhweal992j;p5p100;2006;59.5504875183105;992;j
QU;bhweal992j;p5p100;2007;50.4651184082031;992;j
QU;bhweal992j;p5p100;2008;48.7827377319336;992;j
QU;bhweal992j;p5p100;2009;47.7159042358398;992;j
QU;bhweal992j;p5p100;2010;65.9432144165039;992;j
QU;bhweal992j;p5p100;2011;148.598358154297;992;j
QU;bhweal992j;p5p100;2012;316.037506103516;992;j
QU;bhweal992j;p5p100;2013;267.975219726562;992;j
QU;bhweal992j;p5p100;2014;3452.16650390625;992;j
QU;bhweal992j;p5p100;2015;2051.40161132812;992;j
QU;bhweal992j;p5p100;2016;2446.02978515625;992;j
QU;bhweal992j;p5p100;2017;1897.31262207031;992;j
QU;bhweal992j;p5p100;2018;1988.41979980469;992;j
QU;bhweal992j;p5p100;2019;2338.2119140625;992;j
QU;bhweal992j;p5p100;2020;3098.74365234375;992;j
QU;bhweal992j;p5p100;2021;2618.53833007812;992;j
QU;bhweal992j;p77p100;1995;3.19630455970764;992;j
QU;bhweal992j;p77p100;1996;3.18802547454834;992;j
QU;bhweal992j;p77p100;1997;3.23538136482239;992;j
QU;bhweal992j;p77p100;1998;3.23141241073608;992;j
QU;bhweal992j;p77p100;1999;3.22716379165649;992;j
QU;bhweal992j;p77p100;2000;3.25007748603821;992;j
QU;bhweal992j;p77p100;2001;3.26420736312866;992;j
QU;bhweal992j;p77p100;2002;3.29334497451782;992;j
QU;bhweal992j;p77p100;2003;3.26019954681396;992;j
QU;bhweal992j;p77p100;2004;3.21503067016602;992;j
QU;bhweal992j;p77p100;2005;3.24783492088318;992;j
QU;bhweal992j;p77p100;2006;3.26114082336426;992;j
QU;bhweal992j;p77p100;2007;3.43678951263428;992;j
QU;bhweal992j;p77p100;2008;3.72505307197571;992;j
QU;bhweal992j;p77p100;2009;3.6228232383728;992;j
QU;bhweal992j;p77p100;2010;3.95799112319946;992;j
QU;bhweal992j;p77p100;2011;4.18456411361694;992;j
QU;bhweal992j;p77p100;2012;4.17292070388794;992;j
QU;bhweal992j;p77p100;2013;4.18499946594238;992;j
QU;bhweal992j;p77p100;2014;4.27624034881592;992;j
QU;bhweal992j;p77p100;2015;4.32724523544312;992;j
QU;bhweal992j;p77p100;2016;4.27818918228149;992;j
QU;bhweal992j;p77p100;2017;4.29872035980225;992;j
QU;bhweal992j;p77p100;2018;4.31986045837402;992;j
QU;bhweal992j;p77p100;2019;4.250319480896;992;j
QU;bhweal992j;p77p100;2020;4.31578683853149;992;j
QU;bhweal992j;p77p100;2021;4.34046077728271;992;j
QU;bptinc992j;p49p100;1980;2.87279891967773;992;j
QU;bptinc992j;p49p100;1981;2.75338983535767;992;j
QU;bptinc992j;p49p100;1982;2.80484890937805;992;j
QU;bptinc992j;p49p100;1983;3.12961769104004;992;j
QU;bptinc992j;p49p100;1984;2.95307087898254;992;j
QU;bptinc992j;p49p100;1985;2.97438263893127;992;j
QU;bptinc992j;p49p100;1986;2.91912245750427;992;j
QU;bptinc992j;p49p100;1987;2.84739327430725;992;j
QU;bptinc992j;p49p100;1988;2.86508297920227;992;j
QU;bptinc992j;p49p100;1989;2.79567289352417;992;j
QU;bptinc992j;p49p100;1990;2.74657726287842;992;j
QU;bptinc992j;p49p100;1991;2.80380177497864;992;j
QU;bptinc992j;p49p100;1992;2.84991645812988;992;j
QU;bptinc992j;p49p100;1993;2.89920210838318;992;j
QU;bptinc992j;p49p100;1994;2.95000457763672;992;j
QU;bptinc992j;p49p100;1995;2.94004702568054;992;j
QU;bptinc992j;p49p100;1996;2.87678623199463;992;j
QU;bptinc992j;p49p100;1997;2.90657377243042;992;j
QU;bptinc992j;p49p100;1998;2.91970825195312;992;j
QU;bptinc992j;p49p100;1999;2.91612195968628;992;j
QU;bptinc992j;p49p100;2000;2.9308762550354;992;j
QU;bptinc992j;p49p100;2001;2.96976900100708;992;j
QU;bptinc992j;p49p100;2002;3.02000880241394;992;j
QU;bptinc992j;p49p100;2003;3.14511299133301;992;j
QU;bptinc992j;p49p100;2004;3.20715403556824;992;j
QU;bptinc992j;p49p100;2005;3.28060913085938;992;j
QU;bptinc992j;p49p100;2006;3.3370680809021;992;j
QU;bptinc992j;p49p100;2007;3.41119074821472;992;j
QU;bptinc992j;p49p100;2008;3.48394966125488;992;j
QU;bptinc992j;p49p100;2009;3.53024363517761;992;j
QU;bptinc992j;p49p100;2010;3.65224933624268;992;j
QU;bptinc992j;p49p100;2011;3.60541367530823;992;j
QU;bptinc992j;p49p100;2012;3.58025431632996;992;j
QU;bptinc992j;p49p100;2013;3.58591270446777;992;j
QU;bptinc992j;p49p100;2014;3.651859998703;992;j
QU;bptinc992j;p49p100;2015;3.64480113983154;992;j
QU;bptinc992j;p49p100;2016;3.64475035667419;992;j
QU;bptinc992j;p49p100;2017;3.62921905517578;992;j
QU;bptinc992j;p49p100;2018;3.6121141910553;992;j
QU;bptinc992j;p49p100;2019;3.6311457157135;992;j
QU;bptinc992j;p49p100;2020;3.60499906539917;992;j
QU;bptinc992j;p49p100;2021;3.60918354988098;992;j
QU;bptinc992j;p99.95p100;1980;2.44225430488586;992;j
QU;bptinc992j;p99.95p100;1981;2.24060344696045;992;j
QU;bptinc992j;p99.95p100;1982;2.40567922592163;992;j
QU;bptinc992j;p99.95p100;1983;2.36858129501343;992;j
QU;bptinc992j;p99.95p100;1984;2.21430087089539;992;j
QU;bptinc992j;p99.95p100;1985;2.15698099136352;992;j
QU;bptinc992j;p99.95p100;1986;1.91457295417786;992;j
QU;bptinc992j;p99.95p100;1987;1.89442718029022;992;j
QU;bptinc992j;p99.95p100;1988;1.88290214538574;992;j
QU;bptinc992j;p99.95p100;1989;1.8638801574707;992;j
QU;bptinc992j;p99.95p100;1990;1.82238841056824;992;j
QU;bptinc992j;p99.95p100;1991;1.85051119327545;992;j
QU;bptinc992j;p99.95p100;1992;1.79252135753632;992;j
QU;bptinc992j;p99.95p100;1993;1.932004570961;992;j
QU;bptinc992j;p99.95p100;1994;1.9128258228302;992;j
QU;bptinc992j;p99.95p100;1995;2.20160341262817;992;j
QU;bptinc992j;p99.95p100;1996;2.21242737770081;992;j
QU;bptinc992j;p99.95p100;1997;2.2034969329834;992;j
QU;bptinc992j;p99.95p100;1998;2.17701101303101;992;j
QU;bptinc992j;p99.95p100;1999;2.19206166267395;992;j
QU;bptinc992j;p99.95p100;2000;2.17473125457764;992;j
QU;bptinc992j;p99.95p100;2001;2.18827342987061;992;j
QU;bptinc992j;p99.95p100;2002;2.20310211181641;992;j
QU;bptinc992j;p99.95p100;2003;2.1778838634491;992;j
QU;bptinc992j;p99.95p100;2004;2.24893712997436;992;j
QU;bptinc992j;p99.95p100;2005;2.33973598480225;992;j
QU;bptinc992j;p99.95p100;2006;2.31459450721741;992;j
QU;bptinc992j;p99.95p100;2007;2.24281311035156;992;j
QU;bptinc992j;p99.95p100;2008;2.36312794685364;992;j
QU;bptinc992j;p99.95p100;2009;2.42138671875;992;j
QU;bptinc992j;p99.95p100;2010;2.40585947036743;992;j
QU;bptinc992j;p99.95p100;2011;2.40204954147339;992;j
