country;variable;percentile;year;value;age;pop
QV-MER;aptinc992j;p24p100;1980;3594.5;992;j
QV-MER;aptinc992j;p24p100;1981;3203.3;992;j
QV-MER;aptinc992j;p24p100;1982;2959.2;992;j
QV-MER;aptinc992j;p24p100;1983;2660.5;992;j
QV-MER;aptinc992j;p24p100;1984;2560.2;992;j
QV-MER;aptinc992j;p24p100;1985;2637.7;992;j
QV-MER;aptinc992j;p24p100;1986;2617.8;992;j
QV-MER;aptinc992j;p24p100;1987;2560.8;992;j
QV-MER;aptinc992j;p24p100;1988;2674.7;992;j
QV-MER;aptinc992j;p24p100;1989;2660.7;992;j
QV-MER;aptinc992j;p24p100;1990;2756.4;992;j
QV-MER;aptinc992j;p24p100;1991;2743.3;992;j
QV-MER;aptinc992j;p24p100;1992;2791.8;992;j
QV-MER;aptinc992j;p24p100;1993;2667.8;992;j
QV-MER;aptinc992j;p24p100;1994;2589.2;992;j
QV-MER;aptinc992j;p24p100;1995;2642.2;992;j
QV-MER;aptinc992j;p24p100;1996;2698.4;992;j
QV-MER;aptinc992j;p24p100;1997;2754.5;992;j
QV-MER;aptinc992j;p24p100;1998;2773.9;992;j
QV-MER;aptinc992j;p24p100;1999;2692.6;992;j
QV-MER;aptinc992j;p24p100;2000;2715.3;992;j
QV-MER;aptinc992j;p24p100;2001;2779.4;992;j
QV-MER;aptinc992j;p24p100;2002;2995.1;992;j
QV-MER;aptinc992j;p24p100;2003;3064.4;992;j
QV-MER;aptinc992j;p24p100;2004;3177.0;992;j
QV-MER;aptinc992j;p24p100;2005;3319.0;992;j
QV-MER;aptinc992j;p24p100;2006;3388.2;992;j
QV-MER;aptinc992j;p24p100;2007;3396.6;992;j
QV-MER;aptinc992j;p24p100;2008;3531.4;992;j
QV-MER;aptinc992j;p24p100;2009;3616.3;992;j
QV-MER;aptinc992j;p24p100;2010;3772.4;992;j
QV-MER;aptinc992j;p24p100;2011;3811.5;992;j
QV-MER;aptinc992j;p24p100;2012;3888.8;992;j
QV-MER;aptinc992j;p24p100;2013;4064.7;992;j
QV-MER;aptinc992j;p24p100;2014;4239.2;992;j
QV-MER;aptinc992j;p24p100;2015;4278.6;992;j
QV-MER;aptinc992j;p24p100;2016;4182.9;992;j
QV-MER;aptinc992j;p24p100;2017;4153.9;992;j
QV-MER;aptinc992j;p24p100;2018;4219.4;992;j
QV-MER;aptinc992j;p24p100;2019;4263.7;992;j
QV-MER;aptinc992j;p24p100;2020;4092.4;992;j
QV-MER;aptinc992j;p24p100;2021;4101.6;992;j
QV-MER;aptinc992j;p54p55;1980;1529.3;992;j
QV-MER;aptinc992j;p54p55;1981;1376.7;992;j
QV-MER;aptinc992j;p54p55;1982;1280.2;992;j
QV-MER;aptinc992j;p54p55;1983;1153.5;992;j
QV-MER;aptinc992j;p54p55;1984;1120.8;992;j
QV-MER;aptinc992j;p54p55;1985;1155.5;992;j
QV-MER;aptinc992j;p54p55;1986;1137.8;992;j
QV-MER;aptinc992j;p54p55;1987;1104.5;992;j
QV-MER;aptinc992j;p54p55;1988;1133.3;992;j
QV-MER;aptinc992j;p54p55;1989;1136.2;992;j
QV-MER;aptinc992j;p54p55;1990;1143.6;992;j
QV-MER;aptinc992j;p54p55;1991;1140.8;992;j
QV-MER;aptinc992j;p54p55;1992;1139.0;992;j
QV-MER;aptinc992j;p54p55;1993;1112.3;992;j
QV-MER;aptinc992j;p54p55;1994;1106.7;992;j
QV-MER;aptinc992j;p54p55;1995;1122.9;992;j
QV-MER;aptinc992j;p54p55;1996;1146.4;992;j
QV-MER;aptinc992j;p54p55;1997;1181.1;992;j
QV-MER;aptinc992j;p54p55;1998;1188.3;992;j
QV-MER;aptinc992j;p54p55;1999;1162.2;992;j
QV-MER;aptinc992j;p54p55;2000;1186.2;992;j
QV-MER;aptinc992j;p54p55;2001;1213.8;992;j
QV-MER;aptinc992j;p54p55;2002;1300.7;992;j
QV-MER;aptinc992j;p54p55;2003;1336.0;992;j
QV-MER;aptinc992j;p54p55;2004;1366.4;992;j
QV-MER;aptinc992j;p54p55;2005;1411.8;992;j
QV-MER;aptinc992j;p54p55;2006;1441.3;992;j
QV-MER;aptinc992j;p54p55;2007;1429.3;992;j
QV-MER;aptinc992j;p54p55;2008;1492.3;992;j
QV-MER;aptinc992j;p54p55;2009;1500.3;992;j
QV-MER;aptinc992j;p54p55;2010;1584.2;992;j
QV-MER;aptinc992j;p54p55;2011;1624.1;992;j
QV-MER;aptinc992j;p54p55;2012;1685.8;992;j
QV-MER;aptinc992j;p54p55;2013;1778.7;992;j
QV-MER;aptinc992j;p54p55;2014;1889.3;992;j
QV-MER;aptinc992j;p54p55;2015;1917.9;992;j
QV-MER;aptinc992j;p54p55;2016;1911.2;992;j
QV-MER;aptinc992j;p54p55;2017;1953.3;992;j
QV-MER;aptinc992j;p54p55;2018;1979.2;992;j
QV-MER;aptinc992j;p54p55;2019;1997.5;992;j
QV-MER;aptinc992j;p54p55;2020;1949.7;992;j
QV-MER;aptinc992j;p54p55;2021;1938.0;992;j
QV-MER;bptinc992j;p99.92p100;1980;1.77495217323303;992;j
QV-MER;bptinc992j;p99.92p100;1981;1.79103183746338;992;j
QV-MER;bptinc992j;p99.92p100;1982;1.85900628566742;992;j
QV-MER;bptinc992j;p99.92p100;1983;1.85788333415985;992;j
QV-MER;bptinc992j;p99.92p100;1984;1.83109962940216;992;j
QV-MER;bptinc992j;p99.92p100;1985;1.82604849338531;992;j
QV-MER;bptinc992j;p99.92p100;1986;1.83879995346069;992;j
QV-MER;bptinc992j;p99.92p100;1987;1.87283170223236;992;j
QV-MER;bptinc992j;p99.92p100;1988;1.83335173130035;992;j
QV-MER;bptinc992j;p99.92p100;1989;1.83197975158691;992;j
QV-MER;bptinc992j;p99.92p100;1990;1.77629494667053;992;j
QV-MER;bptinc992j;p99.92p100;1991;1.81562054157257;992;j
QV-MER;bptinc992j;p99.92p100;1992;1.82361197471619;992;j
QV-MER;bptinc992j;p99.92p100;1993;1.78225648403168;992;j
QV-MER;bptinc992j;p99.92p100;1994;1.70275342464447;992;j
QV-MER;bptinc992j;p99.92p100;1995;1.69232535362244;992;j
QV-MER;bptinc992j;p99.92p100;1996;1.74522602558136;992;j
QV-MER;bptinc992j;p99.92p100;1997;1.76055181026459;992;j
QV-MER;bptinc992j;p99.92p100;1998;1.77800798416138;992;j
QV-MER;bptinc992j;p99.92p100;1999;1.77224040031433;992;j
QV-MER;bptinc992j;p99.92p100;2000;1.72022378444672;992;j
QV-MER;bptinc992j;p99.92p100;2001;1.75055241584778;992;j
QV-MER;bptinc992j;p99.92p100;2002;1.71215116977692;992;j
QV-MER;bptinc992j;p99.92p100;2003;1.67811596393585;992;j
QV-MER;bptinc992j;p99.92p100;2004;1.70355451107025;992;j
QV-MER;bptinc992j;p99.92p100;2005;1.73538064956665;992;j
QV-MER;bptinc992j;p99.92p100;2006;1.77229905128479;992;j
