country;variable;percentile;year;value;age;pop
QV;ahweal999i;p0p100;1995;3236.1;999;i
QV;ahweal999i;p0p100;1996;3399.8;999;i
QV;ahweal999i;p0p100;1997;3520.6;999;i
QV;ahweal999i;p0p100;1998;3619.8;999;i
QV;ahweal999i;p0p100;1999;3446.0;999;i
QV;ahweal999i;p0p100;2000;3489.8;999;i
QV;ahweal999i;p0p100;2001;3725.6;999;i
QV;ahweal999i;p0p100;2002;4298.3;999;i
QV;ahweal999i;p0p100;2003;4518.3;999;i
QV;ahweal999i;p0p100;2004;4784.5;999;i
QV;ahweal999i;p0p100;2005;5127.2;999;i
QV;ahweal999i;p0p100;2006;5429.2;999;i
QV;ahweal999i;p0p100;2007;5572.6;999;i
QV;ahweal999i;p0p100;2008;5914.6;999;i
QV;ahweal999i;p0p100;2009;6265.7;999;i
QV;ahweal999i;p0p100;2010;6520.0;999;i
QV;ahweal999i;p0p100;2011;6729.8;999;i
QV;ahweal999i;p0p100;2012;6953.2;999;i
QV;ahweal999i;p0p100;2013;7320.9;999;i
QV;ahweal999i;p0p100;2014;7748.0;999;i
QV;ahweal999i;p0p100;2015;7878.5;999;i
QV;ahweal999i;p0p100;2016;7790.5;999;i
QV;ahweal999i;p0p100;2017;7805.0;999;i
QV;ahweal999i;p0p100;2018;7908.5;999;i
QV;ahweal999i;p0p100;2019;8123.4;999;i
QV;ahweal999i;p0p100;2020;8003.3;999;i
QV;ahweal999i;p0p100;2021;8223.1;999;i
QV;aptinc992j;p99.95p100;1980;316632.1;992;j
QV;aptinc992j;p99.95p100;1981;290263.1;992;j
QV;aptinc992j;p99.95p100;1982;277315.1;992;j
QV;aptinc992j;p99.95p100;1983;253590.8;992;j
QV;aptinc992j;p99.95p100;1984;245162.4;992;j
QV;aptinc992j;p99.95p100;1985;250538.7;992;j
QV;aptinc992j;p99.95p100;1986;249426.5;992;j
QV;aptinc992j;p99.95p100;1987;240140.7;992;j
QV;aptinc992j;p99.95p100;1988;238526.4;992;j
QV;aptinc992j;p99.95p100;1989;234606.2;992;j
QV;aptinc992j;p99.95p100;1990;225773.5;992;j
QV;aptinc992j;p99.95p100;1991;222385.9;992;j
