country;variable;percentile;year;value;age;pop
QW-MER;ahweal992j;p93p94;1995;31184.1;992;j
QW-MER;ahweal992j;p93p94;1996;32390.1;992;j
QW-MER;ahweal992j;p93p94;1997;34272.1;992;j
QW-MER;ahweal992j;p93p94;1998;36832.3;992;j
QW-MER;ahweal992j;p93p94;1999;33360.3;992;j
QW-MER;ahweal992j;p93p94;2000;34158.6;992;j
QW-MER;ahweal992j;p93p94;2001;34005.0;992;j
QW-MER;ahweal992j;p93p94;2002;39795.6;992;j
QW-MER;ahweal992j;p93p94;2003;39494.0;992;j
QW-MER;ahweal992j;p93p94;2004;45961.1;992;j
QW-MER;ahweal992j;p93p94;2005;46887.6;992;j
QW-MER;ahweal992j;p93p94;2006;55591.0;992;j
QW-MER;ahweal992j;p93p94;2007;68293.2;992;j
QW-MER;ahweal992j;p93p94;2008;70029.9;992;j
QW-MER;ahweal992j;p93p94;2009;75512.2;992;j
QW-MER;ahweal992j;p93p94;2010;73196.8;992;j
QW-MER;ahweal992j;p93p94;2011;73757.1;992;j
QW-MER;ahweal992j;p93p94;2012;74025.4;992;j
QW-MER;ahweal992j;p93p94;2013;78156.2;992;j
QW-MER;ahweal992j;p93p94;2014;77225.6;992;j
QW-MER;ahweal992j;p93p94;2015;73265.1;992;j
QW-MER;ahweal992j;p93p94;2016;72860.8;992;j
QW-MER;ahweal992j;p93p94;2017;73045.8;992;j
QW-MER;ahweal992j;p93p94;2018;75530.6;992;j
QW-MER;ahweal992j;p93p94;2019;76877.8;992;j
QW-MER;ahweal992j;p93p94;2020;76518.8;992;j
QW-MER;ahweal992j;p93p94;2021;77076.0;992;j
QW-MER;aptinc992j;p49p50;1980;7022.6;992;j
QW-MER;aptinc992j;p49p50;1981;7037.9;992;j
QW-MER;aptinc992j;p49p50;1982;7032.7;992;j
QW-MER;aptinc992j;p49p50;1983;7107.5;992;j
QW-MER;aptinc992j;p49p50;1984;7087.1;992;j
QW-MER;aptinc992j;p49p50;1985;7109.0;992;j
QW-MER;aptinc992j;p49p50;1986;7229.7;992;j
QW-MER;aptinc992j;p49p50;1987;7066.4;992;j
QW-MER;aptinc992j;p49p50;1988;7231.3;992;j
QW-MER;aptinc992j;p49p50;1989;7132.3;992;j
QW-MER;aptinc992j;p49p50;1990;6945.8;992;j
QW-MER;aptinc992j;p49p50;1991;7048.7;992;j
QW-MER;aptinc992j;p49p50;1992;5009.1;992;j
QW-MER;aptinc992j;p49p50;1993;4347.4;992;j
QW-MER;aptinc992j;p49p50;1994;3030.8;992;j
QW-MER;aptinc992j;p49p50;1995;2545.3;992;j
QW-MER;aptinc992j;p49p50;1996;2490.7;992;j
QW-MER;aptinc992j;p49p50;1997;2701.8;992;j
QW-MER;aptinc992j;p49p50;1998;2716.7;992;j
QW-MER;aptinc992j;p49p50;1999;2883.6;992;j
QW-MER;aptinc992j;p49p50;2000;3091.8;992;j
QW-MER;aptinc992j;p49p50;2001;3227.0;992;j
QW-MER;aptinc992j;p49p50;2002;3431.0;992;j
QW-MER;aptinc992j;p49p50;2003;3485.3;992;j
QW-MER;aptinc992j;p49p50;2004;3969.3;992;j
QW-MER;aptinc992j;p49p50;2005;4260.8;992;j
QW-MER;aptinc992j;p49p50;2006;4529.1;992;j
QW-MER;aptinc992j;p49p50;2007;4926.4;992;j
QW-MER;aptinc992j;p49p50;2008;5124.6;992;j
QW-MER;aptinc992j;p49p50;2009;4951.9;992;j
QW-MER;aptinc992j;p49p50;2010;5627.5;992;j
QW-MER;aptinc992j;p49p50;2011;5781.2;992;j
QW-MER;aptinc992j;p49p50;2012;6126.3;992;j
QW-MER;aptinc992j;p49p50;2013;6036.9;992;j
QW-MER;aptinc992j;p49p50;2014;6251.4;992;j
QW-MER;aptinc992j;p49p50;2015;6100.6;992;j
QW-MER;aptinc992j;p49p50;2016;5923.3;992;j
QW-MER;aptinc992j;p49p50;2017;6072.8;992;j
QW-MER;aptinc992j;p49p50;2018;6248.1;992;j
QW-MER;aptinc992j;p49p50;2019;6257.2;992;j
QW-MER;aptinc992j;p49p50;2020;5946.3;992;j
QW-MER;aptinc992j;p49p50;2021;6120.0;992;j
QW-MER;aptinc992j;p67p100;1980;24913.1;992;j
QW-MER;aptinc992j;p67p100;1981;25062.3;992;j
QW-MER;aptinc992j;p67p100;1982;22746.5;992;j
QW-MER;aptinc992j;p67p100;1983;22006.1;992;j
QW-MER;aptinc992j;p67p100;1984;21956.1;992;j
QW-MER;aptinc992j;p67p100;1985;21698.8;992;j
QW-MER;aptinc992j;p67p100;1986;22730.1;992;j
QW-MER;aptinc992j;p67p100;1987;22147.7;992;j
QW-MER;aptinc992j;p67p100;1988;22659.5;992;j
QW-MER;aptinc992j;p67p100;1989;22738.0;992;j
QW-MER;aptinc992j;p67p100;1990;23258.1;992;j
QW-MER;aptinc992j;p67p100;1991;24239.0;992;j
QW-MER;aptinc992j;p67p100;1992;24273.9;992;j
QW-MER;aptinc992j;p67p100;1993;23696.9;992;j
QW-MER;aptinc992j;p67p100;1994;23374.9;992;j
QW-MER;aptinc992j;p67p100;1995;22827.4;992;j
QW-MER;aptinc992j;p67p100;1996;24370.1;992;j
QW-MER;aptinc992j;p67p100;1997;24558.5;992;j
QW-MER;aptinc992j;p67p100;1998;24298.7;992;j
QW-MER;aptinc992j;p67p100;1999;24822.0;992;j
QW-MER;aptinc992j;p67p100;2000;26913.6;992;j
QW-MER;aptinc992j;p67p100;2001;27144.6;992;j
QW-MER;aptinc992j;p67p100;2002;26951.3;992;j
QW-MER;aptinc992j;p67p100;2003;27786.6;992;j
QW-MER;aptinc992j;p67p100;2004;30280.6;992;j
QW-MER;aptinc992j;p67p100;2005;31350.2;992;j
QW-MER;aptinc992j;p67p100;2006;33238.2;992;j
QW-MER;aptinc992j;p67p100;2007;34847.0;992;j
QW-MER;aptinc992j;p67p100;2008;36182.9;992;j
QW-MER;aptinc992j;p67p100;2009;33407.9;992;j
QW-MER;aptinc992j;p67p100;2010;33557.5;992;j
QW-MER;aptinc992j;p67p100;2011;35768.0;992;j
QW-MER;aptinc992j;p67p100;2012;36405.3;992;j
QW-MER;aptinc992j;p67p100;2013;37018.6;992;j
QW-MER;aptinc992j;p67p100;2014;37078.0;992;j
QW-MER;aptinc992j;p67p100;2015;36722.9;992;j
QW-MER;aptinc992j;p67p100;2016;36649.9;992;j
QW-MER;aptinc992j;p67p100;2017;36413.7;992;j
QW-MER;aptinc992j;p67p100;2018;37156.7;992;j
QW-MER;aptinc992j;p67p100;2019;37142.6;992;j
QW-MER;aptinc992j;p67p100;2020;34973.7;992;j
QW-MER;aptinc992j;p67p100;2021;35689.2;992;j
QW-MER;aptinc992j;p99.8p99.9;1980;419813.9;992;j
QW-MER;aptinc992j;p99.8p99.9;1981;412534.5;992;j
QW-MER;aptinc992j;p99.8p99.9;1982;343674.6;992;j
QW-MER;aptinc992j;p99.8p99.9;1983;304115.7;992;j
QW-MER;aptinc992j;p99.8p99.9;1984;295922.4;992;j
QW-MER;aptinc992j;p99.8p99.9;1985;290875.3;992;j
QW-MER;aptinc992j;p99.8p99.9;1986;312933.0;992;j
QW-MER;aptinc992j;p99.8p99.9;1987;297837.3;992;j
QW-MER;aptinc992j;p99.8p99.9;1988;319667.2;992;j
QW-MER;aptinc992j;p99.8p99.9;1989;318131.2;992;j
QW-MER;aptinc992j;p99.8p99.9;1990;338767.7;992;j
QW-MER;aptinc992j;p99.8p99.9;1991;379290.1;992;j
QW-MER;aptinc992j;p99.8p99.9;1992;384762.9;992;j
QW-MER;aptinc992j;p99.8p99.9;1993;363059.3;992;j
QW-MER;aptinc992j;p99.8p99.9;1994;374389.4;992;j
QW-MER;aptinc992j;p99.8p99.9;1995;382993.7;992;j
QW-MER;aptinc992j;p99.8p99.9;1996;393497.3;992;j
QW-MER;aptinc992j;p99.8p99.9;1997;406379.1;992;j
QW-MER;aptinc992j;p99.8p99.9;1998;413828.0;992;j
QW-MER;aptinc992j;p99.8p99.9;1999;410803.9;992;j
QW-MER;aptinc992j;p99.8p99.9;2000;437126.5;992;j
QW-MER;aptinc992j;p99.8p99.9;2001;435604.8;992;j
QW-MER;aptinc992j;p99.8p99.9;2002;436838.8;992;j
QW-MER;aptinc992j;p99.8p99.9;2003;443459.2;992;j
QW-MER;aptinc992j;p99.8p99.9;2004;460095.2;992;j
QW-MER;aptinc992j;p99.8p99.9;2005;473447.7;992;j
QW-MER;aptinc992j;p99.8p99.9;2006;491939.2;992;j
QW-MER;aptinc992j;p99.8p99.9;2007;506136.8;992;j
QW-MER;aptinc992j;p99.8p99.9;2008;540541.0;992;j
QW-MER;aptinc992j;p99.8p99.9;2009;491016.9;992;j
QW-MER;aptinc992j;p99.8p99.9;2010;487412.5;992;j
QW-MER;aptinc992j;p99.8p99.9;2011;511276.4;992;j
QW-MER;aptinc992j;p99.8p99.9;2012;512037.7;992;j
QW-MER;aptinc992j;p99.8p99.9;2013;510183.4;992;j
QW-MER;aptinc992j;p99.8p99.9;2014;512262.7;992;j
QW-MER;aptinc992j;p99.8p99.9;2015;499755.1;992;j
QW-MER;aptinc992j;p99.8p99.9;2016;499804.8;992;j
QW-MER;aptinc992j;p99.8p99.9;2017;501172.5;992;j
QW-MER;aptinc992j;p99.8p99.9;2018;503775.7;992;j
QW-MER;aptinc992j;p99.8p99.9;2019;495374.4;992;j
QW-MER;aptinc992j;p99.8p99.9;2020;456393.8;992;j
QW-MER;aptinc992j;p99.8p99.9;2021;466891.2;992;j
QW-MER;aptinc992j;p99.995p99.996;1980;2834394.2;992;j
QW-MER;aptinc992j;p99.995p99.996;1981;2742481.5;992;j
QW-MER;aptinc992j;p99.995p99.996;1982;2261881.5;992;j
QW-MER;aptinc992j;p99.995p99.996;1983;1999524.2;992;j
QW-MER;aptinc992j;p99.995p99.996;1984;1996253.4;992;j
QW-MER;aptinc992j;p99.995p99.996;1985;1880679.2;992;j
QW-MER;aptinc992j;p99.995p99.996;1986;1916413.6;992;j
QW-MER;aptinc992j;p99.995p99.996;1987;1914343.5;992;j
QW-MER;aptinc992j;p99.995p99.996;1988;1841831.7;992;j
QW-MER;aptinc992j;p99.995p99.996;1989;1963491.6;992;j
QW-MER;aptinc992j;p99.995p99.996;1990;2232507.8;992;j
QW-MER;aptinc992j;p99.995p99.996;1991;2444569.3;992;j
QW-MER;aptinc992j;p99.995p99.996;1992;2436310.7;992;j
QW-MER;aptinc992j;p99.995p99.996;1993;2339903.2;992;j
QW-MER;aptinc992j;p99.995p99.996;1994;2222412.7;992;j
QW-MER;aptinc992j;p99.995p99.996;1995;2312331.8;992;j
QW-MER;aptinc992j;p99.995p99.996;1996;2485871.0;992;j
QW-MER;aptinc992j;p99.995p99.996;1997;2502653.5;992;j
QW-MER;aptinc992j;p99.995p99.996;1998;2544323.3;992;j
QW-MER;aptinc992j;p99.995p99.996;1999;2703699.3;992;j
QW-MER;aptinc992j;p99.995p99.996;2000;2742026.3;992;j
QW-MER;aptinc992j;p99.995p99.996;2001;3048534.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2002;2981690.0;992;j
QW-MER;aptinc992j;p99.995p99.996;2003;2942355.7;992;j
QW-MER;aptinc992j;p99.995p99.996;2004;3087887.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2005;3438762.5;992;j
QW-MER;aptinc992j;p99.995p99.996;2006;3604390.0;992;j
QW-MER;aptinc992j;p99.995p99.996;2007;4083656.2;992;j
QW-MER;aptinc992j;p99.995p99.996;2008;3885422.5;992;j
QW-MER;aptinc992j;p99.995p99.996;2009;3573182.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2010;3646950.2;992;j
QW-MER;aptinc992j;p99.995p99.996;2011;3865076.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2012;3795533.3;992;j
QW-MER;aptinc992j;p99.995p99.996;2013;3918920.3;992;j
QW-MER;aptinc992j;p99.995p99.996;2014;3851478.0;992;j
QW-MER;aptinc992j;p99.995p99.996;2015;3807006.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2016;3819401.2;992;j
QW-MER;aptinc992j;p99.995p99.996;2017;3664508.0;992;j
QW-MER;aptinc992j;p99.995p99.996;2018;3613740.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2019;3635674.0;992;j
QW-MER;aptinc992j;p99.995p99.996;2020;3536171.8;992;j
QW-MER;aptinc992j;p99.995p99.996;2021;3592066.3;992;j
QW-MER;shweal992j;p17p100;1995;1.0091;992;j
QW-MER;shweal992j;p17p100;1996;1.0083;992;j
QW-MER;shweal992j;p17p100;1997;1.0077;992;j
QW-MER;shweal992j;p17p100;1998;1.007;992;j
QW-MER;shweal992j;p17p100;1999;1.0076;992;j
QW-MER;shweal992j;p17p100;2000;1.008;992;j
QW-MER;shweal992j;p17p100;2001;1.0084;992;j
QW-MER;shweal992j;p17p100;2002;1.0078;992;j
QW-MER;shweal992j;p17p100;2003;1.0077;992;j
QW-MER;shweal992j;p17p100;2004;1.0062;992;j
QW-MER;shweal992j;p17p100;2005;1.0071;992;j
QW-MER;shweal992j;p17p100;2006;1.007;992;j
QW-MER;shweal992j;p17p100;2007;1.0077;992;j
QW-MER;shweal992j;p17p100;2008;1.0079;992;j
QW-MER;shweal992j;p17p100;2009;1.0093;992;j
QW-MER;shweal992j;p17p100;2010;1.0101;992;j
QW-MER;shweal992j;p17p100;2011;1.0098;992;j
QW-MER;shweal992j;p17p100;2012;1.0089;992;j
QW-MER;shweal992j;p17p100;2013;1.0113;992;j
QW-MER;shweal992j;p17p100;2014;1.011;992;j
QW-MER;shweal992j;p17p100;2015;1.0112;992;j
QW-MER;shweal992j;p17p100;2016;1.0116;992;j
QW-MER;shweal992j;p17p100;2017;1.0115;992;j
QW-MER;shweal992j;p17p100;2018;1.0116;992;j
QW-MER;shweal992j;p17p100;2019;1.0115;992;j
QW-MER;shweal992j;p17p100;2020;1.0116;992;j
QW-MER;shweal992j;p17p100;2021;1.0114;992;j
QW-MER;shweal992j;p29p100;1995;1.003;992;j
QW-MER;shweal992j;p29p100;1996;1.002;992;j
QW-MER;shweal992j;p29p100;1997;1.0022;992;j
QW-MER;shweal992j;p29p100;1998;1.0017;992;j
QW-MER;shweal992j;p29p100;1999;1.0024;992;j
QW-MER;shweal992j;p29p100;2000;1.0028;992;j
QW-MER;shweal992j;p29p100;2001;1.0031;992;j
QW-MER;shweal992j;p29p100;2002;1.002;992;j
QW-MER;shweal992j;p29p100;2003;1.0024;992;j
QW-MER;shweal992j;p29p100;2004;1.0009;992;j
QW-MER;shweal992j;p29p100;2005;1.0017;992;j
QW-MER;shweal992j;p29p100;2006;1.0015;992;j
QW-MER;shweal992j;p29p100;2007;1.0025;992;j
QW-MER;shweal992j;p29p100;2008;1.003;992;j
QW-MER;shweal992j;p29p100;2009;1.0041;992;j
QW-MER;shweal992j;p29p100;2010;1.0065;992;j
QW-MER;shweal992j;p29p100;2011;1.0065;992;j
QW-MER;shweal992j;p29p100;2012;1.0054;992;j
QW-MER;shweal992j;p29p100;2013;1.0076;992;j
QW-MER;shweal992j;p29p100;2014;1.0074;992;j
QW-MER;shweal992j;p29p100;2015;1.0078;992;j
QW-MER;shweal992j;p29p100;2016;1.0081;992;j
QW-MER;shweal992j;p29p100;2017;1.0082;992;j
QW-MER;shweal992j;p29p100;2018;1.0083;992;j
QW-MER;shweal992j;p29p100;2019;1.0081;992;j
QW-MER;shweal992j;p29p100;2020;1.0083;992;j
QW-MER;shweal992j;p29p100;2021;1.0081;992;j
QW-MER;shweal992j;p74p75;1995;0.006;992;j
QW-MER;shweal992j;p74p75;1996;0.0061;992;j
QW-MER;shweal992j;p74p75;1997;0.0053;992;j
QW-MER;shweal992j;p74p75;1998;0.0048;992;j
QW-MER;shweal992j;p74p75;1999;0.0045;992;j
QW-MER;shweal992j;p74p75;2000;0.0045;992;j
QW-MER;shweal992j;p74p75;2001;0.0046;992;j
QW-MER;shweal992j;p74p75;2002;0.0052;992;j
QW-MER;shweal992j;p74p75;2003;0.005;992;j
QW-MER;shweal992j;p74p75;2004;0.0049;992;j
QW-MER;shweal992j;p74p75;2005;0.0051;992;j
QW-MER;shweal992j;p74p75;2006;0.0055;992;j
QW-MER;shweal992j;p74p75;2007;0.0058;992;j
QW-MER;shweal992j;p74p75;2008;0.0055;992;j
QW-MER;shweal992j;p74p75;2009;0.0065;992;j
QW-MER;shweal992j;p74p75;2010;0.0059;992;j
QW-MER;shweal992j;p74p75;2011;0.0052;992;j
QW-MER;shweal992j;p74p75;2012;0.0052;992;j
QW-MER;shweal992j;p74p75;2013;0.0052;992;j
QW-MER;shweal992j;p74p75;2014;0.0051;992;j
QW-MER;shweal992j;p74p75;2015;0.0049;992;j
QW-MER;shweal992j;p74p75;2016;0.0048;992;j
QW-MER;shweal992j;p74p75;2017;0.0046;992;j
QW-MER;shweal992j;p74p75;2018;0.0046;992;j
QW-MER;shweal992j;p74p75;2019;0.0046;992;j
QW-MER;shweal992j;p74p75;2020;0.0046;992;j
QW-MER;shweal992j;p74p75;2021;0.0045;992;j
QW-MER;sptinc992j;p49p100;1980;0.8489;992;j
QW-MER;sptinc992j;p49p100;1981;0.8497;992;j
QW-MER;sptinc992j;p49p100;1982;0.8392;992;j
QW-MER;sptinc992j;p49p100;1983;0.8365;992;j
QW-MER;sptinc992j;p49p100;1984;0.8369;992;j
QW-MER;sptinc992j;p49p100;1985;0.8355;992;j
QW-MER;sptinc992j;p49p100;1986;0.8399;992;j
QW-MER;sptinc992j;p49p100;1987;0.8386;992;j
QW-MER;sptinc992j;p49p100;1988;0.8396;992;j
QW-MER;sptinc992j;p49p100;1989;0.8428;992;j
QW-MER;sptinc992j;p49p100;1990;0.839;992;j
QW-MER;sptinc992j;p49p100;1991;0.8489;992;j
QW-MER;sptinc992j;p49p100;1992;0.8893;992;j
QW-MER;sptinc992j;p49p100;1993;0.8999;992;j
QW-MER;sptinc992j;p49p100;1994;0.9254;992;j
QW-MER;sptinc992j;p49p100;1995;0.936;992;j
QW-MER;sptinc992j;p49p100;1996;0.9492;992;j
QW-MER;sptinc992j;p49p100;1997;0.9391;992;j
QW-MER;sptinc992j;p49p100;1998;0.9327;992;j
QW-MER;sptinc992j;p49p100;1999;0.9288;992;j
QW-MER;sptinc992j;p49p100;2000;0.9299;992;j
QW-MER;sptinc992j;p49p100;2001;0.9279;992;j
QW-MER;sptinc992j;p49p100;2002;0.924;992;j
QW-MER;sptinc992j;p49p100;2003;0.9268;992;j
QW-MER;sptinc992j;p49p100;2004;0.9226;992;j
QW-MER;sptinc992j;p49p100;2005;0.9199;992;j
QW-MER;sptinc992j;p49p100;2006;0.9196;992;j
QW-MER;sptinc992j;p49p100;2007;0.9184;992;j
QW-MER;sptinc992j;p49p100;2008;0.9169;992;j
QW-MER;sptinc992j;p49p100;2009;0.9103;992;j
QW-MER;sptinc992j;p49p100;2010;0.901;992;j
QW-MER;sptinc992j;p49p100;2011;0.9035;992;j
QW-MER;sptinc992j;p49p100;2012;0.8999;992;j
QW-MER;sptinc992j;p49p100;2013;0.9027;992;j
