country;variable;percentile;year;value;age;pop
QW;ahweal992i;p0p100;1995;17619.1;992;i
QW;ahweal992i;p0p100;1996;19070.0;992;i
QW;ahweal992i;p0p100;1997;20714.7;992;i
QW;ahweal992i;p0p100;1998;22027.3;992;i
QW;ahweal992i;p0p100;1999;21610.9;992;i
QW;ahweal992i;p0p100;2000;21787.1;992;i
QW;ahweal992i;p0p100;2001;22446.5;992;i
QW;ahweal992i;p0p100;2002;24183.3;992;i
QW;ahweal992i;p0p100;2003;26461.6;992;i
QW;ahweal992i;p0p100;2004;28618.3;992;i
QW;ahweal992i;p0p100;2005;29890.7;992;i
QW;ahweal992i;p0p100;2006;35177.7;992;i
QW;ahweal992i;p0p100;2007;41317.2;992;i
QW;ahweal992i;p0p100;2008;42170.9;992;i
QW;ahweal992i;p0p100;2009;41482.2;992;i
QW;ahweal992i;p0p100;2010;40773.2;992;i
QW;ahweal992i;p0p100;2011;38285.3;992;i
QW;ahweal992i;p0p100;2012;38868.5;992;i
QW;ahweal992i;p0p100;2013;40503.5;992;i
QW;ahweal992i;p0p100;2014;41282.6;992;i
QW;ahweal992i;p0p100;2015;41690.6;992;i
QW;ahweal992i;p0p100;2016;40081.1;992;i
QW;ahweal992i;p0p100;2017;39759.5;992;i
QW;ahweal992i;p0p100;2018;39804.7;992;i
QW;ahweal992i;p0p100;2019;41357.1;992;i
QW;ahweal992i;p0p100;2020;41277.0;992;i
QW;ahweal992i;p0p100;2021;43749.3;992;i
QW;aptinc992j;p62p100;1980;35610.8;992;j
QW;aptinc992j;p62p100;1981;36054.8;992;j
QW;aptinc992j;p62p100;1982;34352.3;992;j
QW;aptinc992j;p62p100;1983;34058.7;992;j
QW;aptinc992j;p62p100;1984;33768.2;992;j
QW;aptinc992j;p62p100;1985;33072.7;992;j
QW;aptinc992j;p62p100;1986;34301.4;992;j
QW;aptinc992j;p62p100;1987;33893.6;992;j
QW;aptinc992j;p62p100;1988;34984.3;992;j
QW;aptinc992j;p62p100;1989;35701.8;992;j
QW;aptinc992j;p62p100;1990;35615.4;992;j
QW;aptinc992j;p62p100;1991;36483.9;992;j
QW;aptinc992j;p62p100;1992;35433.2;992;j
QW;aptinc992j;p62p100;1993;33954.2;992;j
QW;aptinc992j;p62p100;1994;32246.1;992;j
QW;aptinc992j;p62p100;1995;31225.9;992;j
QW;aptinc992j;p62p100;1996;33133.7;992;j
QW;aptinc992j;p62p100;1997;33459.1;992;j
QW;aptinc992j;p62p100;1998;32764.0;992;j
QW;aptinc992j;p62p100;1999;33312.6;992;j
QW;aptinc992j;p62p100;2000;35770.5;992;j
QW;aptinc992j;p62p100;2001;35715.9;992;j
QW;aptinc992j;p62p100;2002;36013.4;992;j
QW;aptinc992j;p62p100;2003;37794.5;992;j
QW;aptinc992j;p62p100;2004;41048.6;992;j
QW;aptinc992j;p62p100;2005;42812.9;992;j
QW;aptinc992j;p62p100;2006;45357.3;992;j
QW;aptinc992j;p62p100;2007;47462.5;992;j
QW;aptinc992j;p62p100;2008;48714.0;992;j
QW;aptinc992j;p62p100;2009;44103.6;992;j
QW;aptinc992j;p62p100;2010;44871.2;992;j
QW;aptinc992j;p62p100;2011;48235.9;992;j
QW;aptinc992j;p62p100;2012;48769.8;992;j
