country;variable;percentile;year;value;age;pop
QX-MER;bptinc992j;p66p100;1980;1.72599124908447;992;j
QX-MER;bptinc992j;p66p100;1981;1.70799863338471;992;j
QX-MER;bptinc992j;p66p100;1982;1.69541335105896;992;j
QX-MER;bptinc992j;p66p100;1983;1.71437549591064;992;j
QX-MER;bptinc992j;p66p100;1984;1.71856439113617;992;j
QX-MER;bptinc992j;p66p100;1985;1.72550106048584;992;j
QX-MER;bptinc992j;p66p100;1986;1.74735236167908;992;j
QX-MER;bptinc992j;p66p100;1987;1.7637140750885;992;j
QX-MER;bptinc992j;p66p100;1988;1.7940708398819;992;j
QX-MER;bptinc992j;p66p100;1989;1.78123784065247;992;j
QX-MER;bptinc992j;p66p100;1990;1.80628764629364;992;j
QX-MER;bptinc992j;p66p100;1991;1.7958767414093;992;j
QX-MER;bptinc992j;p66p100;1992;1.79120683670044;992;j
QX-MER;bptinc992j;p66p100;1993;1.80374348163605;992;j
QX-MER;bptinc992j;p66p100;1994;1.81793284416199;992;j
QX-MER;bptinc992j;p66p100;1995;1.81657242774963;992;j
QX-MER;bptinc992j;p66p100;1996;1.84025228023529;992;j
QX-MER;bptinc992j;p66p100;1997;1.86414623260498;992;j
QX-MER;bptinc992j;p66p100;1998;1.89053201675415;992;j
QX-MER;bptinc992j;p66p100;1999;1.89693117141724;992;j
QX-MER;bptinc992j;p66p100;2000;1.89766800403595;992;j
QX-MER;bptinc992j;p66p100;2001;1.91210401058197;992;j
QX-MER;bptinc992j;p66p100;2002;1.90808820724487;992;j
QX-MER;bptinc992j;p66p100;2003;1.91186988353729;992;j
QX-MER;bptinc992j;p66p100;2004;1.93222236633301;992;j
QX-MER;bptinc992j;p66p100;2005;1.96433901786804;992;j
QX-MER;bptinc992j;p66p100;2006;1.98960602283478;992;j
QX-MER;bptinc992j;p66p100;2007;2.01267075538635;992;j
QX-MER;bptinc992j;p66p100;2008;1.98984432220459;992;j
QX-MER;bptinc992j;p66p100;2009;2.00390553474426;992;j
QX-MER;bptinc992j;p66p100;2010;1.96509039402008;992;j
QX-MER;bptinc992j;p66p100;2011;1.9887957572937;992;j
QX-MER;bptinc992j;p66p100;2012;2.00130605697632;992;j
QX-MER;bptinc992j;p66p100;2013;2.04097270965576;992;j
QX-MER;bptinc992j;p66p100;2014;2.03319311141968;992;j
QX-MER;bptinc992j;p66p100;2015;2.02978587150574;992;j
QX-MER;bptinc992j;p66p100;2016;2.02619552612305;992;j
QX-MER;bptinc992j;p66p100;2017;2.02917766571045;992;j
QX-MER;bptinc992j;p66p100;2018;2.01996541023254;992;j
QX-MER;bptinc992j;p66p100;2019;2.01429033279419;992;j
QX-MER;bptinc992j;p66p100;2020;2.03476405143738;992;j
QX-MER;bptinc992j;p66p100;2021;2.02646446228027;992;j
QX-MER;shweal992j;p2p3;1995;-0.0006;992;j
QX-MER;shweal992j;p2p3;1996;-0.0007;992;j
QX-MER;shweal992j;p2p3;1997;-0.0007;992;j
QX-MER;shweal992j;p2p3;1998;-0.0007;992;j
QX-MER;shweal992j;p2p3;1999;-0.0006;992;j
QX-MER;shweal992j;p2p3;2000;-0.0007;992;j
