country;variable;percentile;year;value;age;pop
QX;bhweal992j;p99.995p100;1995;3.81250190734863;992;j
QX;bhweal992j;p99.995p100;1996;3.87302708625794;992;j
QX;bhweal992j;p99.995p100;1997;3.51639080047607;992;j
QX;bhweal992j;p99.995p100;1998;3.1433424949646;992;j
QX;bhweal992j;p99.995p100;1999;3.36661171913147;992;j
QX;bhweal992j;p99.995p100;2000;3.22034549713135;992;j
QX;bhweal992j;p99.995p100;2001;3.29761791229248;992;j
QX;bhweal992j;p99.995p100;2002;3.21619009971619;992;j
QX;bhweal992j;p99.995p100;2003;3.27707886695862;992;j
QX;bhweal992j;p99.995p100;2004;3.50962138175964;992;j
QX;bhweal992j;p99.995p100;2005;3.49933505058289;992;j
QX;bhweal992j;p99.995p100;2006;3.20625042915344;992;j
QX;bhweal992j;p99.995p100;2007;3.67831254005432;992;j
QX;bhweal992j;p99.995p100;2008;4.37678050994873;992;j
QX;bhweal992j;p99.995p100;2009;3.43522095680237;992;j
QX;bhweal992j;p99.995p100;2010;3.08923625946045;992;j
QX;bhweal992j;p99.995p100;2011;3.36340856552124;992;j
QX;bhweal992j;p99.995p100;2012;3.54279565811157;992;j
QX;bhweal992j;p99.995p100;2013;3.06248235702515;992;j
QX;bhweal992j;p99.995p100;2014;3.79528975486755;992;j
QX;bhweal992j;p99.995p100;2015;3.65710043907165;992;j
QX;bhweal992j;p99.995p100;2016;4.36820888519287;992;j
QX;bhweal992j;p99.995p100;2017;4.55254888534546;992;j
QX;bhweal992j;p99.995p100;2018;4.98424196243286;992;j
QX;bhweal992j;p99.995p100;2019;4.58439111709595;992;j
QX;bhweal992j;p99.995p100;2020;4.30741214752197;992;j
QX;bhweal992j;p99.995p100;2021;5.20905590057373;992;j
QX;bptinc992j;p50p100;1980;1.89283835887909;992;j
QX;bptinc992j;p50p100;1981;1.87089145183563;992;j
QX;bptinc992j;p50p100;1982;1.85921037197113;992;j
QX;bptinc992j;p50p100;1983;1.87917602062225;992;j
