country;variable;percentile;year;value;age;pop
QY-MER;ahweal992j;p69p70;1995;67925.7;992;j
QY-MER;ahweal992j;p69p70;1996;69889.7;992;j
QY-MER;ahweal992j;p69p70;1997;72123.0;992;j
QY-MER;ahweal992j;p69p70;1998;77110.8;992;j
QY-MER;ahweal992j;p69p70;1999;81143.4;992;j
QY-MER;ahweal992j;p69p70;2000;84117.8;992;j
QY-MER;ahweal992j;p69p70;2001;86175.0;992;j
QY-MER;ahweal992j;p69p70;2002;86299.1;992;j
QY-MER;ahweal992j;p69p70;2003;92567.1;992;j
QY-MER;ahweal992j;p69p70;2004;99707.4;992;j
QY-MER;ahweal992j;p69p70;2005;108993.5;992;j
QY-MER;ahweal992j;p69p70;2006;114461.6;992;j
QY-MER;ahweal992j;p69p70;2007;117151.6;992;j
QY-MER;ahweal992j;p69p70;2008;117412.2;992;j
QY-MER;ahweal992j;p69p70;2009;111913.3;992;j
QY-MER;ahweal992j;p69p70;2010;111999.8;992;j
QY-MER;ahweal992j;p69p70;2011;112656.9;992;j
QY-MER;ahweal992j;p69p70;2012;110584.6;992;j
QY-MER;ahweal992j;p69p70;2013;110054.3;992;j
QY-MER;ahweal992j;p69p70;2014;109276.7;992;j
QY-MER;ahweal992j;p69p70;2015;115134.2;992;j
QY-MER;ahweal992j;p69p70;2016;119861.0;992;j
QY-MER;ahweal992j;p69p70;2017;122073.1;992;j
QY-MER;ahweal992j;p69p70;2018;125325.5;992;j
QY-MER;ahweal992j;p69p70;2019;130699.4;992;j
QY-MER;ahweal992j;p69p70;2020;129325.2;992;j
QY-MER;ahweal992j;p69p70;2021;133296.8;992;j
QY-MER;aptinc992j;p99.998p100;1980;10498766.0;992;j
QY-MER;aptinc992j;p99.998p100;1981;9410902.0;992;j
QY-MER;aptinc992j;p99.998p100;1982;7784957.5;992;j
QY-MER;aptinc992j;p99.998p100;1983;7586728.5;992;j
QY-MER;aptinc992j;p99.998p100;1984;7480944.5;992;j
QY-MER;aptinc992j;p99.998p100;1985;7911328.0;992;j
QY-MER;aptinc992j;p99.998p100;1986;8244817.5;992;j
QY-MER;aptinc992j;p99.998p100;1987;8496894.0;992;j
QY-MER;aptinc992j;p99.998p100;1988;9410337.0;992;j
QY-MER;aptinc992j;p99.998p100;1989;10793030.0;992;j
QY-MER;aptinc992j;p99.998p100;1990;8209844.5;992;j
QY-MER;aptinc992j;p99.998p100;1991;7366704.5;992;j
QY-MER;aptinc992j;p99.998p100;1992;5805265.5;992;j
QY-MER;aptinc992j;p99.998p100;1993;6216945.0;992;j
QY-MER;aptinc992j;p99.998p100;1994;6829362.0;992;j
QY-MER;aptinc992j;p99.998p100;1995;7556805.5;992;j
QY-MER;aptinc992j;p99.998p100;1996;9130503.0;992;j
QY-MER;aptinc992j;p99.998p100;1997;10890510.0;992;j
QY-MER;aptinc992j;p99.998p100;1998;12768883.0;992;j
QY-MER;aptinc992j;p99.998p100;1999;11839467.0;992;j
QY-MER;aptinc992j;p99.998p100;2000;10901487.0;992;j
QY-MER;aptinc992j;p99.998p100;2001;10596860.0;992;j
QY-MER;aptinc992j;p99.998p100;2002;10642375.0;992;j
QY-MER;aptinc992j;p99.998p100;2003;10895317.0;992;j
QY-MER;aptinc992j;p99.998p100;2004;12518024.0;992;j
QY-MER;aptinc992j;p99.998p100;2005;15428672.0;992;j
QY-MER;aptinc992j;p99.998p100;2006;15667504.0;992;j
QY-MER;aptinc992j;p99.998p100;2007;16631595.0;992;j
QY-MER;aptinc992j;p99.998p100;2008;16848744.0;992;j
QY-MER;aptinc992j;p99.998p100;2009;13262194.0;992;j
QY-MER;aptinc992j;p99.998p100;2010;13319773.0;992;j
QY-MER;aptinc992j;p99.998p100;2011;14538526.0;992;j
