country;variable;percentile;year;value;age;pop
QY;ahweal992j;p19p20;1995;3411.5;992;j
QY;ahweal992j;p19p20;1996;3396.5;992;j
QY;ahweal992j;p19p20;1997;3472.0;992;j
QY;ahweal992j;p19p20;1998;3636.7;992;j
QY;ahweal992j;p19p20;1999;3698.3;992;j
QY;ahweal992j;p19p20;2000;3910.1;992;j
QY;ahweal992j;p19p20;2001;4013.7;992;j
QY;ahweal992j;p19p20;2002;4135.7;992;j
QY;ahweal992j;p19p20;2003;4268.0;992;j
QY;ahweal992j;p19p20;2004;4757.0;992;j
QY;ahweal992j;p19p20;2005;4692.6;992;j
QY;ahweal992j;p19p20;2006;4833.5;992;j
QY;ahweal992j;p19p20;2007;4664.4;992;j
QY;ahweal992j;p19p20;2008;4593.5;992;j
QY;ahweal992j;p19p20;2009;4201.7;992;j
QY;ahweal992j;p19p20;2010;3913.7;992;j
QY;ahweal992j;p19p20;2011;3696.3;992;j
QY;ahweal992j;p19p20;2012;3895.3;992;j
QY;ahweal992j;p19p20;2013;3480.1;992;j
QY;ahweal992j;p19p20;2014;3642.2;992;j
QY;ahweal992j;p19p20;2015;3949.1;992;j
QY;ahweal992j;p19p20;2016;4102.3;992;j
QY;ahweal992j;p19p20;2017;4417.8;992;j
QY;ahweal992j;p19p20;2018;4585.5;992;j
QY;ahweal992j;p19p20;2019;4732.1;992;j
QY;ahweal992j;p19p20;2020;4816.7;992;j
QY;ahweal992j;p19p20;2021;5063.6;992;j
QY;ahweal992j;p35p100;1995;130931.9;992;j
QY;ahweal992j;p35p100;1996;135537.3;992;j
QY;ahweal992j;p35p100;1997;141359.8;992;j
QY;ahweal992j;p35p100;1998;148885.0;992;j
QY;ahweal992j;p35p100;1999;158119.4;992;j
QY;ahweal992j;p35p100;2000;165481.2;992;j
QY;ahweal992j;p35p100;2001;168498.9;992;j
QY;ahweal992j;p35p100;2002;171180.1;992;j
QY;ahweal992j;p35p100;2003;177244.7;992;j
QY;ahweal992j;p35p100;2004;187482.0;992;j
QY;ahweal992j;p35p100;2005;201276.0;992;j
QY;ahweal992j;p35p100;2006;214571.6;992;j
QY;ahweal992j;p35p100;2007;223087.4;992;j
QY;ahweal992j;p35p100;2008;221813.0;992;j
QY;ahweal992j;p35p100;2009;216862.1;992;j
QY;ahweal992j;p35p100;2010;219664.2;992;j
QY;ahweal992j;p35p100;2011;220765.7;992;j
QY;ahweal992j;p35p100;2012;219766.6;992;j
QY;ahweal992j;p35p100;2013;221792.4;992;j
QY;ahweal992j;p35p100;2014;226367.5;992;j
QY;ahweal992j;p35p100;2015;231767.6;992;j
QY;ahweal992j;p35p100;2016;238252.4;992;j
QY;ahweal992j;p35p100;2017;246442.0;992;j
QY;ahweal992j;p35p100;2018;253945.8;992;j
QY;ahweal992j;p35p100;2019;261798.1;992;j
QY;ahweal992j;p35p100;2020;261185.7;992;j
QY;ahweal992j;p35p100;2021;277106.0;992;j
QY;ahweal992j;p37p100;1995;134631.3;992;j
QY;ahweal992j;p37p100;1996;139370.9;992;j
QY;ahweal992j;p37p100;1997;145375.1;992;j
QY;ahweal992j;p37p100;1998;153120.8;992;j
QY;ahweal992j;p37p100;1999;162628.1;992;j
QY;ahweal992j;p37p100;2000;170231.5;992;j
QY;ahweal992j;p37p100;2001;173322.6;992;j
QY;ahweal992j;p37p100;2002;176076.9;992;j
QY;ahweal992j;p37p100;2003;182297.7;992;j
QY;ahweal992j;p37p100;2004;192833.9;992;j
QY;ahweal992j;p37p100;2005;207037.2;992;j
QY;ahweal992j;p37p100;2006;220776.5;992;j
QY;ahweal992j;p37p100;2007;229559.8;992;j
QY;ahweal992j;p37p100;2008;228252.9;992;j
QY;ahweal992j;p37p100;2009;223165.0;992;j
QY;ahweal992j;p37p100;2010;226047.6;992;j
QY;ahweal992j;p37p100;2011;227179.7;992;j
QY;ahweal992j;p37p100;2012;226168.1;992;j
QY;ahweal992j;p37p100;2013;228248.4;992;j
QY;ahweal992j;p37p100;2014;232951.2;992;j
QY;ahweal992j;p37p100;2015;238469.5;992;j
QY;ahweal992j;p37p100;2016;245127.4;992;j
QY;ahweal992j;p37p100;2017;253551.1;992;j
QY;ahweal992j;p37p100;2018;261250.9;992;j
QY;ahweal992j;p37p100;2019;269320.2;992;j
QY;ahweal992j;p37p100;2020;268682.6;992;j
QY;ahweal992j;p37p100;2021;285057.9;992;j
QY;ahweal992j;p95p100;1995;728498.9;992;j
QY;ahweal992j;p95p100;1996;769395.9;992;j
QY;ahweal992j;p95p100;1997;821064.6;992;j
QY;ahweal992j;p95p100;1998;878138.1;992;j
QY;ahweal992j;p95p100;1999;932258.6;992;j
QY;ahweal992j;p95p100;2000;975210.9;992;j
QY;ahweal992j;p95p100;2001;1005302.8;992;j
QY;ahweal992j;p95p100;2002;1041025.3;992;j
QY;ahweal992j;p95p100;2003;1070666.3;992;j
QY;ahweal992j;p95p100;2004;1136655.9;992;j
QY;ahweal992j;p95p100;2005;1206467.4;992;j
QY;ahweal992j;p95p100;2006;1283654.0;992;j
QY;ahweal992j;p95p100;2007;1347119.5;992;j
QY;ahweal992j;p95p100;2008;1319627.6;992;j
QY;ahweal992j;p95p100;2009;1289550.9;992;j
QY;ahweal992j;p95p100;2010;1327961.5;992;j
QY;ahweal992j;p95p100;2011;1334112.0;992;j
QY;ahweal992j;p95p100;2012;1332602.4;992;j
QY;ahweal992j;p95p100;2013;1357717.3;992;j
QY;ahweal992j;p95p100;2014;1397592.1;992;j
QY;ahweal992j;p95p100;2015;1409661.5;992;j
QY;ahweal992j;p95p100;2016;1446443.1;992;j
QY;ahweal992j;p95p100;2017;1499595.0;992;j
QY;ahweal992j;p95p100;2018;1546595.8;992;j
QY;ahweal992j;p95p100;2019;1590590.5;992;j
QY;ahweal992j;p95p100;2020;1577406.4;992;j
QY;ahweal992j;p95p100;2021;1688331.6;992;j
QY;ahweal992j;p96p97;1995;370678.7;992;j
QY;ahweal992j;p96p97;1996;382331.3;992;j
QY;ahweal992j;p96p97;1997;396559.2;992;j
QY;ahweal992j;p96p97;1998;416408.6;992;j
QY;ahweal992j;p96p97;1999;434548.7;992;j
QY;ahweal992j;p96p97;2000;461141.7;992;j
QY;ahweal992j;p96p97;2001;481397.8;992;j
QY;ahweal992j;p96p97;2002;482865.6;992;j
QY;ahweal992j;p96p97;2003;505322.5;992;j
QY;ahweal992j;p96p97;2004;537980.6;992;j
QY;ahweal992j;p96p97;2005;577454.0;992;j
QY;ahweal992j;p96p97;2006;615123.5;992;j
QY;ahweal992j;p96p97;2007;649010.0;992;j
QY;ahweal992j;p96p97;2008;645969.5;992;j
QY;ahweal992j;p96p97;2009;634950.1;992;j
QY;ahweal992j;p96p97;2010;647771.0;992;j
QY;ahweal992j;p96p97;2011;644390.8;992;j
QY;ahweal992j;p96p97;2012;636396.8;992;j
QY;ahweal992j;p96p97;2013;629447.9;992;j
QY;ahweal992j;p96p97;2014;649669.1;992;j
QY;ahweal992j;p96p97;2015;664534.0;992;j
QY;ahweal992j;p96p97;2016;681274.5;992;j
QY;ahweal992j;p96p97;2017;704855.2;992;j
QY;ahweal992j;p96p97;2018;717640.6;992;j
QY;ahweal992j;p96p97;2019;742211.8;992;j
QY;ahweal992j;p96p97;2020;731517.1;992;j
QY;ahweal992j;p96p97;2021;776132.3;992;j
QY;bptinc992j;p16p100;1980;3.68375515937805;992;j
QY;bptinc992j;p16p100;1981;3.74053716659546;992;j
QY;bptinc992j;p16p100;1982;3.77691555023193;992;j
QY;bptinc992j;p16p100;1983;3.73762178421021;992;j
QY;bptinc992j;p16p100;1984;3.74127125740051;992;j
QY;bptinc992j;p16p100;1985;3.7277946472168;992;j
QY;bptinc992j;p16p100;1986;3.73394513130188;992;j
QY;bptinc992j;p16p100;1987;3.71782732009888;992;j
QY;bptinc992j;p16p100;1988;3.74351453781128;992;j
QY;bptinc992j;p16p100;1989;3.80483818054199;992;j
QY;bptinc992j;p16p100;1990;4.13488340377808;992;j
QY;bptinc992j;p16p100;1991;4.40226888656616;992;j
QY;bptinc992j;p16p100;1992;4.56848955154419;992;j
QY;bptinc992j;p16p100;1993;4.6712794303894;992;j
QY;bptinc992j;p16p100;1994;4.80567073822021;992;j
QY;bptinc992j;p16p100;1995;4.9846978187561;992;j
QY;bptinc992j;p16p100;1996;4.90192604064941;992;j
QY;bptinc992j;p16p100;1997;4.95213174819946;992;j
QY;bptinc992j;p16p100;1998;4.98496103286743;992;j
QY;bptinc992j;p16p100;1999;5.05546283721924;992;j
QY;bptinc992j;p16p100;2000;5.07245397567749;992;j
QY;bptinc992j;p16p100;2001;5.02568817138672;992;j
QY;bptinc992j;p16p100;2002;5.00586891174316;992;j
QY;bptinc992j;p16p100;2003;5.04410600662231;992;j
QY;bptinc992j;p16p100;2004;4.96661329269409;992;j
QY;bptinc992j;p16p100;2005;4.92674970626831;992;j
QY;bptinc992j;p16p100;2006;4.88821172714233;992;j
QY;bptinc992j;p16p100;2007;4.90656757354736;992;j
QY;bptinc992j;p16p100;2008;4.67586708068848;992;j
QY;bptinc992j;p16p100;2009;4.63226509094238;992;j
QY;bptinc992j;p16p100;2010;4.55605459213257;992;j
QY;bptinc992j;p16p100;2011;4.56225252151489;992;j
QY;bptinc992j;p16p100;2012;4.61204195022583;992;j
QY;bptinc992j;p16p100;2013;4.60566091537476;992;j
QY;bptinc992j;p16p100;2014;4.62444067001343;992;j
QY;bptinc992j;p16p100;2015;4.57410287857056;992;j
QY;bptinc992j;p16p100;2016;4.48800754547119;992;j
QY;bptinc992j;p16p100;2017;4.4137601852417;992;j
QY;bptinc992j;p16p100;2018;4.43481683731079;992;j
QY;bptinc992j;p16p100;2019;4.3262300491333;992;j
QY;bptinc992j;p16p100;2020;4.32682991027832;992;j
QY;bptinc992j;p16p100;2021;4.31218338012695;992;j
QY;bptinc992j;p41p100;1980;2.11905908584595;992;j
QY;bptinc992j;p41p100;1981;2.12205910682678;992;j
QY;bptinc992j;p41p100;1982;2.12245297431946;992;j
QY;bptinc992j;p41p100;1983;2.11143612861633;992;j
QY;bptinc992j;p41p100;1984;2.11759042739868;992;j
QY;bptinc992j;p41p100;1985;2.13196158409119;992;j
QY;bptinc992j;p41p100;1986;2.15713596343994;992;j
QY;bptinc992j;p41p100;1987;2.16173982620239;992;j
QY;bptinc992j;p41p100;1988;2.17907524108887;992;j
QY;bptinc992j;p41p100;1989;2.24365043640137;992;j
QY;bptinc992j;p41p100;1990;2.32478356361389;992;j
QY;bptinc992j;p41p100;1991;2.34982466697693;992;j
QY;bptinc992j;p41p100;1992;2.37831568717956;992;j
QY;bptinc992j;p41p100;1993;2.40350556373596;992;j
QY;bptinc992j;p41p100;1994;2.41233015060425;992;j
QY;bptinc992j;p41p100;1995;2.42610812187195;992;j
QY;bptinc992j;p41p100;1996;2.43196082115173;992;j
QY;bptinc992j;p41p100;1997;2.44449043273926;992;j
QY;bptinc992j;p41p100;1998;2.46709179878235;992;j
QY;bptinc992j;p41p100;1999;2.47477650642395;992;j
QY;bptinc992j;p41p100;2000;2.46337485313415;992;j
QY;bptinc992j;p41p100;2001;2.46784138679504;992;j
QY;bptinc992j;p41p100;2002;2.45015001296997;992;j
QY;bptinc992j;p41p100;2003;2.43937039375305;992;j
QY;bptinc992j;p41p100;2004;2.45178604125977;992;j
QY;bptinc992j;p41p100;2005;2.45589709281921;992;j
QY;bptinc992j;p41p100;2006;2.47555303573608;992;j
QY;bptinc992j;p41p100;2007;2.48250079154968;992;j
QY;bptinc992j;p41p100;2008;2.44572925567627;992;j
QY;bptinc992j;p41p100;2009;2.43505430221558;992;j
QY;bptinc992j;p41p100;2010;2.40759515762329;992;j
QY;bptinc992j;p41p100;2011;2.40926814079285;992;j
QY;bptinc992j;p41p100;2012;2.41838884353638;992;j
QY;bptinc992j;p41p100;2013;2.43947029113769;992;j
QY;bptinc992j;p41p100;2014;2.42205166816711;992;j
QY;bptinc992j;p41p100;2015;2.39134049415588;992;j
QY;bptinc992j;p41p100;2016;2.37205076217651;992;j
QY;bptinc992j;p41p100;2017;2.34808349609375;992;j
QY;bptinc992j;p41p100;2018;2.33759498596191;992;j
QY;bptinc992j;p41p100;2019;2.31900262832642;992;j
QY;bptinc992j;p41p100;2020;2.31802821159363;992;j
QY;bptinc992j;p41p100;2021;2.31399607658386;992;j
QY;bptinc992j;p99.98p100;1980;2.97187805175781;992;j
QY;bptinc992j;p99.98p100;1981;2.88117218017578;992;j
QY;bptinc992j;p99.98p100;1982;2.64622116088867;992;j
QY;bptinc992j;p99.98p100;1983;2.56335067749023;992;j
QY;bptinc992j;p99.98p100;1984;2.50117468833923;992;j
QY;bptinc992j;p99.98p100;1985;2.5258092880249;992;j
QY;bptinc992j;p99.98p100;1986;2.50699043273926;992;j
QY;bptinc992j;p99.98p100;1987;2.4553382396698;992;j
QY;bptinc992j;p99.98p100;1988;2.51690077781677;992;j
QY;bptinc992j;p99.98p100;1989;2.51728320121765;992;j
