country;variable;percentile;year;value;age;pop
SM;accmhn999i;p0p100;2007;289.7;999;i
SM;accmhn999i;p0p100;2008;285.4;999;i
SM;accmhn999i;p0p100;2009;266.5;999;i
SM;accmhn999i;p0p100;2010;258.4;999;i
SM;accmhn999i;p0p100;2011;232.2;999;i
SM;accmhn999i;p0p100;2012;227.6;999;i
SM;mftaxx999i;p0p100;2012;0.0;999;i
SM;afsubx999i;p0p100;2012;0.0;999;i
SM;mgmxho999i;p0p100;2007;324193536.0;999;i
SM;mgmxho999i;p0p100;2008;309103712.0;999;i
SM;mgmxho999i;p0p100;2009;246079616.0;999;i
SM;mgmxho999i;p0p100;2010;234593856.0;999;i
SM;mgmxho999i;p0p100;2011;222869088.0;999;i
SM;mgmxho999i;p0p100;2012;214628864.0;999;i
SM;mgweal999i;p0p100;1995;67331205.0;999;i
SM;mgweal999i;p0p100;1996;89881106.0;999;i
SM;mgweal999i;p0p100;1997;114184655.0;999;i
SM;mgweal999i;p0p100;1998;144525933.0;999;i
SM;mgweal999i;p0p100;1999;183074799.0;999;i
SM;mgweal999i;p0p100;2000;212487262.0;999;i
SM;mgweal999i;p0p100;2001;255902160.0;999;i
SM;mgweal999i;p0p100;2002;288496413.0;999;i
SM;mgweal999i;p0p100;2003;338406414.0;999;i
SM;mgweal999i;p0p100;2004;398124029.0;999;i
SM;mgweal999i;p0p100;2005;453177732.0;999;i
SM;mgweal999i;p0p100;2006;518540114.0;999;i
SM;mgweal999i;p0p100;2007;606997062.0;999;i
SM;mgweal999i;p0p100;2008;612768985.0;999;i
SM;mgweal999i;p0p100;2009;543912797.0;999;i
SM;mgweal999i;p0p100;2010;525839974.0;999;i
SM;mgweal999i;p0p100;2011;492981185.0;999;i
SM;mgweal999i;p0p100;2012;333486103.0;999;i
SM;mgweal999i;p0p100;2013;321958736.0;999;i
SM;mgweal999i;p0p100;2014;306520002.0;999;i
SM;mgweal999i;p0p100;2015;299932043.0;999;i
SM;mgweal999i;p0p100;2016;291483630.0;999;i
SM;mgweal999i;p0p100;2017;274825092.0;999;i
SM;mgweal999i;p0p100;2018;263377088.0;999;i
SM;mgweal999i;p0p100;2019;254993519.0;999;i
SM;mgweal999i;p0p100;2020;219011888.0;999;i
SM;mgweal999i;p0p100;2021;216327951.0;999;i
SM;agsrco999i;p0p100;2007;23530.9;999;i
SM;agsrco999i;p0p100;2008;22536.9;999;i
SM;agsrco999i;p0p100;2009;19003.1;999;i
SM;agsrco999i;p0p100;2010;16427.6;999;i
SM;agsrco999i;p0p100;2011;13945.9;999;i
SM;agsrco999i;p0p100;2012;11737.9;999;i
SM;anweal999i;p0p100;1995;16287.2;999;i
SM;anweal999i;p0p100;1996;19272.1;999;i
SM;anweal999i;p0p100;1997;22486.7;999;i
SM;anweal999i;p0p100;1998;26711.1;999;i
SM;anweal999i;p0p100;1999;32022.5;999;i
SM;anweal999i;p0p100;2000;35255.1;999;i
SM;anweal999i;p0p100;2001;40279.3;999;i
SM;anweal999i;p0p100;2002;43147.0;999;i
SM;anweal999i;p0p100;2003;48190.1;999;i
SM;anweal999i;p0p100;2004;54230.5;999;i
SM;anweal999i;p0p100;2005;59411.6;999;i
SM;anweal999i;p0p100;2006;65996.7;999;i
SM;anweal999i;p0p100;2007;75764.8;999;i
SM;anweal999i;p0p100;2008;75791.1;999;i
SM;anweal999i;p0p100;2009;67395.3;999;i
SM;anweal999i;p0p100;2010;65858.3;999;i
SM;anweal999i;p0p100;2011;62995.4;999;i
SM;anweal999i;p0p100;2012;43912.3;999;i
SM;anweal999i;p0p100;2013;44091.1;999;i
SM;anweal999i;p0p100;2014;44124.7;999;i
SM;anweal999i;p0p100;2015;45868.8;999;i
SM;anweal999i;p0p100;2016;47795.7;999;i
SM;anweal999i;p0p100;2017;48645.2;999;i
SM;anweal999i;p0p100;2018;50585.8;999;i
SM;anweal999i;p0p100;2019;53428.0;999;i
SM;anweal999i;p0p100;2020;50259.8;999;i
SM;anweal999i;p0p100;2021;54620.4;999;i
SM;wwealh999i;p0p100;1995;0.281877607107162;999;i
SM;wwealh999i;p0p100;1996;0.329871207475662;999;i
SM;wwealh999i;p0p100;1997;0.37796825170517;999;i
SM;wwealh999i;p0p100;1998;0.426321923732758;999;i
SM;wwealh999i;p0p100;1999;0.474743753671646;999;i
SM;wwealh999i;p0p100;2000;0.523142516613007;999;i
SM;wwealh999i;p0p100;2001;0.57237696647644;999;i
SM;wwealh999i;p0p100;2002;0.623481929302216;999;i
SM;wwealh999i;p0p100;2003;0.677586138248444;999;i
SM;wwealh999i;p0p100;2004;0.735198557376862;999;i
SM;wwealh999i;p0p100;2005;0.796170115470886;999;i
SM;wwealh999i;p0p100;2006;0.858686208724976;999;i
SM;wwealh999i;p0p100;2007;0.919846713542938;999;i
SM;wwealh999i;p0p100;2008;0.977283418178558;999;i
SM;wwealh999i;p0p100;2009;1.03035867214203;999;i
SM;wwealh999i;p0p100;2010;1.0783007144928;999;i
SM;wwealh999i;p0p100;2011;1.12388908863068;999;i
SM;wwealh999i;p0p100;2012;1.17034351825714;999;i
SM;wwealh999i;p0p100;2013;1.21912705898285;999;i
SM;wwealh999i;p0p100;2014;1.27166175842285;999;i
SM;wwealh999i;p0p100;2015;1.32910108566284;999;i
SM;wwealh999i;p0p100;2016;1.39131510257721;999;i
SM;wwealh999i;p0p100;2017;1.45863723754883;999;i
SM;wwealh999i;p0p100;2018;1.53081405162811;999;i
SM;wwealh999i;p0p100;2019;1.60822701454163;999;i
SM;wwealh999i;p0p100;2020;1.6893367767334;999;i
SM;wwealh999i;p0p100;2021;1.77082324028015;999;i
SM;mgsrhn999i;p0p100;2007;0.0;999;i
SM;mgsrhn999i;p0p100;2008;0.0;999;i
SM;mgsrhn999i;p0p100;2009;-57728.0;999;i
SM;mgsrhn999i;p0p100;2010;0.0;999;i
SM;mgsrhn999i;p0p100;2011;0.0;999;i
SM;mgsrhn999i;p0p100;2012;0.0;999;i
SM;mnsmhn999i;p0p100;2007;315483200.0;999;i
SM;mnsmhn999i;p0p100;2008;300096800.0;999;i
SM;mnsmhn999i;p0p100;2009;237420064.0;999;i
SM;mnsmhn999i;p0p100;2010;226048608.0;999;i
SM;mnsmhn999i;p0p100;2011;215079056.0;999;i
SM;mnsmhn999i;p0p100;2012;207322592.0;999;i
SM;apolgo999i;p0p100;1997;605.2;999;i
SM;apolgo999i;p0p100;1998;665.3;999;i
SM;apolgo999i;p0p100;1999;714.4;999;i
SM;arecgo999i;p0p100;1997;775.6;999;i
SM;arecgo999i;p0p100;1998;825.5;999;i
SM;arecgo999i;p0p100;1999;921.3;999;i
SM;arecgo999i;p0p100;2003;627.8;999;i
SM;arecgo999i;p0p100;2004;706.3;999;i
SM;wwealg999i;p0p100;1995;0.0755957886576653;999;i
SM;wwealg999i;p0p100;1996;0.0966691896319389;999;i
SM;wwealg999i;p0p100;1997;0.117367133498192;999;i
SM;wwealg999i;p0p100;1998;0.13786855340004;999;i
SM;wwealg999i;p0p100;1999;0.158945873379707;999;i
SM;wwealg999i;p0p100;2000;0.18152117729187;999;i
SM;wwealg999i;p0p100;2001;0.206186413764954;999;i
SM;wwealg999i;p0p100;2002;0.233180895447731;999;i
SM;wwealg999i;p0p100;2003;0.262636005878448;999;i
SM;wwealg999i;p0p100;2004;0.294167995452881;999;i
SM;wwealg999i;p0p100;2005;0.326510906219482;999;i
SM;wwealg999i;p0p100;2006;0.357361227273941;999;i
SM;wwealg999i;p0p100;2007;0.383881092071533;999;i
SM;wwealg999i;p0p100;2008;0.403561532497406;999;i
SM;wwealg999i;p0p100;2009;0.41503831744194;999;i
SM;wwealg999i;p0p100;2010;0.418391227722168;999;i
SM;wwealg999i;p0p100;2011;0.41482350230217;999;i
SM;wwealg999i;p0p100;2012;0.405716925859451;999;i
SM;wwealg999i;p0p100;2013;0.392468571662903;999;i
SM;wwealg999i;p0p100;2014;0.376216858625412;999;i
SM;wwealg999i;p0p100;2015;0.358069479465485;999;i
SM;wwealg999i;p0p100;2016;0.33917036652565;999;i
SM;wwealg999i;p0p100;2017;0.320461362600326;999;i
SM;wwealg999i;p0p100;2018;0.30231311917305;999;i
SM;wwealg999i;p0p100;2019;0.284597784280777;999;i
SM;wwealg999i;p0p100;2020;0.267181515693665;999;i
SM;wwealg999i;p0p100;2021;0.249358788132668;999;i
SM;agninc999i;p0p100;1970;23830.3;999;i
SM;agninc999i;p0p100;1971;24053.3;999;i
SM;agninc999i;p0p100;1972;24806.6;999;i
SM;agninc999i;p0p100;1973;26476.5;999;i
SM;agninc999i;p0p100;1974;27793.6;999;i
SM;agninc999i;p0p100;1975;26983.4;999;i
SM;agninc999i;p0p100;1976;28543.4;999;i
SM;agninc999i;p0p100;1977;28823.6;999;i
SM;agninc999i;p0p100;1978;29237.2;999;i
SM;agninc999i;p0p100;1979;30441.4;999;i
SM;agninc999i;p0p100;1980;30998.4;999;i
SM;agninc999i;p0p100;1981;30820.6;999;i
SM;agninc999i;p0p100;1982;30566.1;999;i
SM;agninc999i;p0p100;1983;30560.1;999;i
SM;agninc999i;p0p100;1984;31196.2;999;i
SM;agninc999i;p0p100;1985;31718.8;999;i
SM;agninc999i;p0p100;1986;32274.9;999;i
SM;agninc999i;p0p100;1987;32949.1;999;i
SM;agninc999i;p0p100;1988;33957.9;999;i
SM;agninc999i;p0p100;1989;34716.5;999;i
SM;agninc999i;p0p100;1990;34976.7;999;i
SM;agninc999i;p0p100;1991;35026.8;999;i
SM;agninc999i;p0p100;1992;34782.8;999;i
SM;agninc999i;p0p100;1993;37246.1;999;i
SM;agninc999i;p0p100;1994;39265.7;999;i
SM;agninc999i;p0p100;1995;42341.6;999;i
SM;agninc999i;p0p100;1996;43850.7;999;i
SM;agninc999i;p0p100;1997;45514.3;999;i
SM;agninc999i;p0p100;1998;48405.6;999;i
SM;agninc999i;p0p100;1999;52192.8;999;i
SM;agninc999i;p0p100;2000;52714.7;999;i
SM;agninc999i;p0p100;2001;54954.9;999;i
SM;agninc999i;p0p100;2002;54415.6;999;i
SM;agninc999i;p0p100;2003;55757.1;999;i
SM;agninc999i;p0p100;2004;57532.0;999;i
SM;agninc999i;p0p100;2005;58155.6;999;i
SM;agninc999i;p0p100;2006;59618.6;999;i
SM;agninc999i;p0p100;2007;63086.0;999;i
SM;agninc999i;p0p100;2008;62004.8;999;i
SM;agninc999i;p0p100;2009;54916.1;999;i
SM;agninc999i;p0p100;2010;51223.5;999;i
SM;agninc999i;p0p100;2011;46323.7;999;i
SM;agninc999i;p0p100;2012;34050.3;999;i
SM;agninc999i;p0p100;2013;33311.6;999;i
SM;agninc999i;p0p100;2014;32679.4;999;i
SM;agninc999i;p0p100;2015;33107.4;999;i
SM;agninc999i;p0p100;2016;33651.0;999;i
SM;agninc999i;p0p100;2017;33565.5;999;i
SM;agninc999i;p0p100;2018;33971.3;999;i
SM;agninc999i;p0p100;2019;34703.2;999;i
SM;agninc999i;p0p100;2020;32415.9;999;i
SM;agninc999i;p0p100;2021;33776.5;999;i
SM;acomnx999i;p0p100;2012;-5209.3;999;i
SM;agsrho999i;p0p100;2007;-135.3;999;i
SM;agsrho999i;p0p100;2008;-148.0;999;i
SM;agsrho999i;p0p100;2009;-157.6;999;i
SM;agsrho999i;p0p100;2010;-152.5;999;i
SM;agsrho999i;p0p100;2011;-154.8;999;i
SM;agsrho999i;p0p100;2012;-149.4;999;i
SM;msopgo999i;p0p100;1997;54285080.0;999;i
SM;msopgo999i;p0p100;1998;56561256.0;999;i
SM;msopgo999i;p0p100;1999;67439296.0;999;i
SM;msopgo999i;p0p100;2003;49747900.0;999;i
SM;msopgo999i;p0p100;2004;99859400.0;999;i
SM;agsrnf999i;p0p100;2007;22810.2;999;i
SM;agsrnf999i;p0p100;2008;22087.8;999;i
SM;agsrnf999i;p0p100;2009;18689.1;999;i
SM;agsrnf999i;p0p100;2010;16383.9;999;i
SM;agsrnf999i;p0p100;2011;13549.1;999;i
SM;agsrnf999i;p0p100;2012;11832.0;999;i
SM;mcfcho999i;p0p100;2007;8193243.0;999;i
SM;mcfcho999i;p0p100;2008;8161455.0;999;i
SM;mcfcho999i;p0p100;2009;7591880.0;999;i
SM;mcfcho999i;p0p100;2010;7448378.0;999;i
SM;mcfcho999i;p0p100;2011;6759281.0;999;i
SM;mcfcho999i;p0p100;2012;6725991.0;999;i
SM;acfcgo999i;p0p100;2007;1048.9;999;i
SM;acfcgo999i;p0p100;2008;1211.3;999;i
SM;acfcgo999i;p0p100;2009;1238.9;999;i
SM;acfcgo999i;p0p100;2010;1097.8;999;i
SM;acfcgo999i;p0p100;2011;878.8;999;i
SM;acfcgo999i;p0p100;2012;844.8;999;i
SM;aecogo999i;p0p100;1997;1201.2;999;i
SM;aecogo999i;p0p100;1998;1253.5;999;i
SM;aecogo999i;p0p100;1999;1266.5;999;i
SM;wwealn999i;p0p100;1995;0.474129468202591;999;i
SM;wwealn999i;p0p100;1996;0.544141352176666;999;i
SM;wwealn999i;p0p100;1997;0.613938570022583;999;i
SM;wwealn999i;p0p100;1998;0.683901369571686;999;i
SM;wwealn999i;p0p100;1999;0.754685521125793;999;i
SM;wwealn999i;p0p100;2000;0.827081263065338;999;i
SM;wwealn999i;p0p100;2001;0.902610003948212;999;i
SM;wwealn999i;p0p100;2002;0.982579052448273;999;i
SM;wwealn999i;p0p100;2003;1.06822443008423;999;i
SM;wwealn999i;p0p100;2004;1.15962934494019;999;i
SM;wwealn999i;p0p100;2005;1.25523066520691;999;i
SM;wwealn999i;p0p100;2006;1.35083925724029;999;i
SM;wwealn999i;p0p100;2007;1.44048833847046;999;i
SM;wwealn999i;p0p100;2008;1.51911306381226;999;i
SM;wwealn999i;p0p100;2009;1.58476364612579;999;i
SM;wwealn999i;p0p100;2010;1.63642930984497;999;i
SM;wwealn999i;p0p100;2011;1.67828810214996;999;i
SM;wwealn999i;p0p100;2012;1.71515822410583;999;i
SM;wwealn999i;p0p100;2013;1.74963307380676;999;i
SM;wwealn999i;p0p100;2014;1.78439211845398;999;i
SM;wwealn999i;p0p100;2015;1.82196891307831;999;i
SM;wwealn999i;p0p100;2016;1.86332905292511;999;i
SM;wwealn999i;p0p100;2017;1.90991973876953;999;i
SM;wwealn999i;p0p100;2018;1.96169495582581;999;i
SM;wwealn999i;p0p100;2019;2.0191011428833;999;i
SM;wwealn999i;p0p100;2020;2.08044362068176;999;i
SM;wwealn999i;p0p100;2021;2.14171957969665;999;i
SM;acfcco999i;p0p100;2007;9150.8;999;i
SM;acfcco999i;p0p100;2008;10605.9;999;i
SM;acfcco999i;p0p100;2009;10871.0;999;i
SM;acfcco999i;p0p100;2010;9607.0;999;i
SM;acfcco999i;p0p100;2011;7663.3;999;i
SM;acfcco999i;p0p100;2012;7375.5;999;i
SM;acfchn999i;p0p100;2007;289.7;999;i
SM;acfchn999i;p0p100;2008;295.9;999;i
SM;acfchn999i;p0p100;2009;279.1;999;i
SM;acfchn999i;p0p100;2010;273.6;999;i
SM;acfchn999i;p0p100;2011;246.0;999;i
SM;acfchn999i;p0p100;2012;227.6;999;i
SM;xlceux999i;p0p100;1999;1.0;999;i
SM;xlceux999i;p0p100;2000;1.0;999;i
SM;xlceux999i;p0p100;2001;1.0;999;i
SM;xlceux999i;p0p100;2002;1.0;999;i
SM;xlceux999i;p0p100;2003;1.0;999;i
SM;xlceux999i;p0p100;2004;1.0;999;i
SM;xlceux999i;p0p100;2005;1.0;999;i
SM;xlceux999i;p0p100;2006;1.0;999;i
SM;xlceux999i;p0p100;2007;1.0;999;i
SM;xlceux999i;p0p100;2008;1.0;999;i
