country;variable;percentile;year;value;age;pop
SX;aptfrn999i;p0p100;2005;1252.9;999;i
SX;aptfrn999i;p0p100;2006;1272.6;999;i
SX;aptfrn999i;p0p100;2007;1255.4;999;i
SX;aptfrn999i;p0p100;2008;1136.6;999;i
SX;aptfrn999i;p0p100;2009;1602.6;999;i
SX;aptfrn999i;p0p100;2010;1767.8;999;i
SX;aptfrn999i;p0p100;2011;4914.2;999;i
SX;aptfrn999i;p0p100;2012;2882.1;999;i
SX;aptfrn999i;p0p100;2013;4980.2;999;i
SX;aptfrn999i;p0p100;2014;4581.8;999;i
SX;aptfrn999i;p0p100;2015;3067.2;999;i
SX;aptfrn999i;p0p100;2016;2501.1;999;i
SX;aptfrn999i;p0p100;2017;2647.2;999;i
SX;aptfrn999i;p0p100;2018;2486.0;999;i
SX;aptfrn999i;p0p100;2019;64.1;999;i
SX;wwealh999i;p0p100;2005;0.877537071704865;999;i
SX;wwealh999i;p0p100;2006;0.940782070159912;999;i
SX;wwealh999i;p0p100;2007;1.00156855583191;999;i
SX;wwealh999i;p0p100;2008;1.05796432495117;999;i
SX;wwealh999i;p0p100;2009;1.10885500907898;999;i
SX;wwealh999i;p0p100;2010;1.1548558473587;999;i
SX;wwealh999i;p0p100;2011;1.19828402996063;999;i
SX;wwealh999i;p0p100;2012;1.24223518371582;999;i
SX;wwealh999i;p0p100;2013;1.28805994987488;999;i
SX;wwealh999i;p0p100;2014;1.33861899375916;999;i
SX;wwealh999i;p0p100;2015;1.39367699623108;999;i
SX;wwealh999i;p0p100;2016;1.45368432998657;999;i
SX;wwealh999i;p0p100;2017;1.51886284351349;999;i
SX;wwealh999i;p0p100;2018;1.58914589881897;999;i
SX;wwealh999i;p0p100;2019;1.6648325920105;999;i
SX;wwealh999i;p0p100;2020;1.7443140745163;999;i
SX;wwealh999i;p0p100;2021;1.82490313053131;999;i
SX;mnnfin999i;p0p100;2011;130901528.0;999;i
SX;mnnfin999i;p0p100;2012;82274560.0;999;i
SX;mnnfin999i;p0p100;2013;194808528.0;999;i
SX;mnnfin999i;p0p100;2014;146647760.0;999;i
SX;mnnfin999i;p0p100;2015;103130328.0;999;i
SX;mnnfin999i;p0p100;2016;101351656.0;999;i
SX;mnnfin999i;p0p100;2017;57350220.0;999;i
SX;mnnfin999i;p0p100;2018;47740964.0;999;i
SX;mnnfin999i;p0p100;2019;-58323924.0;999;i
SX;mnnfin999i;p0p100;2020;-46391864.0;999;i
SX;mnnfin999i;p0p100;2021;-35257792.0;999;i
SX;aftaxx999i;p0p100;2011;73.3;999;i
SX;aftaxx999i;p0p100;2012;122.0;999;i
SX;aftaxx999i;p0p100;2013;165.3;999;i
SX;aftaxx999i;p0p100;2014;58.4;999;i
SX;aftaxx999i;p0p100;2015;114.0;999;i
SX;aftaxx999i;p0p100;2016;172.1;999;i
SX;aftaxx999i;p0p100;2017;112.4;999;i
SX;aftaxx999i;p0p100;2018;9.4;999;i
SX;apweal999i;p0p100;2005;46633.6;999;i
SX;apweal999i;p0p100;2006;52103.8;999;i
SX;apweal999i;p0p100;2007;57504.0;999;i
SX;apweal999i;p0p100;2008;60952.1;999;i
SX;apweal999i;p0p100;2009;62711.6;999;i
SX;apweal999i;p0p100;2010;66126.5;999;i
SX;apweal999i;p0p100;2011;74887.1;999;i
SX;apweal999i;p0p100;2012;73785.7;999;i
SX;apweal999i;p0p100;2013;78601.6;999;i
SX;apweal999i;p0p100;2014;77950.2;999;i
SX;apweal999i;p0p100;2015;77230.5;999;i
SX;apweal999i;p0p100;2016;79079.6;999;i
SX;apweal999i;p0p100;2017;74542.8;999;i
SX;apweal999i;p0p100;2018;71417.7;999;i
SX;apweal999i;p0p100;2019;76885.4;999;i
SX;apweal999i;p0p100;2020;59102.7;999;i
SX;apweal999i;p0p100;2021;45458.2;999;i
SX;mfdirx999i;p0p100;2011;879318.0;999;i
SX;mfdirx999i;p0p100;2012;659348.0;999;i
SX;mfdirx999i;p0p100;2013;0.0;999;i
SX;mfdirx999i;p0p100;2014;613757.0;999;i
SX;mfdirx999i;p0p100;2015;161477.0;999;i
SX;mfdirx999i;p0p100;2016;1706550.0;999;i
SX;mfdirx999i;p0p100;2017;4008108.0;999;i
SX;mfdirx999i;p0p100;2018;2084942.0;999;i
SX;xlcusp999i;p0p100;2005;1.17225563526154;999;i
SX;xlcusp999i;p0p100;2006;1.16234230995178;999;i
SX;xlcusp999i;p0p100;2007;1.15840530395508;999;i
SX;xlcusp999i;p0p100;2008;1.18849360942841;999;i
SX;xlcusp999i;p0p100;2009;1.18769419193268;999;i
SX;xlcusp999i;p0p100;2010;1.18668210506439;999;i
SX;xlcusp999i;p0p100;2011;1.16725659370422;999;i
SX;xlcusp999i;p0p100;2012;1.1916241645813;999;i
SX;xlcusp999i;p0p100;2013;1.20372128486633;999;i
SX;xlcusp999i;p0p100;2014;1.41954469680786;999;i
SX;xlcusp999i;p0p100;2015;1.42108297348023;999;i
SX;xlcusp999i;p0p100;2016;1.41118371486664;999;i
SX;xlcusp999i;p0p100;2017;1.38657069206238;999;i
SX;xlcusp999i;p0p100;2018;1.44226539134979;999;i
SX;xlcusp999i;p0p100;2019;1.45173633098602;999;i
SX;xlcusp999i;p0p100;2020;1.49331951141357;999;i
SX;xlcusp999i;p0p100;2021;1.5267915725708;999;i
SX;afdinx999i;p0p100;2011;-117.0;999;i
SX;afdinx999i;p0p100;2012;-14.8;999;i
SX;afdinx999i;p0p100;2013;-25.1;999;i
SX;afdinx999i;p0p100;2014;-6.9;999;i
SX;afdinx999i;p0p100;2015;-14.1;999;i
SX;afdinx999i;p0p100;2016;30.8;999;i
SX;afdinx999i;p0p100;2017;53.1;999;i
SX;afdinx999i;p0p100;2018;-49.2;999;i
SX;agninc999i;p0p100;2005;52862.4;999;i
SX;agninc999i;p0p100;2006;55383.0;999;i
SX;agninc999i;p0p100;2007;57714.7;999;i
SX;agninc999i;p0p100;2008;58386.9;999;i
SX;agninc999i;p0p100;2009;57866.7;999;i
SX;agninc999i;p0p100;2010;58807.9;999;i
SX;agninc999i;p0p100;2011;63685.2;999;i
SX;agninc999i;p0p100;2012;61071.1;999;i
SX;agninc999i;p0p100;2013;62625.6;999;i
SX;agninc999i;p0p100;2014;60181.4;999;i
SX;agninc999i;p0p100;2015;57667.8;999;i
SX;agninc999i;p0p100;2016;56707.0;999;i
SX;agninc999i;p0p100;2017;51678.3;999;i
SX;agninc999i;p0p100;2018;47557.9;999;i
SX;agninc999i;p0p100;2019;48227.4;999;i
SX;agninc999i;p0p100;2020;36187.4;999;i
SX;agninc999i;p0p100;2021;27162.9;999;i
SX;mtaxnx999i;p0p100;2011;37079388.0;999;i
SX;mtaxnx999i;p0p100;2012;46697776.0;999;i
SX;mtaxnx999i;p0p100;2013;55695924.0;999;i
SX;mtaxnx999i;p0p100;2014;63483316.0;999;i
SX;mtaxnx999i;p0p100;2015;85628928.0;999;i
SX;mtaxnx999i;p0p100;2016;79331512.0;999;i
SX;mtaxnx999i;p0p100;2017;5205708.0;999;i
SX;mtaxnx999i;p0p100;2018;1575252.0;999;i
SX;npopul999i;p0p100;1950;1499.0;999;i
SX;npopul999i;p0p100;1951;1666.0;999;i
SX;npopul999i;p0p100;1952;1800.0;999;i
SX;npopul999i;p0p100;1953;1912.0;999;i
SX;npopul999i;p0p100;1954;2009.0;999;i
SX;npopul999i;p0p100;1955;2108.0;999;i
SX;npopul999i;p0p100;1956;2213.0;999;i
SX;npopul999i;p0p100;1957;2322.0;999;i
SX;npopul999i;p0p100;1958;2463.0;999;i
SX;npopul999i;p0p100;1959;2629.0;999;i
SX;npopul999i;p0p100;1960;2833.0;999;i
SX;npopul999i;p0p100;1961;3077.0;999;i
SX;npopul999i;p0p100;1962;3372.0;999;i
SX;npopul999i;p0p100;1963;3696.0;999;i
SX;npopul999i;p0p100;1964;4067.0;999;i
SX;npopul999i;p0p100;1965;4459.0;999;i
SX;npopul999i;p0p100;1966;4894.0;999;i
SX;npopul999i;p0p100;1967;5366.0;999;i
SX;npopul999i;p0p100;1968;5859.0;999;i
SX;npopul999i;p0p100;1969;6357.0;999;i
SX;npopul999i;p0p100;1970;6864.0;999;i
SX;npopul999i;p0p100;1971;7376.0;999;i
SX;npopul999i;p0p100;1972;7899.0;999;i
SX;npopul999i;p0p100;1973;8428.0;999;i
SX;npopul999i;p0p100;1974;8978.0;999;i
SX;npopul999i;p0p100;1975;9557.0;999;i
SX;npopul999i;p0p100;1976;10158.0;999;i
SX;npopul999i;p0p100;1977;10797.0;999;i
SX;npopul999i;p0p100;1978;11475.0;999;i
SX;npopul999i;p0p100;1979;12245.0;999;i
SX;npopul999i;p0p100;1980;13100.0;999;i
SX;npopul999i;p0p100;1981;14034.0;999;i
SX;npopul999i;p0p100;1982;15035.0;999;i
SX;npopul999i;p0p100;1983;16170.0;999;i
SX;npopul999i;p0p100;1984;17523.0;999;i
SX;npopul999i;p0p100;1985;19123.0;999;i
SX;npopul999i;p0p100;1986;21021.0;999;i
SX;npopul999i;p0p100;1987;23157.0;999;i
SX;npopul999i;p0p100;1988;25332.0;999;i
SX;npopul999i;p0p100;1989;27281.0;999;i
SX;npopul999i;p0p100;1990;28812.0;999;i
SX;npopul999i;p0p100;1991;29847.0;999;i
SX;npopul999i;p0p100;1992;30457.0;999;i
SX;npopul999i;p0p100;1993;30762.0;999;i
SX;npopul999i;p0p100;1994;30950.0;999;i
SX;npopul999i;p0p100;1995;31160.0;999;i
SX;npopul999i;p0p100;1996;31436.0;999;i
SX;npopul999i;p0p100;1997;31729.0;999;i
SX;npopul999i;p0p100;1998;32041.0;999;i
SX;npopul999i;p0p100;1999;32324.0;999;i
SX;npopul999i;p0p100;2000;32564.0;999;i
SX;npopul999i;p0p100;2001;32791.0;999;i
