country;variable;percentile;year;value;age;pop
TC;mpinpx999i;p0p100;2014;31839744.0;999;i
TC;mpinpx999i;p0p100;2015;8873994.0;999;i
TC;mpinpx999i;p0p100;2016;5644436.0;999;i
TC;mpinpx999i;p0p100;2017;35654772.0;999;i
TC;mpinpx999i;p0p100;2018;63265096.0;999;i
TC;apinnx999i;p0p100;2014;-624.6;999;i
TC;apinnx999i;p0p100;2015;31.5;999;i
TC;apinnx999i;p0p100;2016;65.7;999;i
TC;apinnx999i;p0p100;2017;-582.3;999;i
TC;apinnx999i;p0p100;2018;-1078.8;999;i
TC;mndpro999i;p0p100;1970;26583364.0;999;i
TC;mndpro999i;p0p100;1971;29364556.0;999;i
TC;mndpro999i;p0p100;1972;32442420.0;999;i
TC;mndpro999i;p0p100;1973;35846528.0;999;i
TC;mndpro999i;p0p100;1974;39607220.0;999;i
TC;mndpro999i;p0p100;1975;43761300.0;999;i
TC;mndpro999i;p0p100;1976;48344760.0;999;i
TC;mndpro999i;p0p100;1977;53403824.0;999;i
TC;mndpro999i;p0p100;1978;58991104.0;999;i
TC;mndpro999i;p0p100;1979;65177368.0;999;i
TC;mndpro999i;p0p100;1980;72022296.0;999;i
TC;mndpro999i;p0p100;1981;79592920.0;999;i
TC;mndpro999i;p0p100;1982;87946480.0;999;i
TC;mndpro999i;p0p100;1983;97194224.0;999;i
TC;mndpro999i;p0p100;1984;107493080.0;999;i
TC;mndpro999i;p0p100;1985;118816624.0;999;i
TC;mndpro999i;p0p100;1986;131237416.0;999;i
TC;mndpro999i;p0p100;1987;144747408.0;999;i
TC;mndpro999i;p0p100;1988;160029232.0;999;i
TC;mndpro999i;p0p100;1989;177634592.0;999;i
TC;mndpro999i;p0p100;1990;195921728.0;999;i
TC;mndpro999i;p0p100;1991;215770784.0;999;i
TC;mndpro999i;p0p100;1992;236462752.0;999;i
TC;mndpro999i;p0p100;1993;264831136.0;999;i
TC;mndpro999i;p0p100;1994;300034528.0;999;i
TC;mndpro999i;p0p100;1995;320690880.0;999;i
TC;mndpro999i;p0p100;1996;350987552.0;999;i
TC;mndpro999i;p0p100;1997;376117216.0;999;i
TC;mndpro999i;p0p100;1998;418189664.0;999;i
TC;mndpro999i;p0p100;1999;455260704.0;999;i
TC;mndpro999i;p0p100;2000;476102976.0;999;i
TC;mndpro999i;p0p100;2001;509731456.0;999;i
TC;mndpro999i;p0p100;2002;510848992.0;999;i
TC;mndpro999i;p0p100;2003;558692032.0;999;i
TC;mndpro999i;p0p100;2004;622953856.0;999;i
TC;mndpro999i;p0p100;2005;715579392.0;999;i
TC;mndpro999i;p0p100;2006;852551232.0;999;i
TC;mndpro999i;p0p100;2007;900081664.0;999;i
TC;mndpro999i;p0p100;2008;982533696.0;999;i
TC;mndpro999i;p0p100;2009;766884416.0;999;i
TC;mndpro999i;p0p100;2010;777821952.0;999;i
TC;mndpro999i;p0p100;2011;820012224.0;999;i
TC;mndpro999i;p0p100;2012;808827264.0;999;i
TC;mndpro999i;p0p100;2013;813763008.0;999;i
TC;mndpro999i;p0p100;2014;888003072.0;999;i
TC;mndpro999i;p0p100;2015;994717568.0;999;i
TC;mndpro999i;p0p100;2016;1069624000.0;999;i
TC;mndpro999i;p0p100;2017;1035753600.0;999;i
TC;mndpro999i;p0p100;2018;1106669184.0;999;i
TC;mndpro999i;p0p100;2019;1186354048.0;999;i
TC;mndpro999i;p0p100;2020;849051392.0;999;i
TC;mndpro999i;p0p100;2021;608031232.0;999;i
TC;aconfc999i;p0p100;1970;491.7;999;i
TC;aconfc999i;p0p100;1971;540.7;999;i
TC;aconfc999i;p0p100;1972;588.3;999;i
TC;aconfc999i;p0p100;1973;636.2;999;i
TC;aconfc999i;p0p100;1974;688.8;999;i
TC;aconfc999i;p0p100;1975;747.1;999;i
TC;aconfc999i;p0p100;1976;815.8;999;i
TC;aconfc999i;p0p100;1977;892.1;999;i
TC;aconfc999i;p0p100;1978;975.4;999;i
TC;aconfc999i;p0p100;1979;1060.4;999;i
TC;aconfc999i;p0p100;1980;1145.7;999;i
TC;aconfc999i;p0p100;1981;1226.7;999;i
TC;aconfc999i;p0p100;1982;1303.2;999;i
TC;aconfc999i;p0p100;1983;1382.6;999;i
TC;aconfc999i;p0p100;1984;1470.5;999;i
TC;aconfc999i;p0p100;1985;1574.9;999;i
TC;aconfc999i;p0p100;1986;1695.1;999;i
TC;aconfc999i;p0p100;1987;1831.3;999;i
TC;aconfc999i;p0p100;1988;1981.1;999;i
TC;aconfc999i;p0p100;1989;2127.7;999;i
TC;aconfc999i;p0p100;1990;2265.4;999;i
TC;aconfc999i;p0p100;1991;2388.4;999;i
TC;aconfc999i;p0p100;1992;2501.6;999;i
TC;aconfc999i;p0p100;1993;2615.1;999;i
TC;aconfc999i;p0p100;1994;2739.3;999;i
TC;aconfc999i;p0p100;1995;2875.7;999;i
TC;aconfc999i;p0p100;1996;3029.5;999;i
TC;aconfc999i;p0p100;1997;3193.4;999;i
TC;aconfc999i;p0p100;1998;3347.9;999;i
TC;aconfc999i;p0p100;1999;3455.4;999;i
TC;aconfc999i;p0p100;2000;3499.5;999;i
TC;aconfc999i;p0p100;2001;3497.3;999;i
TC;aconfc999i;p0p100;2002;3492.3;999;i
TC;aconfc999i;p0p100;2003;3541.2;999;i
TC;aconfc999i;p0p100;2004;3674.4;999;i
TC;aconfc999i;p0p100;2005;3872.5;999;i
TC;aconfc999i;p0p100;2006;4073.0;999;i
TC;aconfc999i;p0p100;2007;4180.0;999;i
TC;aconfc999i;p0p100;2008;4150.9;999;i
TC;aconfc999i;p0p100;2009;4000.7;999;i
TC;aconfc999i;p0p100;2010;3846.7;999;i
TC;aconfc999i;p0p100;2011;3750.7;999;i
TC;aconfc999i;p0p100;2012;3733.3;999;i
TC;aconfc999i;p0p100;2013;3808.4;999;i
TC;aconfc999i;p0p100;2014;3970.7;999;i
TC;aconfc999i;p0p100;2015;4171.4;999;i
TC;aconfc999i;p0p100;2016;4327.2;999;i
TC;aconfc999i;p0p100;2017;4351.1;999;i
TC;aconfc999i;p0p100;2018;4188.3;999;i
TC;aconfc999i;p0p100;2019;3807.0;999;i
TC;aconfc999i;p0p100;2020;3254.8;999;i
TC;aconfc999i;p0p100;2021;2699.0;999;i
TC;agdpro999i;p0p100;1970;5042.8;999;i
TC;agdpro999i;p0p100;1971;5458.5;999;i
TC;agdpro999i;p0p100;1972;5857.5;999;i
TC;agdpro999i;p0p100;1973;6253.9;999;i
TC;agdpro999i;p0p100;1974;6684.4;999;i
TC;agdpro999i;p0p100;1975;7157.1;999;i
TC;agdpro999i;p0p100;1976;7707.4;999;i
TC;agdpro999i;p0p100;1977;8311.3;999;i
TC;agdpro999i;p0p100;1978;8963.4;999;i
TC;agdpro999i;p0p100;1979;9621.7;999;i
TC;agdpro999i;p0p100;1980;10276.3;999;i
