country;variable;percentile;year;value;age;pop
TL;ahweal992j;p42p100;1995;1558.6;992;j
TL;ahweal992j;p42p100;1996;1883.3;992;j
TL;ahweal992j;p42p100;1997;2202.1;992;j
TL;ahweal992j;p42p100;1998;2498.6;992;j
TL;ahweal992j;p42p100;1999;1740.2;992;j
TL;ahweal992j;p42p100;2002;2411.6;992;j
TL;ahweal992j;p42p100;2004;2822.3;992;j
TL;ahweal992j;p42p100;2005;3101.2;992;j
TL;ahweal992j;p42p100;2006;4009.6;992;j
TL;ahweal992j;p42p100;2007;6331.7;992;j
TL;ahweal992j;p42p100;2008;9450.6;992;j
TL;ahweal992j;p42p100;2009;12453.1;992;j
TL;ahweal992j;p42p100;2010;14506.6;992;j
TL;ahweal992j;p42p100;2011;16541.9;992;j
TL;ahweal992j;p42p100;2012;18780.2;992;j
TL;ahweal992j;p42p100;2013;20011.0;992;j
TL;ahweal992j;p42p100;2014;21792.5;992;j
TL;ahweal992j;p42p100;2015;20934.9;992;j
TL;ahweal992j;p42p100;2016;19765.8;992;j
TL;ahweal992j;p42p100;2017;20145.6;992;j
TL;ahweal992j;p42p100;2018;20470.8;992;j
TL;ahweal992j;p42p100;2019;21589.6;992;j
TL;ahweal992j;p42p100;2020;25720.8;992;j
TL;ahweal992j;p42p100;2021;26170.7;992;j
TL;ahweal992j;p79p100;1995;3341.8;992;j
TL;ahweal992j;p79p100;1996;4037.3;992;j
TL;ahweal992j;p79p100;1997;4721.0;992;j
TL;ahweal992j;p79p100;1998;5356.3;992;j
TL;ahweal992j;p79p100;1999;3730.3;992;j
TL;ahweal992j;p79p100;2002;5147.2;992;j
TL;ahweal992j;p79p100;2004;5981.0;992;j
TL;ahweal992j;p79p100;2005;6560.7;992;j
TL;ahweal992j;p79p100;2006;8470.4;992;j
TL;ahweal992j;p79p100;2007;13360.3;992;j
TL;ahweal992j;p79p100;2008;19947.5;992;j
TL;ahweal992j;p79p100;2009;26285.4;992;j
TL;ahweal992j;p79p100;2010;30639.8;992;j
TL;ahweal992j;p79p100;2011;34941.5;992;j
TL;ahweal992j;p79p100;2012;39676.2;992;j
TL;ahweal992j;p79p100;2013;42286.6;992;j
TL;ahweal992j;p79p100;2014;46077.9;992;j
TL;ahweal992j;p79p100;2015;44265.9;992;j
TL;ahweal992j;p79p100;2016;41796.8;992;j
TL;ahweal992j;p79p100;2017;42601.8;992;j
TL;ahweal992j;p79p100;2018;43288.8;992;j
TL;ahweal992j;p79p100;2019;45656.3;992;j
TL;ahweal992j;p79p100;2020;54393.5;992;j
TL;ahweal992j;p79p100;2021;55345.8;992;j
TL;ahweal992j;p99.2p100;1995;27049.6;992;j
TL;ahweal992j;p99.2p100;1996;32660.4;992;j
TL;ahweal992j;p99.2p100;1997;38195.1;992;j
TL;ahweal992j;p99.2p100;1998;43327.0;992;j
TL;ahweal992j;p99.2p100;1999;30169.0;992;j
TL;ahweal992j;p99.2p100;2002;40908.4;992;j
TL;ahweal992j;p99.2p100;2004;46208.9;992;j
TL;ahweal992j;p99.2p100;2005;50343.8;992;j
TL;ahweal992j;p99.2p100;2006;64635.6;992;j
TL;ahweal992j;p99.2p100;2007;101491.2;992;j
TL;ahweal992j;p99.2p100;2008;151710.6;992;j
TL;ahweal992j;p99.2p100;2009;199925.1;992;j
TL;ahweal992j;p99.2p100;2010;233633.7;992;j
TL;ahweal992j;p99.2p100;2011;266516.0;992;j
TL;ahweal992j;p99.2p100;2012;302833.4;992;j
TL;ahweal992j;p99.2p100;2013;323056.2;992;j
TL;ahweal992j;p99.2p100;2014;352813.2;992;j
TL;ahweal992j;p99.2p100;2015;338982.2;992;j
TL;ahweal992j;p99.2p100;2016;320154.5;992;j
TL;ahweal992j;p99.2p100;2017;326383.1;992;j
TL;ahweal992j;p99.2p100;2018;331625.4;992;j
TL;ahweal992j;p99.2p100;2019;349806.5;992;j
TL;ahweal992j;p99.2p100;2020;416775.4;992;j
TL;ahweal992j;p99.2p100;2021;424098.6;992;j
TL;ahweal992j;p99.94p100;1995;141300.2;992;j
TL;ahweal992j;p99.94p100;1996;170537.8;992;j
TL;ahweal992j;p99.94p100;1997;199451.8;992;j
TL;ahweal992j;p99.94p100;1998;226218.3;992;j
TL;ahweal992j;p99.94p100;1999;157496.4;992;j
TL;ahweal992j;p99.94p100;2002;210748.6;992;j
TL;ahweal992j;p99.94p100;2004;232858.0;992;j
TL;ahweal992j;p99.94p100;2005;252345.7;992;j
TL;ahweal992j;p99.94p100;2006;322576.5;992;j
TL;ahweal992j;p99.94p100;2007;504750.9;992;j
TL;ahweal992j;p99.94p100;2008;755198.2;992;j
TL;ahweal992j;p99.94p100;2009;995250.1;992;j
TL;ahweal992j;p99.94p100;2010;1165331.7;992;j
TL;ahweal992j;p99.94p100;2011;1329658.2;992;j
TL;ahweal992j;p99.94p100;2012;1511636.5;992;j
TL;ahweal992j;p99.94p100;2013;1613740.1;992;j
TL;ahweal992j;p99.94p100;2014;1765472.4;992;j
TL;ahweal992j;p99.94p100;2015;1696429.2;992;j
TL;ahweal992j;p99.94p100;2016;1602522.6;992;j
TL;ahweal992j;p99.94p100;2017;1633941.9;992;j
TL;ahweal992j;p99.94p100;2018;1660103.7;992;j
TL;ahweal992j;p99.94p100;2019;1751290.9;992;j
TL;ahweal992j;p99.94p100;2020;2086670.9;992;j
TL;ahweal992j;p99.94p100;2021;2123441.0;992;j
TL;aptinc992j;p0p99.8;1980;345339.8;992;j
TL;aptinc992j;p0p99.8;1981;357950.5;992;j
TL;aptinc992j;p0p99.8;1982;351310.0;992;j
TL;aptinc992j;p0p99.8;1983;379453.5;992;j
TL;aptinc992j;p0p99.8;1984;395004.7;992;j
TL;aptinc992j;p0p99.8;1985;396984.3;992;j
TL;aptinc992j;p0p99.8;1986;396125.9;992;j
TL;aptinc992j;p0p99.8;1987;430397.6;992;j
TL;aptinc992j;p0p99.8;1988;439140.0;992;j
TL;aptinc992j;p0p99.8;1989;471182.6;992;j
TL;aptinc992j;p0p99.8;1990;497483.0;992;j
TL;aptinc992j;p0p99.8;1991;533108.3;992;j
TL;aptinc992j;p0p99.8;1992;570726.7;992;j
TL;aptinc992j;p0p99.8;1993;612074.4;992;j
TL;aptinc992j;p0p99.8;1994;641072.1;992;j
TL;aptinc992j;p0p99.8;1995;674344.4;992;j
TL;aptinc992j;p0p99.8;1996;737435.8;992;j
TL;aptinc992j;p0p99.8;1997;761893.2;992;j
TL;aptinc992j;p0p99.8;1998;740899.6;992;j
TL;aptinc992j;p0p99.8;1999;459559.4;992;j
TL;aptinc992j;p0p99.8;2000;534316.4;992;j
TL;aptinc992j;p0p99.8;2001;619873.3;992;j
TL;aptinc992j;p0p99.8;2002;567095.5;992;j
TL;aptinc992j;p0p99.8;2003;543673.5;992;j
TL;aptinc992j;p0p99.8;2004;533489.6;992;j
TL;aptinc992j;p0p99.8;2005;537900.2;992;j
TL;aptinc992j;p0p99.8;2006;635044.2;992;j
TL;aptinc992j;p0p99.8;2007;815937.1;992;j
TL;aptinc992j;p0p99.8;2008;942773.6;992;j
TL;aptinc992j;p0p99.8;2009;1048567.4;992;j
TL;aptinc992j;p0p99.8;2010;1121027.9;992;j
TL;aptinc992j;p0p99.8;2011;1165365.0;992;j
TL;aptinc992j;p0p99.8;2012;1145348.9;992;j
