country;variable;percentile;year;value;age;pop
TV;mgweal999i;p0p100;1995;1407929.0;999;i
TV;mgweal999i;p0p100;1996;2000007.0;999;i
TV;mgweal999i;p0p100;1997;2982791.0;999;i
TV;mgweal999i;p0p100;1998;4399820.0;999;i
TV;mgweal999i;p0p100;1999;5254324.0;999;i
TV;mgweal999i;p0p100;2000;6199944.0;999;i
TV;mgweal999i;p0p100;2001;15198319.0;999;i
TV;mgweal999i;p0p100;2002;17512445.0;999;i
TV;mgweal999i;p0p100;2003;14597019.0;999;i
TV;mgweal999i;p0p100;2004;17011838.0;999;i
TV;mgweal999i;p0p100;2005;17799617.0;999;i
TV;mgweal999i;p0p100;2006;23525991.0;999;i
TV;mgweal999i;p0p100;2007;26355088.0;999;i
TV;mgweal999i;p0p100;2008;32845737.0;999;i
TV;mgweal999i;p0p100;2009;31233145.0;999;i
TV;mgweal999i;p0p100;2010;27128413.0;999;i
TV;mgweal999i;p0p100;2011;28850690.0;999;i
TV;mgweal999i;p0p100;2012;25986140.0;999;i
TV;mgweal999i;p0p100;2013;33380854.0;999;i
TV;mgweal999i;p0p100;2014;32892712.0;999;i
TV;mgweal999i;p0p100;2015;34803013.0;999;i
TV;mgweal999i;p0p100;2016;34446454.0;999;i
TV;mgweal999i;p0p100;2017;34359005.0;999;i
TV;mgweal999i;p0p100;2018;33596211.0;999;i
TV;mgweal999i;p0p100;2019;35272344.0;999;i
TV;mgweal999i;p0p100;2020;35092032.0;999;i
TV;mgweal999i;p0p100;2021;34316861.0;999;i
TV;agweal999i;p0p100;1995;151.4;999;i
TV;agweal999i;p0p100;1996;214.5;999;i
TV;agweal999i;p0p100;1997;319.9;999;i
TV;agweal999i;p0p100;1998;471.5;999;i
TV;agweal999i;p0p100;1999;562.2;999;i
TV;agweal999i;p0p100;2000;660.0;999;i
TV;agweal999i;p0p100;2001;1602.5;999;i
TV;agweal999i;p0p100;2002;1825.0;999;i
TV;agweal999i;p0p100;2003;1500.8;999;i
TV;agweal999i;p0p100;2004;1723.8;999;i
TV;agweal999i;p0p100;2005;1780.0;999;i
TV;agweal999i;p0p100;2006;2324.7;999;i
TV;agweal999i;p0p100;2007;2578.5;999;i
TV;agweal999i;p0p100;2008;3184.6;999;i
TV;agweal999i;p0p100;2009;2996.3;999;i
TV;agweal999i;p0p100;2010;2576.3;999;i
TV;agweal999i;p0p100;2011;2713.3;999;i
TV;agweal999i;p0p100;2012;2419.8;999;i
TV;agweal999i;p0p100;2013;3074.6;999;i
TV;agweal999i;p0p100;2014;2997.9;999;i
TV;agweal999i;p0p100;2015;3135.7;999;i
