country;variable;percentile;year;value;age;pop
VG;msecco999i;p0p100;1995;27017774.0;999;i
VG;msecco999i;p0p100;1996;29651726.0;999;i
VG;msecco999i;p0p100;1997;33531340.0;999;i
VG;msecco999i;p0p100;1998;37718512.0;999;i
VG;msecco999i;p0p100;1999;48944264.0;999;i
VG;mtaxho999i;p0p100;1995;48013604.0;999;i
VG;mtaxho999i;p0p100;1996;49235512.0;999;i
VG;mtaxho999i;p0p100;1997;54383200.0;999;i
VG;mtaxho999i;p0p100;1998;59389308.0;999;i
VG;mtaxho999i;p0p100;1999;62915908.0;999;i
VG;mcomnp999i;p0p100;1995;0.0;999;i
VG;mcomnp999i;p0p100;1996;0.0;999;i
VG;mcomnp999i;p0p100;1997;0.0;999;i
VG;mcomnp999i;p0p100;1998;0.0;999;i
VG;mcomnp999i;p0p100;1999;0.0;999;i
VG;mgsmho999i;p0p100;1995;176396800.0;999;i
VG;mgsmho999i;p0p100;1996;187102112.0;999;i
VG;mgsmho999i;p0p100;1997;179607712.0;999;i
VG;mgsmho999i;p0p100;1998;209418240.0;999;i
VG;mgsmho999i;p0p100;1999;224045632.0;999;i
VG;msscnp999i;p0p100;1995;0.0;999;i
VG;msscnp999i;p0p100;1996;0.0;999;i
VG;msscnp999i;p0p100;1997;0.0;999;i
VG;msscnp999i;p0p100;1998;0.0;999;i
VG;msscnp999i;p0p100;1999;0.0;999;i
VG;asscnf999i;p0p100;1995;0.0;999;i
VG;asscnf999i;p0p100;1996;0.0;999;i
VG;asscnf999i;p0p100;1997;0.0;999;i
VG;asscnf999i;p0p100;1998;0.0;999;i
VG;asscnf999i;p0p100;1999;0.0;999;i
VG;mprpnf999i;p0p100;1995;-169646784.0;999;i
VG;mprpnf999i;p0p100;1996;-184550288.0;999;i
VG;mprpnf999i;p0p100;1997;-207055904.0;999;i
VG;mprpnf999i;p0p100;1998;-234919040.0;999;i
VG;mprpnf999i;p0p100;1999;-283858144.0;999;i
VG;wwealg999i;p0p100;1995;0.064768023788929;999;i
VG;wwealg999i;p0p100;1996;0.0859026536345482;999;i
VG;wwealg999i;p0p100;1997;0.106900595128536;999;i
VG;wwealg999i;p0p100;1998;0.128077521920204;999;i
VG;wwealg999i;p0p100;1999;0.150150939822197;999;i
VG;wwealg999i;p0p100;2000;0.174162223935127;999;i
VG;wwealg999i;p0p100;2001;0.200720995664597;999;i
VG;wwealg999i;p0p100;2002;0.229945957660675;999;i
VG;wwealg999i;p0p100;2003;0.261753499507904;999;i
VG;wwealg999i;p0p100;2004;0.295692920684815;999;i
VG;wwealg999i;p0p100;2005;0.330432385206222;999;i
VG;wwealg999i;p0p100;2006;0.363638073205948;999;i
VG;wwealg999i;p0p100;2007;0.392437368631363;999;i
VG;wwealg999i;p0p100;2008;0.414353787899017;999;i
VG;wwealg999i;p0p100;2009;0.428095996379852;999;i
VG;wwealg999i;p0p100;2010;0.433731913566589;999;i
VG;wwealg999i;p0p100;2011;0.43230339884758;999;i
VG;wwealg999i;p0p100;2012;0.425145179033279;999;i
VG;wwealg999i;p0p100;2013;0.413616210222244;999;i
VG;wwealg999i;p0p100;2014;0.39883416891098;999;i
VG;wwealg999i;p0p100;2015;0.381833374500275;999;i
VG;wwealg999i;p0p100;2016;0.363696664571762;999;i
VG;wwealg999i;p0p100;2017;0.345204830169678;999;i
VG;wwealg999i;p0p100;2018;0.326775848865509;999;i
VG;wwealg999i;p0p100;2019;0.308478057384491;999;i
VG;wwealg999i;p0p100;2020;0.290581107139587;999;i
VG;wwealg999i;p0p100;2021;0.272366225719452;999;i
VG;aprigo999i;p0p100;1995;3546.9;999;i
VG;aprigo999i;p0p100;1996;3706.6;999;i
VG;aprigo999i;p0p100;1997;3553.9;999;i
VG;aprigo999i;p0p100;1998;3268.1;999;i
VG;aprigo999i;p0p100;1999;3420.0;999;i
VG;asaghn999i;p0p100;1995;1035.9;999;i
VG;asaghn999i;p0p100;1996;1076.2;999;i
VG;asaghn999i;p0p100;1997;3410.8;999;i
VG;asaghn999i;p0p100;1998;5082.5;999;i
VG;asaghn999i;p0p100;1999;4500.2;999;i
