country;variable;percentile;year;value;age;pop
VU;mcfcho999i;p0p100;2001;1251476096.0;999;i
VU;mcfcho999i;p0p100;2002;1253136256.0;999;i
VU;mcfcho999i;p0p100;2003;1273638656.0;999;i
VU;mcfcho999i;p0p100;2004;1316550912.0;999;i
VU;mcfcho999i;p0p100;2005;1379798016.0;999;i
VU;mcfcho999i;p0p100;2006;1456194816.0;999;i
VU;mcfcho999i;p0p100;2007;1533996672.0;999;i
VU;apinpx999i;p0p100;1982;34355.1;999;i
VU;apinpx999i;p0p100;1983;38356.4;999;i
VU;apinpx999i;p0p100;1984;38799.3;999;i
VU;apinpx999i;p0p100;1985;72947.2;999;i
VU;apinpx999i;p0p100;1986;96743.3;999;i
VU;apinpx999i;p0p100;1987;94009.5;999;i
VU;apinpx999i;p0p100;1988;54394.8;999;i
VU;apinpx999i;p0p100;1989;33733.8;999;i
VU;apinpx999i;p0p100;1990;41399.1;999;i
VU;apinpx999i;p0p100;1991;60198.1;999;i
VU;apinpx999i;p0p100;1992;55300.9;999;i
VU;apinpx999i;p0p100;1993;51831.6;999;i
VU;apinpx999i;p0p100;1994;53669.7;999;i
VU;apinpx999i;p0p100;1995;48904.7;999;i
VU;apinpx999i;p0p100;1996;44683.9;999;i
VU;apinpx999i;p0p100;1997;42577.2;999;i
VU;apinpx999i;p0p100;1998;37520.0;999;i
VU;apinpx999i;p0p100;1999;31002.8;999;i
VU;apinpx999i;p0p100;2000;40387.1;999;i
VU;apinpx999i;p0p100;2001;26406.4;999;i
VU;apinpx999i;p0p100;2002;38952.5;999;i
VU;apinpx999i;p0p100;2003;37539.5;999;i
VU;apinpx999i;p0p100;2004;39111.4;999;i
VU;apinpx999i;p0p100;2005;43514.2;999;i
VU;apinpx999i;p0p100;2006;39684.8;999;i
VU;apinpx999i;p0p100;2007;40051.8;999;i
VU;apinpx999i;p0p100;2008;23550.1;999;i
VU;apinpx999i;p0p100;2009;29844.3;999;i
VU;apinpx999i;p0p100;2010;30468.7;999;i
VU;apinpx999i;p0p100;2011;28391.7;999;i
VU;apinpx999i;p0p100;2012;37116.0;999;i
VU;apinpx999i;p0p100;2013;15033.8;999;i
VU;apinpx999i;p0p100;2014;13758.5;999;i
VU;apinpx999i;p0p100;2015;13343.2;999;i
VU;apinpx999i;p0p100;2016;16311.5;999;i
VU;apinpx999i;p0p100;2017;19459.0;999;i
VU;apinpx999i;p0p100;2018;15450.9;999;i
VU;npopul551f;p0p100;1950;481.0;551;f
VU;npopul551f;p0p100;1951;490.0;551;f
VU;npopul551f;p0p100;1952;502.0;551;f
VU;npopul551f;p0p100;1953;516.0;551;f
VU;npopul551f;p0p100;1954;532.0;551;f
VU;npopul551f;p0p100;1955;549.0;551;f
VU;npopul551f;p0p100;1956;564.0;551;f
VU;npopul551f;p0p100;1957;578.0;551;f
VU;npopul551f;p0p100;1958;595.0;551;f
VU;npopul551f;p0p100;1959;612.0;551;f
VU;npopul551f;p0p100;1960;633.0;551;f
VU;npopul551f;p0p100;1961;652.0;551;f
VU;npopul551f;p0p100;1962;675.0;551;f
VU;npopul551f;p0p100;1963;696.0;551;f
VU;npopul551f;p0p100;1964;719.0;551;f
VU;npopul551f;p0p100;1965;739.0;551;f
VU;npopul551f;p0p100;1966;736.0;551;f
VU;npopul551f;p0p100;1967;731.0;551;f
VU;npopul551f;p0p100;1968;728.0;551;f
VU;npopul551f;p0p100;1969;730.0;551;f
VU;npopul551f;p0p100;1970;741.0;551;f
VU;npopul551f;p0p100;1971;769.0;551;f
VU;npopul551f;p0p100;1972;796.0;551;f
VU;npopul551f;p0p100;1973;820.0;551;f
VU;npopul551f;p0p100;1974;836.0;551;f
VU;npopul551f;p0p100;1975;850.0;551;f
VU;npopul551f;p0p100;1976;885.0;551;f
VU;npopul551f;p0p100;1977;918.0;551;f
VU;npopul551f;p0p100;1978;942.0;551;f
VU;npopul551f;p0p100;1979;962.0;551;f
VU;npopul551f;p0p100;1980;977.0;551;f
VU;npopul551f;p0p100;1981;1019.0;551;f
VU;npopul551f;p0p100;1982;1054.0;551;f
VU;npopul551f;p0p100;1983;1084.0;551;f
VU;npopul551f;p0p100;1984;1110.0;551;f
VU;npopul551f;p0p100;1985;1136.0;551;f
VU;npopul551f;p0p100;1986;1188.0;551;f
VU;npopul551f;p0p100;1987;1237.0;551;f
VU;npopul551f;p0p100;1988;1276.0;551;f
VU;npopul551f;p0p100;1989;1309.0;551;f
VU;npopul551f;p0p100;1990;1340.0;551;f
VU;npopul551f;p0p100;1991;1411.0;551;f
VU;npopul551f;p0p100;1992;1486.0;551;f
VU;npopul551f;p0p100;1993;1559.0;551;f
VU;npopul551f;p0p100;1994;1625.0;551;f
VU;npopul551f;p0p100;1995;1688.0;551;f
VU;npopul551f;p0p100;1996;1750.0;551;f
VU;npopul551f;p0p100;1997;1821.0;551;f
VU;npopul551f;p0p100;1998;1895.0;551;f
VU;npopul551f;p0p100;1999;1966.0;551;f
VU;npopul551f;p0p100;2000;2030.0;551;f
VU;npopul551f;p0p100;2001;2095.0;551;f
VU;npopul551f;p0p100;2002;2165.0;551;f
VU;npopul551f;p0p100;2003;2246.0;551;f
VU;npopul551f;p0p100;2004;2342.0;551;f
VU;npopul551f;p0p100;2005;2445.0;551;f
VU;npopul551f;p0p100;2006;2515.0;551;f
VU;npopul551f;p0p100;2007;2639.0;551;f
VU;npopul551f;p0p100;2008;2851.0;551;f
VU;npopul551f;p0p100;2009;3107.0;551;f
VU;npopul551f;p0p100;2010;3335.0;551;f
VU;npopul551f;p0p100;2011;3290.0;551;f
VU;npopul551f;p0p100;2012;3223.0;551;f
VU;npopul551f;p0p100;2013;3211.0;551;f
VU;npopul551f;p0p100;2014;3295.0;551;f
VU;npopul551f;p0p100;2015;3436.0;551;f
VU;npopul551f;p0p100;2016;3627.0;551;f
VU;npopul551f;p0p100;2017;3821.0;551;f
VU;npopul551f;p0p100;2018;4018.0;551;f
VU;npopul551f;p0p100;2019;4225.0;551;f
VU;npopul551f;p0p100;2020;4440.0;551;f
VU;npopul551f;p0p100;2021;4636.0;551;f
VU;npopul801f;p0p100;1950;41.0;801;f
VU;npopul801f;p0p100;1951;47.0;801;f
VU;npopul801f;p0p100;1952;51.0;801;f
VU;npopul801f;p0p100;1953;54.0;801;f
VU;npopul801f;p0p100;1954;58.0;801;f
VU;npopul801f;p0p100;1955;58.0;801;f
VU;npopul801f;p0p100;1956;62.0;801;f
VU;npopul801f;p0p100;1957;64.0;801;f
VU;npopul801f;p0p100;1958;65.0;801;f
VU;npopul801f;p0p100;1959;67.0;801;f
VU;npopul801f;p0p100;1960;67.0;801;f
VU;npopul801f;p0p100;1961;71.0;801;f
VU;npopul801f;p0p100;1962;75.0;801;f
VU;npopul801f;p0p100;1963;78.0;801;f
VU;npopul801f;p0p100;1964;80.0;801;f
VU;npopul801f;p0p100;1965;79.0;801;f
VU;npopul801f;p0p100;1966;81.0;801;f
VU;npopul801f;p0p100;1967;81.0;801;f
VU;npopul801f;p0p100;1968;79.0;801;f
VU;npopul801f;p0p100;1969;78.0;801;f
VU;npopul801f;p0p100;1970;77.0;801;f
VU;npopul801f;p0p100;1971;83.0;801;f
VU;npopul801f;p0p100;1972;86.0;801;f
VU;npopul801f;p0p100;1973;95.0;801;f
VU;npopul801f;p0p100;1974;102.0;801;f
VU;npopul801f;p0p100;1975;110.0;801;f
VU;npopul801f;p0p100;1976;115.0;801;f
VU;npopul801f;p0p100;1977;119.0;801;f
VU;npopul801f;p0p100;1978;127.0;801;f
VU;npopul801f;p0p100;1979;138.0;801;f
VU;npopul801f;p0p100;1980;150.0;801;f
VU;npopul801f;p0p100;1981;154.0;801;f
VU;npopul801f;p0p100;1982;158.0;801;f
VU;npopul801f;p0p100;1983;168.0;801;f
VU;npopul801f;p0p100;1984;185.0;801;f
VU;npopul801f;p0p100;1985;204.0;801;f
VU;npopul801f;p0p100;1986;206.0;801;f
