country;variable;percentile;year;value;age;pop
WO;ahweal992j;p73p74;1995;12032.0;992;j
WO;ahweal992j;p73p74;1996;12621.3;992;j
WO;ahweal992j;p73p74;1997;13690.9;992;j
WO;ahweal992j;p73p74;1998;14181.8;992;j
WO;ahweal992j;p73p74;1999;14839.5;992;j
WO;ahweal992j;p73p74;2000;15654.5;992;j
WO;ahweal992j;p73p74;2001;16265.3;992;j
WO;ahweal992j;p73p74;2002;17311.4;992;j
WO;ahweal992j;p73p74;2003;18049.6;992;j
WO;ahweal992j;p73p74;2004;19144.3;992;j
WO;ahweal992j;p73p74;2005;20594.5;992;j
WO;ahweal992j;p73p74;2006;22120.0;992;j
WO;ahweal992j;p73p74;2007;23544.0;992;j
WO;ahweal992j;p73p74;2008;23740.5;992;j
WO;ahweal992j;p73p74;2009;25591.4;992;j
WO;ahweal992j;p73p74;2010;25365.7;992;j
WO;ahweal992j;p73p74;2011;24469.5;992;j
WO;ahweal992j;p73p74;2012;26003.9;992;j
WO;ahweal992j;p73p74;2013;27437.9;992;j
WO;ahweal992j;p73p74;2014;28935.3;992;j
WO;ahweal992j;p73p74;2015;30230.8;992;j
WO;ahweal992j;p73p74;2016;31817.7;992;j
WO;ahweal992j;p73p74;2017;33014.1;992;j
WO;ahweal992j;p73p74;2018;34059.3;992;j
WO;ahweal992j;p73p74;2019;35954.7;992;j
WO;ahweal992j;p73p74;2020;36236.5;992;j
WO;ahweal992j;p73p74;2021;38833.1;992;j
WO;ahweal992j;p91p92;1995;68073.2;992;j
WO;ahweal992j;p91p92;1996;70700.0;992;j
WO;ahweal992j;p91p92;1997;72391.6;992;j
WO;ahweal992j;p91p92;1998;75137.5;992;j
WO;ahweal992j;p91p92;1999;77311.3;992;j
WO;ahweal992j;p91p92;2000;81066.8;992;j
WO;ahweal992j;p91p92;2001;82286.5;992;j
WO;ahweal992j;p91p92;2002;82507.7;992;j
WO;ahweal992j;p91p92;2003;85521.1;992;j
WO;ahweal992j;p91p92;2004;91056.8;992;j
WO;ahweal992j;p91p92;2005;97346.1;992;j
WO;ahweal992j;p91p92;2006;102156.8;992;j
WO;ahweal992j;p91p92;2007;106487.9;992;j
WO;ahweal992j;p91p92;2008;105353.9;992;j
WO;ahweal992j;p91p92;2009;106000.9;992;j
WO;ahweal992j;p91p92;2010;112933.6;992;j
WO;ahweal992j;p91p92;2011;118793.5;992;j
WO;ahweal992j;p91p92;2012;121911.3;992;j
