country;variable;percentile;year;value;age;pop
WS;anninc992i;p0p100;1970;14931.3;992;i
WS;anninc992i;p0p100;1971;16755.7;992;i
WS;anninc992i;p0p100;1972;16696.7;992;i
WS;anninc992i;p0p100;1973;17750.1;992;i
WS;anninc992i;p0p100;1974;15504.6;992;i
WS;anninc992i;p0p100;1975;14721.0;992;i
WS;anninc992i;p0p100;1976;15876.0;992;i
WS;anninc992i;p0p100;1977;15390.2;992;i
WS;anninc992i;p0p100;1978;15904.3;992;i
WS;anninc992i;p0p100;1979;17945.0;992;i
WS;anninc992i;p0p100;1980;16369.1;992;i
WS;anninc992i;p0p100;1981;14353.8;992;i
WS;anninc992i;p0p100;1982;13946.6;992;i
WS;anninc992i;p0p100;1983;13666.0;992;i
WS;anninc992i;p0p100;1984;13874.5;992;i
WS;anninc992i;p0p100;1985;14301.7;992;i
WS;anninc992i;p0p100;1986;14543.3;992;i
WS;anninc992i;p0p100;1987;14405.0;992;i
WS;anninc992i;p0p100;1988;14358.6;992;i
WS;anninc992i;p0p100;1989;14284.6;992;i
WS;anninc992i;p0p100;1990;13991.5;992;i
WS;anninc992i;p0p100;1991;13480.0;992;i
WS;anninc992i;p0p100;1992;13328.2;992;i
WS;anninc992i;p0p100;1993;12731.7;992;i
WS;anninc992i;p0p100;1994;12856.9;992;i
WS;anninc992i;p0p100;1995;13793.4;992;i
WS;anninc992i;p0p100;1996;14268.3;992;i
WS;anninc992i;p0p100;1997;14127.2;992;i
WS;anninc992i;p0p100;1998;14425.2;992;i
WS;anninc992i;p0p100;1999;14775.0;992;i
WS;anninc992i;p0p100;2000;15770.8;992;i
WS;anninc992i;p0p100;2001;16387.7;992;i
WS;anninc992i;p0p100;2002;16861.5;992;i
WS;anninc992i;p0p100;2003;17426.6;992;i
WS;anninc992i;p0p100;2004;17058.3;992;i
WS;anninc992i;p0p100;2005;16554.7;992;i
WS;anninc992i;p0p100;2006;17345.2;992;i
WS;anninc992i;p0p100;2007;18128.1;992;i
WS;anninc992i;p0p100;2008;17513.6;992;i
WS;anninc992i;p0p100;2009;17339.4;992;i
WS;anninc992i;p0p100;2010;17749.3;992;i
WS;anninc992i;p0p100;2011;17352.9;992;i
WS;anninc992i;p0p100;2012;17037.1;992;i
WS;anninc992i;p0p100;2013;16319.7;992;i
WS;anninc992i;p0p100;2014;17036.8;992;i
WS;anninc992i;p0p100;2015;18260.0;992;i
WS;anninc992i;p0p100;2016;18675.7;992;i
WS;anninc992i;p0p100;2017;18514.1;992;i
WS;anninc992i;p0p100;2018;18335.7;992;i
WS;anninc992i;p0p100;2019;18319.9;992;i
WS;anninc992i;p0p100;2020;16313.2;992;i
WS;anninc992i;p0p100;2021;14845.2;992;i
WS;npopul651f;p0p100;1950;339.0;651;f
WS;npopul651f;p0p100;1951;394.0;651;f
WS;npopul651f;p0p100;1952;462.0;651;f
WS;npopul651f;p0p100;1953;528.0;651;f
WS;npopul651f;p0p100;1954;571.0;651;f
WS;npopul651f;p0p100;1955;588.0;651;f
WS;npopul651f;p0p100;1956;573.0;651;f
WS;npopul651f;p0p100;1957;529.0;651;f
WS;npopul651f;p0p100;1958;467.0;651;f
WS;npopul651f;p0p100;1959;421.0;651;f
WS;npopul651f;p0p100;1960;422.0;651;f
WS;npopul651f;p0p100;1961;500.0;651;f
WS;npopul651f;p0p100;1962;611.0;651;f
WS;npopul651f;p0p100;1963;718.0;651;f
WS;npopul651f;p0p100;1964;783.0;651;f
WS;npopul651f;p0p100;1965;802.0;651;f
WS;npopul651f;p0p100;1966;810.0;651;f
WS;npopul651f;p0p100;1967;787.0;651;f
WS;npopul651f;p0p100;1968;744.0;651;f
WS;npopul651f;p0p100;1969;702.0;651;f
WS;npopul651f;p0p100;1970;688.0;651;f
WS;npopul651f;p0p100;1971;711.0;651;f
WS;npopul651f;p0p100;1972;751.0;651;f
WS;npopul651f;p0p100;1973;790.0;651;f
WS;npopul651f;p0p100;1974;819.0;651;f
WS;npopul651f;p0p100;1975;846.0;651;f
WS;npopul651f;p0p100;1976;883.0;651;f
WS;npopul651f;p0p100;1977;923.0;651;f
WS;npopul651f;p0p100;1978;960.0;651;f
WS;npopul651f;p0p100;1979;987.0;651;f
WS;npopul651f;p0p100;1980;1007.0;651;f
WS;npopul651f;p0p100;1981;1019.0;651;f
WS;npopul651f;p0p100;1982;1015.0;651;f
WS;npopul651f;p0p100;1983;995.0;651;f
WS;npopul651f;p0p100;1984;977.0;651;f
WS;npopul651f;p0p100;1985;981.0;651;f
WS;npopul651f;p0p100;1986;1052.0;651;f
WS;npopul651f;p0p100;1987;1151.0;651;f
WS;npopul651f;p0p100;1988;1260.0;651;f
WS;npopul651f;p0p100;1989;1355.0;651;f
WS;npopul651f;p0p100;1990;1422.0;651;f
WS;npopul651f;p0p100;1991;1431.0;651;f
WS;npopul651f;p0p100;1992;1429.0;651;f
WS;npopul651f;p0p100;1993;1435.0;651;f
WS;npopul651f;p0p100;1994;1467.0;651;f
WS;npopul651f;p0p100;1995;1525.0;651;f
WS;npopul651f;p0p100;1996;1572.0;651;f
WS;npopul651f;p0p100;1997;1607.0;651;f
WS;npopul651f;p0p100;1998;1608.0;651;f
WS;npopul651f;p0p100;1999;1572.0;651;f
WS;npopul651f;p0p100;2000;1518.0;651;f
WS;npopul651f;p0p100;2001;1522.0;651;f
WS;npopul651f;p0p100;2002;1536.0;651;f
WS;npopul651f;p0p100;2003;1568.0;651;f
WS;npopul651f;p0p100;2004;1614.0;651;f
WS;npopul651f;p0p100;2005;1659.0;651;f
WS;npopul651f;p0p100;2006;1662.0;651;f
WS;npopul651f;p0p100;2007;1671.0;651;f
WS;npopul651f;p0p100;2008;1695.0;651;f
WS;npopul651f;p0p100;2009;1729.0;651;f
WS;npopul651f;p0p100;2010;1756.0;651;f
WS;npopul651f;p0p100;2011;1749.0;651;f
WS;npopul651f;p0p100;2012;1713.0;651;f
WS;npopul651f;p0p100;2013;1653.0;651;f
WS;npopul651f;p0p100;2014;1600.0;651;f
WS;npopul651f;p0p100;2015;1584.0;651;f
WS;npopul651f;p0p100;2016;1672.0;651;f
WS;npopul651f;p0p100;2017;1786.0;651;f
WS;npopul651f;p0p100;2018;1906.0;651;f
WS;npopul651f;p0p100;2019;2015.0;651;f
WS;npopul651f;p0p100;2020;2119.0;651;f
WS;npopul651f;p0p100;2021;2192.0;651;f
WS;mcomnx999i;p0p100;1977;0.0;999;i
WS;mcomnx999i;p0p100;1978;0.0;999;i
WS;mcomnx999i;p0p100;1979;0.0;999;i
WS;mcomnx999i;p0p100;1980;0.0;999;i
WS;mcomnx999i;p0p100;1981;0.0;999;i
WS;mcomnx999i;p0p100;1982;0.0;999;i
WS;mcomnx999i;p0p100;1983;0.0;999;i
WS;mcomnx999i;p0p100;1984;0.0;999;i
WS;mcomnx999i;p0p100;1985;0.0;999;i
