country;variable;percentile;year;value;age;pop
XA-MER;ahweal992j;p32p33;1995;873.6;992;j
XA-MER;ahweal992j;p32p33;1996;943.4;992;j
XA-MER;ahweal992j;p32p33;1997;1041.6;992;j
XA-MER;ahweal992j;p32p33;1998;1110.6;992;j
XA-MER;ahweal992j;p32p33;1999;1171.7;992;j
XA-MER;ahweal992j;p32p33;2000;1295.7;992;j
XA-MER;ahweal992j;p32p33;2001;1359.1;992;j
XA-MER;ahweal992j;p32p33;2002;1447.4;992;j
XA-MER;ahweal992j;p32p33;2003;1547.6;992;j
XA-MER;ahweal992j;p32p33;2004;1621.1;992;j
XA-MER;ahweal992j;p32p33;2005;1711.6;992;j
XA-MER;ahweal992j;p32p33;2006;1837.4;992;j
XA-MER;ahweal992j;p32p33;2007;1913.5;992;j
XA-MER;ahweal992j;p32p33;2008;2007.9;992;j
XA-MER;ahweal992j;p32p33;2009;2096.4;992;j
XA-MER;ahweal992j;p32p33;2010;1722.2;992;j
XA-MER;ahweal992j;p32p33;2011;1853.2;992;j
XA-MER;ahweal992j;p32p33;2012;1958.8;992;j
XA-MER;ahweal992j;p32p33;2013;2049.7;992;j
XA-MER;ahweal992j;p32p33;2014;2117.2;992;j
XA-MER;ahweal992j;p32p33;2015;2240.2;992;j
XA-MER;ahweal992j;p32p33;2016;2379.5;992;j
XA-MER;ahweal992j;p32p33;2017;2478.8;992;j
XA-MER;ahweal992j;p32p33;2018;2535.1;992;j
XA-MER;ahweal992j;p32p33;2019;2675.8;992;j
XA-MER;ahweal992j;p32p33;2020;2625.5;992;j
XA-MER;ahweal992j;p32p33;2021;2687.7;992;j
XA-MER;ahweal992j;p57p100;1995;31804.7;992;j
XA-MER;ahweal992j;p57p100;1996;31985.3;992;j
XA-MER;ahweal992j;p57p100;1997;32950.6;992;j
XA-MER;ahweal992j;p57p100;1998;33200.2;992;j
XA-MER;ahweal992j;p57p100;1999;34360.9;992;j
XA-MER;ahweal992j;p57p100;2000;35457.4;992;j
XA-MER;ahweal992j;p57p100;2001;35949.2;992;j
XA-MER;ahweal992j;p57p100;2002;36881.3;992;j
XA-MER;ahweal992j;p57p100;2003;38086.5;992;j
XA-MER;ahweal992j;p57p100;2004;39549.5;992;j
XA-MER;ahweal992j;p57p100;2005;42486.5;992;j
XA-MER;ahweal992j;p57p100;2006;45198.0;992;j
XA-MER;ahweal992j;p57p100;2007;47456.8;992;j
XA-MER;ahweal992j;p57p100;2008;47929.1;992;j
XA-MER;ahweal992j;p57p100;2009;50445.9;992;j
XA-MER;ahweal992j;p57p100;2010;54024.1;992;j
XA-MER;ahweal992j;p57p100;2011;55443.9;992;j
XA-MER;ahweal992j;p57p100;2012;58472.3;992;j
XA-MER;ahweal992j;p57p100;2013;62277.5;992;j
XA-MER;ahweal992j;p57p100;2014;65224.3;992;j
XA-MER;ahweal992j;p57p100;2015;68410.7;992;j
XA-MER;ahweal992j;p57p100;2016;72649.6;992;j
XA-MER;ahweal992j;p57p100;2017;74173.9;992;j
XA-MER;ahweal992j;p57p100;2018;77785.6;992;j
XA-MER;ahweal992j;p57p100;2019;82833.4;992;j
XA-MER;ahweal992j;p57p100;2020;83327.1;992;j
XA-MER;ahweal992j;p57p100;2021;86288.6;992;j
XA-MER;aptinc992j;p23p100;1980;3393.6;992;j
XA-MER;aptinc992j;p23p100;1981;3460.1;992;j
XA-MER;aptinc992j;p23p100;1982;3547.9;992;j
XA-MER;aptinc992j;p23p100;1983;3618.8;992;j
XA-MER;aptinc992j;p23p100;1984;3742.6;992;j
XA-MER;aptinc992j;p23p100;1985;3886.2;992;j
XA-MER;aptinc992j;p23p100;1986;3909.9;992;j
XA-MER;aptinc992j;p23p100;1987;4038.0;992;j
XA-MER;aptinc992j;p23p100;1988;4203.2;992;j
XA-MER;aptinc992j;p23p100;1989;4292.1;992;j
XA-MER;aptinc992j;p23p100;1990;4351.5;992;j
XA-MER;aptinc992j;p23p100;1991;4426.7;992;j
XA-MER;aptinc992j;p23p100;1992;4445.1;992;j
XA-MER;aptinc992j;p23p100;1993;4519.9;992;j
XA-MER;aptinc992j;p23p100;1994;4618.7;992;j
XA-MER;aptinc992j;p23p100;1995;4766.4;992;j
XA-MER;aptinc992j;p23p100;1996;4830.5;992;j
XA-MER;aptinc992j;p23p100;1997;4921.6;992;j
XA-MER;aptinc992j;p23p100;1998;4732.1;992;j
XA-MER;aptinc992j;p23p100;1999;4766.5;992;j
XA-MER;aptinc992j;p23p100;2000;4950.4;992;j
XA-MER;aptinc992j;p23p100;2001;4993.3;992;j
XA-MER;aptinc992j;p23p100;2002;5156.3;992;j
XA-MER;aptinc992j;p23p100;2003;5325.0;992;j
XA-MER;aptinc992j;p23p100;2004;5609.6;992;j
XA-MER;aptinc992j;p23p100;2005;5853.7;992;j
XA-MER;aptinc992j;p23p100;2006;6178.3;992;j
XA-MER;aptinc992j;p23p100;2007;6551.3;992;j
XA-MER;aptinc992j;p23p100;2008;6698.7;992;j
XA-MER;aptinc992j;p23p100;2009;6638.2;992;j
XA-MER;aptinc992j;p23p100;2010;7066.4;992;j
XA-MER;aptinc992j;p23p100;2011;7432.9;992;j
XA-MER;aptinc992j;p23p100;2012;7697.5;992;j
XA-MER;aptinc992j;p23p100;2013;7998.6;992;j
XA-MER;aptinc992j;p23p100;2014;8363.4;992;j
XA-MER;aptinc992j;p23p100;2015;8660.4;992;j
XA-MER;aptinc992j;p23p100;2016;8987.5;992;j
XA-MER;aptinc992j;p23p100;2017;9318.1;992;j
XA-MER;aptinc992j;p23p100;2018;9629.4;992;j
XA-MER;aptinc992j;p23p100;2019;9912.2;992;j
XA-MER;aptinc992j;p23p100;2020;9748.7;992;j
XA-MER;aptinc992j;p23p100;2021;10375.6;992;j
XA-MER;aptinc992j;p41p42;1980;727.7;992;j
XA-MER;aptinc992j;p41p42;1981;747.9;992;j
XA-MER;aptinc992j;p41p42;1982;768.7;992;j
XA-MER;aptinc992j;p41p42;1983;758.3;992;j
XA-MER;aptinc992j;p41p42;1984;799.5;992;j
XA-MER;aptinc992j;p41p42;1985;798.7;992;j
XA-MER;aptinc992j;p41p42;1986;799.0;992;j
XA-MER;aptinc992j;p41p42;1987;819.6;992;j
XA-MER;aptinc992j;p41p42;1988;822.4;992;j
XA-MER;aptinc992j;p41p42;1989;848.1;992;j
