country;variable;percentile;year;value;age;pop
XA;aptinc992j;p71p72;1980;2839.3;992;j
XA;aptinc992j;p71p72;1981;2934.9;992;j
XA;aptinc992j;p71p72;1982;3079.6;992;j
XA;aptinc992j;p71p72;1983;3084.6;992;j
XA;aptinc992j;p71p72;1984;3275.3;992;j
XA;aptinc992j;p71p72;1985;3336.8;992;j
XA;aptinc992j;p71p72;1986;3455.1;992;j
XA;aptinc992j;p71p72;1987;3623.5;992;j
XA;aptinc992j;p71p72;1988;3678.5;992;j
XA;aptinc992j;p71p72;1989;3709.0;992;j
XA;aptinc992j;p71p72;1990;3711.5;992;j
XA;aptinc992j;p71p72;1991;3879.0;992;j
XA;aptinc992j;p71p72;1992;3939.0;992;j
XA;aptinc992j;p71p72;1993;4069.6;992;j
XA;aptinc992j;p71p72;1994;4229.6;992;j
XA;aptinc992j;p71p72;1995;4428.1;992;j
XA;aptinc992j;p71p72;1996;4497.3;992;j
XA;aptinc992j;p71p72;1997;4675.6;992;j
XA;aptinc992j;p71p72;1998;4531.3;992;j
XA;aptinc992j;p71p72;1999;4611.0;992;j
XA;aptinc992j;p71p72;2000;4857.0;992;j
XA;aptinc992j;p71p72;2001;5006.2;992;j
XA;aptinc992j;p71p72;2002;5094.8;992;j
XA;aptinc992j;p71p72;2003;5263.4;992;j
XA;aptinc992j;p71p72;2004;5587.7;992;j
XA;aptinc992j;p71p72;2005;5808.9;992;j
XA;aptinc992j;p71p72;2006;6297.2;992;j
XA;aptinc992j;p71p72;2007;6768.5;992;j
XA;aptinc992j;p71p72;2008;7046.6;992;j
XA;aptinc992j;p71p72;2009;7271.4;992;j
XA;aptinc992j;p71p72;2010;7720.7;992;j
XA;aptinc992j;p71p72;2011;8116.8;992;j
XA;aptinc992j;p71p72;2012;8589.3;992;j
XA;aptinc992j;p71p72;2013;9040.4;992;j
XA;aptinc992j;p71p72;2014;9740.7;992;j
XA;aptinc992j;p71p72;2015;9997.0;992;j
XA;aptinc992j;p71p72;2016;10563.3;992;j
XA;aptinc992j;p71p72;2017;10954.6;992;j
XA;aptinc992j;p71p72;2018;11320.4;992;j
XA;aptinc992j;p71p72;2019;11745.9;992;j
XA;aptinc992j;p71p72;2020;11581.2;992;j
XA;aptinc992j;p71p72;2021;12229.9;992;j
XA;aptinc992j;p8p9;1980;243.6;992;j
XA;aptinc992j;p8p9;1981;252.2;992;j
XA;aptinc992j;p8p9;1982;259.2;992;j
XA;aptinc992j;p8p9;1983;254.7;992;j
XA;aptinc992j;p8p9;1984;266.1;992;j
XA;aptinc992j;p8p9;1985;261.3;992;j
XA;aptinc992j;p8p9;1986;266.3;992;j
XA;aptinc992j;p8p9;1987;268.6;992;j
XA;aptinc992j;p8p9;1988;257.7;992;j
XA;aptinc992j;p8p9;1989;274.0;992;j
XA;aptinc992j;p8p9;1990;265.8;992;j
XA;aptinc992j;p8p9;1991;269.5;992;j
XA;aptinc992j;p8p9;1992;277.2;992;j
XA;aptinc992j;p8p9;1993;279.2;992;j
XA;aptinc992j;p8p9;1994;284.0;992;j
XA;aptinc992j;p8p9;1995;286.8;992;j
XA;aptinc992j;p8p9;1996;297.5;992;j
XA;aptinc992j;p8p9;1997;310.3;992;j
XA;aptinc992j;p8p9;1998;327.4;992;j
XA;aptinc992j;p8p9;1999;320.5;992;j
XA;aptinc992j;p8p9;2000;319.3;992;j
XA;aptinc992j;p8p9;2001;318.5;992;j
XA;aptinc992j;p8p9;2002;338.4;992;j
XA;aptinc992j;p8p9;2003;340.2;992;j
XA;aptinc992j;p8p9;2004;376.0;992;j
XA;aptinc992j;p8p9;2005;378.4;992;j
XA;aptinc992j;p8p9;2006;405.6;992;j
XA;aptinc992j;p8p9;2007;430.4;992;j
XA;aptinc992j;p8p9;2008;429.3;992;j
XA;aptinc992j;p8p9;2009;451.2;992;j
XA;aptinc992j;p8p9;2010;461.1;992;j
XA;aptinc992j;p8p9;2011;493.3;992;j
XA;aptinc992j;p8p9;2012;505.5;992;j
XA;aptinc992j;p8p9;2013;522.4;992;j
XA;aptinc992j;p8p9;2014;538.0;992;j
XA;aptinc992j;p8p9;2015;573.0;992;j
XA;aptinc992j;p8p9;2016;610.3;992;j
XA;aptinc992j;p8p9;2017;630.1;992;j
XA;aptinc992j;p8p9;2018;657.0;992;j
XA;aptinc992j;p8p9;2019;697.0;992;j
XA;aptinc992j;p8p9;2020;671.9;992;j
XA;aptinc992j;p8p9;2021;712.7;992;j
XA;bhweal992j;p89p100;1995;6.17900657653809;992;j
XA;bhweal992j;p89p100;1996;5.92834377288818;992;j
XA;bhweal992j;p89p100;1997;5.36865472793579;992;j
XA;bhweal992j;p89p100;1998;5.12061929702759;992;j
XA;bhweal992j;p89p100;1999;4.98908853530884;992;j
XA;bhweal992j;p89p100;2000;4.83924293518066;992;j
XA;bhweal992j;p89p100;2001;4.69293546676636;992;j
XA;bhweal992j;p89p100;2002;4.45687532424927;992;j
XA;bhweal992j;p89p100;2003;4.26474857330322;992;j
XA;bhweal992j;p89p100;2004;4.22836399078369;992;j
XA;bhweal992j;p89p100;2005;4.18217849731445;992;j
XA;bhweal992j;p89p100;2006;4.18289756774902;992;j
XA;bhweal992j;p89p100;2007;4.30299377441406;992;j
XA;bhweal992j;p89p100;2008;4.37953948974609;992;j
XA;bhweal992j;p89p100;2009;4.29099369049072;992;j
XA;bhweal992j;p89p100;2010;4.10489892959595;992;j
XA;bhweal992j;p89p100;2011;4.45472288131714;992;j
XA;bhweal992j;p89p100;2012;4.42560958862305;992;j
XA;bhweal992j;p89p100;2013;4.44237327575684;992;j
XA;bhweal992j;p89p100;2014;4.40097618103027;992;j
XA;bhweal992j;p89p100;2015;4.4055290222168;992;j
XA;bhweal992j;p89p100;2016;4.40097379684448;992;j
XA;bhweal992j;p89p100;2017;4.34986448287964;992;j
XA;bhweal992j;p89p100;2018;4.33116102218628;992;j
XA;bhweal992j;p89p100;2019;4.33845472335815;992;j
XA;bhweal992j;p89p100;2020;4.38457250595093;992;j
XA;bhweal992j;p89p100;2021;4.52097940444946;992;j
XA;shweal992j;p22p100;1995;1.0031;992;j
XA;shweal992j;p22p100;1996;1.0028;992;j
XA;shweal992j;p22p100;1997;1.0028;992;j
XA;shweal992j;p22p100;1998;1.003;992;j
XA;shweal992j;p22p100;1999;1.0028;992;j
XA;shweal992j;p22p100;2000;1.0025;992;j
XA;shweal992j;p22p100;2001;1.002;992;j
XA;shweal992j;p22p100;2002;1.0015;992;j
XA;shweal992j;p22p100;2003;1.0012;992;j
XA;shweal992j;p22p100;2004;1.0007;992;j
XA;shweal992j;p22p100;2005;1.0005;992;j
XA;shweal992j;p22p100;2006;1.0001;992;j
XA;shweal992j;p22p100;2007;0.9998;992;j
XA;shweal992j;p22p100;2008;0.9994;992;j
