country;variable;percentile;year;value;age;pop
XB-MER;ahweal992j;p68p69;1995;97529.6;992;j
XB-MER;ahweal992j;p68p69;1996;101675.0;992;j
XB-MER;ahweal992j;p68p69;1997;104056.4;992;j
XB-MER;ahweal992j;p68p69;1998;114516.8;992;j
XB-MER;ahweal992j;p68p69;1999;120422.6;992;j
XB-MER;ahweal992j;p68p69;2000;124269.2;992;j
XB-MER;ahweal992j;p68p69;2001;125405.5;992;j
XB-MER;ahweal992j;p68p69;2002;126771.4;992;j
XB-MER;ahweal992j;p68p69;2003;126719.3;992;j
XB-MER;ahweal992j;p68p69;2004;138036.5;992;j
XB-MER;ahweal992j;p68p69;2005;145585.6;992;j
XB-MER;ahweal992j;p68p69;2006;152327.6;992;j
XB-MER;ahweal992j;p68p69;2007;157747.1;992;j
XB-MER;ahweal992j;p68p69;2008;132617.5;992;j
XB-MER;ahweal992j;p68p69;2009;123626.4;992;j
XB-MER;ahweal992j;p68p69;2010;119306.4;992;j
XB-MER;ahweal992j;p68p69;2011;117196.5;992;j
XB-MER;ahweal992j;p68p69;2012;116637.5;992;j
XB-MER;ahweal992j;p68p69;2013;120408.3;992;j
XB-MER;ahweal992j;p68p69;2014;129229.8;992;j
XB-MER;ahweal992j;p68p69;2015;137547.6;992;j
XB-MER;ahweal992j;p68p69;2016;144252.3;992;j
XB-MER;ahweal992j;p68p69;2017;169521.6;992;j
XB-MER;ahweal992j;p68p69;2018;173863.1;992;j
XB-MER;ahweal992j;p68p69;2019;177112.2;992;j
XB-MER;ahweal992j;p68p69;2020;185231.0;992;j
XB-MER;ahweal992j;p68p69;2021;178332.0;992;j
XB-MER;bhweal992j;p78p100;1995;3.72277808189392;992;j
XB-MER;bhweal992j;p78p100;1996;3.7739725112915;992;j
XB-MER;bhweal992j;p78p100;1997;3.81835031509399;992;j
XB-MER;bhweal992j;p78p100;1998;3.9122359752655;992;j
XB-MER;bhweal992j;p78p100;1999;3.89113569259644;992;j
XB-MER;bhweal992j;p78p100;2000;3.8789484500885;992;j
XB-MER;bhweal992j;p78p100;2001;3.7905216217041;992;j
XB-MER;bhweal992j;p78p100;2002;3.81229496002197;992;j
XB-MER;bhweal992j;p78p100;2003;3.85892486572266;992;j
XB-MER;bhweal992j;p78p100;2004;3.92521452903748;992;j
XB-MER;bhweal992j;p78p100;2005;3.94540333747864;992;j
XB-MER;bhweal992j;p78p100;2006;3.91099643707275;992;j
