country;variable;percentile;year;value;age;pop
XB;ahweal992j;p19p20;1995;277.6;992;j
XB;ahweal992j;p19p20;1996;71.1;992;j
XB;ahweal992j;p19p20;1997;127.1;992;j
XB;ahweal992j;p19p20;1998;74.6;992;j
XB;ahweal992j;p19p20;1999;46.7;992;j
XB;ahweal992j;p19p20;2000;9.5;992;j
XB;ahweal992j;p19p20;2001;17.7;992;j
XB;ahweal992j;p19p20;2002;3.3;992;j
XB;ahweal992j;p19p20;2003;9.4;992;j
XB;ahweal992j;p19p20;2004;35.2;992;j
XB;ahweal992j;p19p20;2005;12.6;992;j
XB;ahweal992j;p19p20;2006;43.7;992;j
XB;ahweal992j;p19p20;2007;19.1;992;j
XB;ahweal992j;p19p20;2008;25.5;992;j
XB;ahweal992j;p19p20;2009;12.9;992;j
XB;ahweal992j;p19p20;2010;90.8;992;j
XB;ahweal992j;p19p20;2011;85.1;992;j
XB;ahweal992j;p19p20;2012;65.3;992;j
XB;ahweal992j;p19p20;2013;52.7;992;j
XB;ahweal992j;p19p20;2014;51.6;992;j
XB;ahweal992j;p19p20;2015;116.7;992;j
XB;ahweal992j;p19p20;2016;5.3;992;j
XB;ahweal992j;p19p20;2017;121.7;992;j
XB;ahweal992j;p19p20;2018;9.1;992;j
XB;ahweal992j;p19p20;2019;124.8;992;j
XB;ahweal992j;p19p20;2020;3.2;992;j
XB;ahweal992j;p19p20;2021;154.6;992;j
XB;ahweal992j;p37p38;1995;12002.8;992;j
XB;ahweal992j;p37p38;1996;11868.6;992;j
XB;ahweal992j;p37p38;1997;12091.4;992;j
XB;ahweal992j;p37p38;1998;13122.8;992;j
XB;ahweal992j;p37p38;1999;13803.0;992;j
XB;ahweal992j;p37p38;2000;14490.2;992;j
XB;ahweal992j;p37p38;2001;15017.8;992;j
XB;ahweal992j;p37p38;2002;15133.8;992;j
XB;ahweal992j;p37p38;2003;14904.6;992;j
XB;ahweal992j;p37p38;2004;16024.1;992;j
XB;ahweal992j;p37p38;2005;15947.3;992;j
XB;ahweal992j;p37p38;2006;16896.2;992;j
XB;ahweal992j;p37p38;2007;14406.3;992;j
XB;ahweal992j;p37p38;2008;10829.7;992;j
XB;ahweal992j;p37p38;2009;8287.3;992;j
XB;ahweal992j;p37p38;2010;8234.7;992;j
XB;ahweal992j;p37p38;2011;8704.9;992;j
XB;ahweal992j;p37p38;2012;8897.0;992;j
XB;ahweal992j;p37p38;2013;10758.0;992;j
XB;ahweal992j;p37p38;2014;12807.4;992;j
XB;ahweal992j;p37p38;2015;14035.0;992;j
XB;ahweal992j;p37p38;2016;14522.0;992;j
XB;ahweal992j;p37p38;2017;18839.5;992;j
XB;ahweal992j;p37p38;2018;19859.5;992;j
XB;ahweal992j;p37p38;2019;20840.1;992;j
XB;ahweal992j;p37p38;2020;23025.0;992;j
XB;ahweal992j;p37p38;2021;25764.2;992;j
XB;bhweal992j;p11p100;1995;3033.3193359375;992;j
XB;bhweal992j;p11p100;1996;5491.478515625;992;j
XB;bhweal992j;p11p100;1997;4861.193359375;992;j
XB;bhweal992j;p11p100;1998;6408.6259765625;992;j
XB;bhweal992j;p11p100;1999;9561.615234375;992;j
XB;bhweal992j;p11p100;2000;42781.76171875;992;j
XB;bhweal992j;p11p100;2001;23115.064453125;992;j
XB;bhweal992j;p11p100;2002;116707.15625;992;j
XB;bhweal992j;p11p100;2003;42666.75390625;992;j
XB;bhweal992j;p11p100;2004;13076.9970703125;992;j
XB;bhweal992j;p11p100;2005;71626.09375;992;j
XB;bhweal992j;p11p100;2006;11789.59765625;992;j
XB;bhweal992j;p11p100;2007;26523.26953125;992;j
XB;bhweal992j;p11p100;2008;18314.5;992;j
XB;bhweal992j;p11p100;2009;32030.767578125;992;j
XB;bhweal992j;p11p100;2010;6110.89111328125;992;j
XB;bhweal992j;p11p100;2011;6392.80517578125;992;j
