country;variable;percentile;year;value;age;pop
XF-MER;aptinc992j;p99.8p99.9;1980;382695.1;992;j
XF-MER;aptinc992j;p99.8p99.9;1981;413909.0;992;j
XF-MER;aptinc992j;p99.8p99.9;1982;403159.1;992;j
XF-MER;aptinc992j;p99.8p99.9;1983;388457.0;992;j
XF-MER;aptinc992j;p99.8p99.9;1984;381972.2;992;j
XF-MER;aptinc992j;p99.8p99.9;1985;396373.7;992;j
XF-MER;aptinc992j;p99.8p99.9;1986;395374.6;992;j
XF-MER;aptinc992j;p99.8p99.9;1987;394485.5;992;j
XF-MER;aptinc992j;p99.8p99.9;1988;401313.0;992;j
XF-MER;aptinc992j;p99.8p99.9;1989;405716.4;992;j
XF-MER;aptinc992j;p99.8p99.9;1990;417930.7;992;j
XF-MER;aptinc992j;p99.8p99.9;1991;430516.6;992;j
XF-MER;aptinc992j;p99.8p99.9;1992;371884.3;992;j
XF-MER;aptinc992j;p99.8p99.9;1993;368604.3;992;j
XF-MER;aptinc992j;p99.8p99.9;1994;381592.1;992;j
XF-MER;aptinc992j;p99.8p99.9;1995;373864.5;992;j
XF-MER;aptinc992j;p99.8p99.9;1996;394956.8;992;j
XF-MER;aptinc992j;p99.8p99.9;1997;393342.7;992;j
XF-MER;aptinc992j;p99.8p99.9;1998;394525.1;992;j
XF-MER;aptinc992j;p99.8p99.9;1999;390783.9;992;j
XF-MER;aptinc992j;p99.8p99.9;2000;378571.2;992;j
XF-MER;aptinc992j;p99.8p99.9;2001;408896.2;992;j
XF-MER;aptinc992j;p99.8p99.9;2002;372854.5;992;j
XF-MER;aptinc992j;p99.8p99.9;2003;301574.7;992;j
XF-MER;aptinc992j;p99.8p99.9;2004;284650.7;992;j
XF-MER;aptinc992j;p99.8p99.9;2005;272097.4;992;j
XF-MER;aptinc992j;p99.8p99.9;2006;259608.2;992;j
XF-MER;aptinc992j;p99.8p99.9;2007;255942.9;992;j
XF-MER;aptinc992j;p99.8p99.9;2008;211026.6;992;j
XF-MER;aptinc992j;p99.8p99.9;2009;224240.4;992;j
XF-MER;aptinc992j;p99.8p99.9;2010;254317.2;992;j
XF-MER;aptinc992j;p99.8p99.9;2011;267310.9;992;j
XF-MER;aptinc992j;p99.8p99.9;2012;301163.3;992;j
XF-MER;aptinc992j;p99.8p99.9;2013;296260.8;992;j
XF-MER;aptinc992j;p99.8p99.9;2014;296351.1;992;j
XF-MER;aptinc992j;p99.8p99.9;2015;297342.2;992;j
XF-MER;aptinc992j;p99.8p99.9;2016;295289.6;992;j
XF-MER;aptinc992j;p99.8p99.9;2017;304777.1;992;j
XF-MER;aptinc992j;p99.8p99.9;2018;297834.9;992;j
XF-MER;aptinc992j;p99.8p99.9;2019;284150.1;992;j
XF-MER;aptinc992j;p99.8p99.9;2020;269395.9;992;j
XF-MER;aptinc992j;p99.8p99.9;2021;272594.8;992;j
XF-MER;aptinc992j;p99.993p99.994;1980;3356816.5;992;j
XF-MER;aptinc992j;p99.993p99.994;1981;3649697.2;992;j
XF-MER;aptinc992j;p99.993p99.994;1982;3714265.4;992;j
XF-MER;aptinc992j;p99.993p99.994;1983;3559872.6;992;j
XF-MER;aptinc992j;p99.993p99.994;1984;3315996.3;992;j
XF-MER;aptinc992j;p99.993p99.994;1985;3413726.4;992;j
XF-MER;aptinc992j;p99.993p99.994;1986;3307751.0;992;j
XF-MER;aptinc992j;p99.993p99.994;1987;3207980.0;992;j
