country;variable;percentile;year;value;age;pop
XF;ahweal992j;p14p100;1995;7892.4;992;j
XF;ahweal992j;p14p100;1996;8143.1;992;j
XF;ahweal992j;p14p100;1997;8386.2;992;j
XF;ahweal992j;p14p100;1998;8396.2;992;j
XF;ahweal992j;p14p100;1999;8263.7;992;j
XF;ahweal992j;p14p100;2000;8207.1;992;j
XF;ahweal992j;p14p100;2001;8600.8;992;j
XF;ahweal992j;p14p100;2002;9104.3;992;j
XF;ahweal992j;p14p100;2003;9412.2;992;j
XF;ahweal992j;p14p100;2004;9887.7;992;j
XF;ahweal992j;p14p100;2005;10587.0;992;j
XF;ahweal992j;p14p100;2006;11368.9;992;j
XF;ahweal992j;p14p100;2007;11955.6;992;j
XF;ahweal992j;p14p100;2008;12225.3;992;j
XF;ahweal992j;p14p100;2009;12557.5;992;j
XF;ahweal992j;p14p100;2010;12882.7;992;j
XF;ahweal992j;p14p100;2011;12987.8;992;j
XF;ahweal992j;p14p100;2012;13204.0;992;j
XF;ahweal992j;p14p100;2013;13645.3;992;j
XF;ahweal992j;p14p100;2014;14249.8;992;j
XF;ahweal992j;p14p100;2015;14454.6;992;j
XF;ahweal992j;p14p100;2016;14302.4;992;j
XF;ahweal992j;p14p100;2017;14387.2;992;j
XF;ahweal992j;p14p100;2018;14444.6;992;j
XF;ahweal992j;p14p100;2019;14579.8;992;j
XF;ahweal992j;p14p100;2020;14301.2;992;j
XF;ahweal992j;p14p100;2021;14774.4;992;j
XF;ahweal992j;p32p100;1995;9939.8;992;j
XF;ahweal992j;p32p100;1996;10252.5;992;j
XF;ahweal992j;p32p100;1997;10553.5;992;j
XF;ahweal992j;p32p100;1998;10564.6;992;j
XF;ahweal992j;p32p100;1999;10397.3;992;j
XF;ahweal992j;p32p100;2000;10327.4;992;j
XF;ahweal992j;p32p100;2001;10824.4;992;j
XF;ahweal992j;p32p100;2002;11458.6;992;j
XF;ahweal992j;p32p100;2003;11845.9;992;j
XF;ahweal992j;p32p100;2004;12444.8;992;j
XF;ahweal992j;p32p100;2005;13328.0;992;j
XF;ahweal992j;p32p100;2006;14314.8;992;j
XF;ahweal992j;p32p100;2007;15054.0;992;j
XF;ahweal992j;p32p100;2008;15392.4;992;j
