country;variable;percentile;year;value;age;pop
XL-MER;ahweal992j;p67p100;1995;27766.1;992;j
XL-MER;ahweal992j;p67p100;1996;28866.9;992;j
XL-MER;ahweal992j;p67p100;1997;30864.0;992;j
XL-MER;ahweal992j;p67p100;1998;31878.7;992;j
XL-MER;ahweal992j;p67p100;1999;32195.2;992;j
XL-MER;ahweal992j;p67p100;2000;34175.0;992;j
XL-MER;ahweal992j;p67p100;2001;34916.5;992;j
XL-MER;ahweal992j;p67p100;2002;34186.3;992;j
XL-MER;ahweal992j;p67p100;2003;34584.2;992;j
XL-MER;ahweal992j;p67p100;2004;36894.5;992;j
XL-MER;ahweal992j;p67p100;2005;39013.0;992;j
XL-MER;ahweal992j;p67p100;2006;41091.4;992;j
XL-MER;ahweal992j;p67p100;2007;44596.2;992;j
XL-MER;ahweal992j;p67p100;2008;47005.0;992;j
XL-MER;ahweal992j;p67p100;2009;49630.2;992;j
XL-MER;ahweal992j;p67p100;2010;53401.4;992;j
XL-MER;ahweal992j;p67p100;2011;57406.8;992;j
XL-MER;ahweal992j;p67p100;2012;60816.5;992;j
XL-MER;ahweal992j;p67p100;2013;62341.0;992;j
XL-MER;ahweal992j;p67p100;2014;63181.2;992;j
XL-MER;ahweal992j;p67p100;2015;62847.3;992;j
XL-MER;ahweal992j;p67p100;2016;60873.1;992;j
XL-MER;ahweal992j;p67p100;2017;61496.5;992;j
XL-MER;ahweal992j;p67p100;2018;62359.9;992;j
XL-MER;ahweal992j;p67p100;2019;63280.6;992;j
XL-MER;ahweal992j;p67p100;2020;58684.2;992;j
XL-MER;ahweal992j;p67p100;2021;64684.7;992;j
XL-MER;ahweal992j;p84p85;1995;10708.9;992;j
XL-MER;ahweal992j;p84p85;1996;11042.3;992;j
XL-MER;ahweal992j;p84p85;1997;11933.3;992;j
XL-MER;ahweal992j;p84p85;1998;12408.3;992;j
XL-MER;ahweal992j;p84p85;1999;12471.9;992;j
XL-MER;ahweal992j;p84p85;2000;13065.9;992;j
XL-MER;ahweal992j;p84p85;2001;13421.5;992;j
XL-MER;ahweal992j;p84p85;2002;13354.7;992;j
XL-MER;ahweal992j;p84p85;2003;13147.9;992;j
XL-MER;ahweal992j;p84p85;2004;13698.5;992;j
XL-MER;ahweal992j;p84p85;2005;14798.7;992;j
XL-MER;ahweal992j;p84p85;2006;14850.5;992;j
XL-MER;ahweal992j;p84p85;2007;16010.6;992;j
XL-MER;ahweal992j;p84p85;2008;17084.6;992;j
XL-MER;ahweal992j;p84p85;2009;17758.4;992;j
XL-MER;ahweal992j;p84p85;2010;19563.7;992;j
XL-MER;ahweal992j;p84p85;2011;20267.9;992;j
XL-MER;ahweal992j;p84p85;2012;21841.6;992;j
XL-MER;ahweal992j;p84p85;2013;22871.2;992;j
XL-MER;ahweal992j;p84p85;2014;23115.0;992;j
XL-MER;ahweal992j;p84p85;2015;23566.9;992;j
XL-MER;ahweal992j;p84p85;2016;23247.0;992;j
XL-MER;ahweal992j;p84p85;2017;23210.7;992;j
XL-MER;ahweal992j;p84p85;2018;23167.1;992;j
XL-MER;ahweal992j;p84p85;2019;23288.0;992;j
XL-MER;ahweal992j;p84p85;2020;21572.0;992;j
XL-MER;ahweal992j;p84p85;2021;23249.0;992;j
XL-MER;ahweal992j;p88p89;1995;14659.6;992;j
XL-MER;ahweal992j;p88p89;1996;15192.5;992;j
XL-MER;ahweal992j;p88p89;1997;16591.9;992;j
XL-MER;ahweal992j;p88p89;1998;16912.9;992;j
XL-MER;ahweal992j;p88p89;1999;16978.7;992;j
XL-MER;ahweal992j;p88p89;2000;18023.5;992;j
XL-MER;ahweal992j;p88p89;2001;18573.4;992;j
XL-MER;ahweal992j;p88p89;2002;18101.0;992;j
XL-MER;ahweal992j;p88p89;2003;18193.7;992;j
XL-MER;ahweal992j;p88p89;2004;19000.1;992;j
XL-MER;ahweal992j;p88p89;2005;20297.5;992;j
XL-MER;ahweal992j;p88p89;2006;20408.4;992;j
XL-MER;ahweal992j;p88p89;2007;22263.6;992;j
XL-MER;ahweal992j;p88p89;2008;23763.8;992;j
XL-MER;ahweal992j;p88p89;2009;25030.6;992;j
XL-MER;ahweal992j;p88p89;2010;27251.1;992;j
XL-MER;ahweal992j;p88p89;2011;28726.6;992;j
XL-MER;ahweal992j;p88p89;2012;30686.5;992;j
XL-MER;ahweal992j;p88p89;2013;31734.3;992;j
XL-MER;ahweal992j;p88p89;2014;32214.4;992;j
XL-MER;ahweal992j;p88p89;2015;32654.6;992;j
XL-MER;ahweal992j;p88p89;2016;31904.9;992;j
XL-MER;ahweal992j;p88p89;2017;32109.1;992;j
XL-MER;ahweal992j;p88p89;2018;31373.0;992;j
XL-MER;ahweal992j;p88p89;2019;31739.5;992;j
XL-MER;ahweal992j;p88p89;2020;30420.8;992;j
XL-MER;ahweal992j;p88p89;2021;31966.4;992;j
XL-MER;ahweal992j;p99.992p100;1995;12130562.0;992;j
XL-MER;ahweal992j;p99.992p100;1996;13444446.0;992;j
XL-MER;ahweal992j;p99.992p100;1997;13078627.0;992;j
XL-MER;ahweal992j;p99.992p100;1998;13321246.0;992;j
XL-MER;ahweal992j;p99.992p100;1999;13903093.0;992;j
XL-MER;ahweal992j;p99.992p100;2000;14839113.0;992;j
XL-MER;ahweal992j;p99.992p100;2001;15271650.0;992;j
XL-MER;ahweal992j;p99.992p100;2002;14600360.0;992;j
XL-MER;ahweal992j;p99.992p100;2003;14441322.0;992;j
XL-MER;ahweal992j;p99.992p100;2004;16249629.0;992;j
XL-MER;ahweal992j;p99.992p100;2005;16705110.0;992;j
XL-MER;ahweal992j;p99.992p100;2006;18691066.0;992;j
XL-MER;ahweal992j;p99.992p100;2007;21203602.0;992;j
XL-MER;ahweal992j;p99.992p100;2008;23686490.0;992;j
XL-MER;ahweal992j;p99.992p100;2009;22246100.0;992;j
XL-MER;ahweal992j;p99.992p100;2010;26951572.0;992;j
XL-MER;ahweal992j;p99.992p100;2011;31556758.0;992;j
XL-MER;ahweal992j;p99.992p100;2012;33546132.0;992;j
XL-MER;ahweal992j;p99.992p100;2013;35803908.0;992;j
XL-MER;ahweal992j;p99.992p100;2014;35893660.0;992;j
XL-MER;ahweal992j;p99.992p100;2015;34797240.0;992;j
XL-MER;ahweal992j;p99.992p100;2016;30373412.0;992;j
XL-MER;ahweal992j;p99.992p100;2017;32575302.0;992;j
XL-MER;ahweal992j;p99.992p100;2018;34472420.0;992;j
XL-MER;ahweal992j;p99.992p100;2019;34251900.0;992;j
XL-MER;ahweal992j;p99.992p100;2020;29634070.0;992;j
XL-MER;ahweal992j;p99.992p100;2021;35543480.0;992;j
XL-MER;aptinc992j;p74p100;1980;26026.9;992;j
XL-MER;aptinc992j;p74p100;1981;25620.1;992;j
XL-MER;aptinc992j;p74p100;1982;24303.1;992;j
XL-MER;aptinc992j;p74p100;1983;22707.6;992;j
XL-MER;aptinc992j;p74p100;1984;22941.6;992;j
XL-MER;aptinc992j;p74p100;1985;23068.1;992;j
XL-MER;aptinc992j;p74p100;1986;23035.7;992;j
XL-MER;aptinc992j;p74p100;1987;23371.1;992;j
XL-MER;aptinc992j;p74p100;1988;23251.9;992;j
XL-MER;aptinc992j;p74p100;1989;22915.3;992;j
XL-MER;aptinc992j;p74p100;1990;22707.7;992;j
XL-MER;aptinc992j;p74p100;1991;23027.5;992;j
XL-MER;aptinc992j;p74p100;1992;22888.9;992;j
XL-MER;aptinc992j;p74p100;1993;24101.7;992;j
XL-MER;aptinc992j;p74p100;1994;24579.4;992;j
XL-MER;aptinc992j;p74p100;1995;23850.3;992;j
XL-MER;aptinc992j;p74p100;1996;24079.3;992;j
XL-MER;aptinc992j;p74p100;1997;25116.2;992;j
XL-MER;aptinc992j;p74p100;1998;24712.2;992;j
XL-MER;aptinc992j;p74p100;1999;24161.2;992;j
XL-MER;aptinc992j;p74p100;2000;25064.1;992;j
XL-MER;aptinc992j;p74p100;2001;24924.7;992;j
XL-MER;aptinc992j;p74p100;2002;24070.5;992;j
XL-MER;aptinc992j;p74p100;2003;23452.3;992;j
XL-MER;aptinc992j;p74p100;2004;24330.4;992;j
XL-MER;aptinc992j;p74p100;2005;25200.4;992;j
XL-MER;aptinc992j;p74p100;2006;26125.1;992;j
XL-MER;aptinc992j;p74p100;2007;27252.1;992;j
XL-MER;aptinc992j;p74p100;2008;27991.9;992;j
XL-MER;aptinc992j;p74p100;2009;26645.9;992;j
XL-MER;aptinc992j;p74p100;2010;27621.8;992;j
XL-MER;aptinc992j;p74p100;2011;28460.1;992;j
XL-MER;aptinc992j;p74p100;2012;28771.8;992;j
XL-MER;aptinc992j;p74p100;2013;29072.2;992;j
XL-MER;aptinc992j;p74p100;2014;28957.4;992;j
XL-MER;aptinc992j;p74p100;2015;28357.6;992;j
XL-MER;aptinc992j;p74p100;2016;27357.8;992;j
XL-MER;aptinc992j;p74p100;2017;27056.1;992;j
XL-MER;aptinc992j;p74p100;2018;26578.9;992;j
