country;variable;percentile;year;value;age;pop
XL;ahweal992j;p86p87;1995;23805.9;992;j
XL;ahweal992j;p86p87;1996;24460.0;992;j
XL;ahweal992j;p86p87;1997;26527.1;992;j
XL;ahweal992j;p86p87;1998;27103.5;992;j
XL;ahweal992j;p86p87;1999;26846.3;992;j
XL;ahweal992j;p86p87;2000;28200.6;992;j
XL;ahweal992j;p86p87;2001;28475.9;992;j
XL;ahweal992j;p86p87;2002;27872.2;992;j
XL;ahweal992j;p86p87;2003;27599.6;992;j
XL;ahweal992j;p86p87;2004;29129.6;992;j
XL;ahweal992j;p86p87;2005;31217.6;992;j
XL;ahweal992j;p86p87;2006;31191.0;992;j
XL;ahweal992j;p86p87;2007;33954.6;992;j
XL;ahweal992j;p86p87;2008;36047.3;992;j
XL;ahweal992j;p86p87;2009;36734.7;992;j
XL;ahweal992j;p86p87;2010;40117.5;992;j
XL;ahweal992j;p86p87;2011;41539.4;992;j
XL;ahweal992j;p86p87;2012;44607.5;992;j
XL;ahweal992j;p86p87;2013;46386.7;992;j
XL;ahweal992j;p86p87;2014;46693.7;992;j
XL;ahweal992j;p86p87;2015;48600.6;992;j
XL;ahweal992j;p86p87;2016;46742.1;992;j
XL;ahweal992j;p86p87;2017;46324.8;992;j
XL;ahweal992j;p86p87;2018;44842.9;992;j
XL;ahweal992j;p86p87;2019;45219.9;992;j
XL;ahweal992j;p86p87;2020;42240.5;992;j
XL;ahweal992j;p86p87;2021;42838.7;992;j
XL;ahweal992j;p99.994p99.995;1995;9389909.9;992;j
XL;ahweal992j;p99.994p99.995;1996;9591848.9;992;j
XL;ahweal992j;p99.994p99.995;1997;10386709.5;992;j
XL;ahweal992j;p99.994p99.995;1998;10511860.0;992;j
XL;ahweal992j;p99.994p99.995;1999;10459076.5;992;j
XL;ahweal992j;p99.994p99.995;2000;10848677.7;992;j
XL;ahweal992j;p99.994p99.995;2001;11054978.9;992;j
XL;ahweal992j;p99.994p99.995;2002;10778849.2;992;j
XL;ahweal992j;p99.994p99.995;2003;11179627.2;992;j
XL;ahweal992j;p99.994p99.995;2004;12436144.7;992;j
XL;ahweal992j;p99.994p99.995;2005;13045237.9;992;j
XL;ahweal992j;p99.994p99.995;2006;13488910.3;992;j
XL;ahweal992j;p99.994p99.995;2007;14211388.6;992;j
XL;ahweal992j;p99.994p99.995;2008;14586047.5;992;j
XL;ahweal992j;p99.994p99.995;2009;17540614.2;992;j
XL;ahweal992j;p99.994p99.995;2010;17505799.5;992;j
XL;ahweal992j;p99.994p99.995;2011;19041233.7;992;j
XL;ahweal992j;p99.994p99.995;2012;20723927.0;992;j
XL;ahweal992j;p99.994p99.995;2013;18867319.0;992;j
XL;ahweal992j;p99.994p99.995;2014;20461539.0;992;j
XL;ahweal992j;p99.994p99.995;2015;18962093.8;992;j
XL;ahweal992j;p99.994p99.995;2016;18757734.8;992;j
XL;ahweal992j;p99.994p99.995;2017;17811127.2;992;j
XL;ahweal992j;p99.994p99.995;2018;18113782.0;992;j
XL;ahweal992j;p99.994p99.995;2019;18241440.6;992;j
XL;ahweal992j;p99.994p99.995;2020;17579815.3;992;j
XL;ahweal992j;p99.994p99.995;2021;17825656.9;992;j
XL;aptinc992j;p24p100;1980;18849.0;992;j
XL;aptinc992j;p24p100;1981;18199.1;992;j
XL;aptinc992j;p24p100;1982;17199.0;992;j
XL;aptinc992j;p24p100;1983;16076.0;992;j
XL;aptinc992j;p24p100;1984;16194.2;992;j
XL;aptinc992j;p24p100;1985;16369.9;992;j
XL;aptinc992j;p24p100;1986;16501.7;992;j
XL;aptinc992j;p24p100;1987;16854.6;992;j
XL;aptinc992j;p24p100;1988;16598.4;992;j
XL;aptinc992j;p24p100;1989;16490.2;992;j
XL;aptinc992j;p24p100;1990;16131.0;992;j
XL;aptinc992j;p24p100;1991;16429.8;992;j
XL;aptinc992j;p24p100;1992;16524.7;992;j
XL;aptinc992j;p24p100;1993;17537.3;992;j
XL;aptinc992j;p24p100;1994;18057.5;992;j
XL;aptinc992j;p24p100;1995;17591.0;992;j
XL;aptinc992j;p24p100;1996;17666.0;992;j
XL;aptinc992j;p24p100;1997;18315.6;992;j
XL;aptinc992j;p24p100;1998;18158.7;992;j
XL;aptinc992j;p24p100;1999;17722.9;992;j
XL;aptinc992j;p24p100;2000;18284.0;992;j
XL;aptinc992j;p24p100;2001;18004.8;992;j
XL;aptinc992j;p24p100;2002;17439.2;992;j
XL;aptinc992j;p24p100;2003;17110.3;992;j
XL;aptinc992j;p24p100;2004;17861.0;992;j
XL;aptinc992j;p24p100;2005;18302.2;992;j
XL;aptinc992j;p24p100;2006;18879.6;992;j
XL;aptinc992j;p24p100;2007;19549.1;992;j
XL;aptinc992j;p24p100;2008;20042.6;992;j
XL;aptinc992j;p24p100;2009;19168.5;992;j
XL;aptinc992j;p24p100;2010;19969.0;992;j
XL;aptinc992j;p24p100;2011;20572.6;992;j
XL;aptinc992j;p24p100;2012;20855.1;992;j
XL;aptinc992j;p24p100;2013;21218.5;992;j
XL;aptinc992j;p24p100;2014;21074.8;992;j
XL;aptinc992j;p24p100;2015;20732.2;992;j
XL;aptinc992j;p24p100;2016;20107.0;992;j
XL;aptinc992j;p24p100;2017;19965.5;992;j
XL;aptinc992j;p24p100;2018;19714.6;992;j
XL;aptinc992j;p24p100;2019;19295.2;992;j
XL;aptinc992j;p24p100;2020;17573.1;992;j
XL;aptinc992j;p24p100;2021;17966.3;992;j
XL;aptinc992j;p90p100;1980;83605.9;992;j
XL;aptinc992j;p90p100;1981;80871.9;992;j
XL;aptinc992j;p90p100;1982;76251.2;992;j
XL;aptinc992j;p90p100;1983;71025.7;992;j
XL;aptinc992j;p90p100;1984;71545.9;992;j
XL;aptinc992j;p90p100;1985;72613.4;992;j
XL;aptinc992j;p90p100;1986;73453.4;992;j
XL;aptinc992j;p90p100;1987;75016.1;992;j
XL;aptinc992j;p90p100;1988;73464.2;992;j
XL;aptinc992j;p90p100;1989;73530.2;992;j
XL;aptinc992j;p90p100;1990;71597.0;992;j
XL;aptinc992j;p90p100;1991;73102.7;992;j
XL;aptinc992j;p90p100;1992;73224.1;992;j
XL;aptinc992j;p90p100;1993;78372.0;992;j
XL;aptinc992j;p90p100;1994;80655.0;992;j
XL;aptinc992j;p90p100;1995;78136.6;992;j
XL;aptinc992j;p90p100;1996;78434.6;992;j
XL;aptinc992j;p90p100;1997;81939.1;992;j
XL;aptinc992j;p90p100;1998;80780.2;992;j
XL;aptinc992j;p90p100;1999;78804.6;992;j
XL;aptinc992j;p90p100;2000;81836.8;992;j
XL;aptinc992j;p90p100;2001;81518.3;992;j
XL;aptinc992j;p90p100;2002;79237.5;992;j
XL;aptinc992j;p90p100;2003;77477.7;992;j
XL;aptinc992j;p90p100;2004;80395.1;992;j
XL;aptinc992j;p90p100;2005;82413.8;992;j
XL;aptinc992j;p90p100;2006;85910.8;992;j
XL;aptinc992j;p90p100;2007;88809.8;992;j
XL;aptinc992j;p90p100;2008;91186.3;992;j
XL;aptinc992j;p90p100;2009;87074.3;992;j
XL;aptinc992j;p90p100;2010;90488.9;992;j
XL;aptinc992j;p90p100;2011;93450.6;992;j
XL;aptinc992j;p90p100;2012;93939.8;992;j
XL;aptinc992j;p90p100;2013;94494.2;992;j
XL;aptinc992j;p90p100;2014;94494.5;992;j
XL;aptinc992j;p90p100;2015;92949.8;992;j
XL;aptinc992j;p90p100;2016;90098.8;992;j
XL;aptinc992j;p90p100;2017;89302.1;992;j
XL;aptinc992j;p90p100;2018;87592.5;992;j
XL;aptinc992j;p90p100;2019;86398.2;992;j
XL;aptinc992j;p90p100;2020;78834.1;992;j
XL;aptinc992j;p90p100;2021;80483.8;992;j
XL;aptinc992j;p99.992p99.993;1980;1391672.8;992;j
XL;aptinc992j;p99.992p99.993;1981;1298816.8;992;j
XL;aptinc992j;p99.992p99.993;1982;1245344.8;992;j
XL;aptinc992j;p99.992p99.993;1983;1147698.0;992;j
XL;aptinc992j;p99.992p99.993;1984;1179634.3;992;j
XL;aptinc992j;p99.992p99.993;1985;1235433.2;992;j
XL;aptinc992j;p99.992p99.993;1986;1270086.9;992;j
XL;aptinc992j;p99.992p99.993;1987;1288644.4;992;j
XL;aptinc992j;p99.992p99.993;1988;1253420.7;992;j
XL;aptinc992j;p99.992p99.993;1989;1317583.5;992;j
XL;aptinc992j;p99.992p99.993;1990;1202897.6;992;j
XL;aptinc992j;p99.992p99.993;1991;1224743.3;992;j
XL;aptinc992j;p99.992p99.993;1992;1211679.7;992;j
XL;aptinc992j;p99.992p99.993;1993;1244120.2;992;j
XL;aptinc992j;p99.992p99.993;1994;1312487.8;992;j
