country;variable;percentile;year;value;age;pop
XM-MER;ahweal992j;p71p100;1995;34650.5;992;j
XM-MER;ahweal992j;p71p100;1996;35944.5;992;j
XM-MER;ahweal992j;p71p100;1997;38129.1;992;j
XM-MER;ahweal992j;p71p100;1998;40234.1;992;j
XM-MER;ahweal992j;p71p100;1999;39685.3;992;j
XM-MER;ahweal992j;p71p100;2000;40624.7;992;j
XM-MER;ahweal992j;p71p100;2001;40504.1;992;j
XM-MER;ahweal992j;p71p100;2002;40609.5;992;j
XM-MER;ahweal992j;p71p100;2003;43936.4;992;j
XM-MER;ahweal992j;p71p100;2004;46891.1;992;j
XM-MER;ahweal992j;p71p100;2005;47358.9;992;j
XM-MER;ahweal992j;p71p100;2006;50813.8;992;j
XM-MER;ahweal992j;p71p100;2007;53348.5;992;j
XM-MER;ahweal992j;p71p100;2008;52742.1;992;j
XM-MER;ahweal992j;p71p100;2009;52005.8;992;j
XM-MER;ahweal992j;p71p100;2010;53094.7;992;j
XM-MER;ahweal992j;p71p100;2011;54037.0;992;j
XM-MER;ahweal992j;p71p100;2012;53797.2;992;j
XM-MER;ahweal992j;p71p100;2013;54782.3;992;j
XM-MER;ahweal992j;p71p100;2014;56544.6;992;j
XM-MER;ahweal992j;p71p100;2015;59443.5;992;j
XM-MER;ahweal992j;p71p100;2016;62815.3;992;j
XM-MER;ahweal992j;p71p100;2017;64209.5;992;j
XM-MER;ahweal992j;p71p100;2018;64338.7;992;j
XM-MER;ahweal992j;p71p100;2019;64346.3;992;j
XM-MER;ahweal992j;p71p100;2020;63687.7;992;j
XM-MER;ahweal992j;p71p100;2021;63996.7;992;j
XM-MER;ahweal992j;p8p100;1995;11416.2;992;j
XM-MER;ahweal992j;p8p100;1996;11848.4;992;j
XM-MER;ahweal992j;p8p100;1997;12567.8;992;j
XM-MER;ahweal992j;p8p100;1998;13271.1;992;j
XM-MER;ahweal992j;p8p100;1999;13117.2;992;j
XM-MER;ahweal992j;p8p100;2000;13446.4;992;j
XM-MER;ahweal992j;p8p100;2001;13426.5;992;j
XM-MER;ahweal992j;p8p100;2002;13515.0;992;j
XM-MER;ahweal992j;p8p100;2003;14616.3;992;j
XM-MER;ahweal992j;p8p100;2004;15665.5;992;j
XM-MER;ahweal992j;p8p100;2005;15929.1;992;j
XM-MER;ahweal992j;p8p100;2006;17106.1;992;j
XM-MER;ahweal992j;p8p100;2007;17981.0;992;j
XM-MER;ahweal992j;p8p100;2008;17812.2;992;j
XM-MER;ahweal992j;p8p100;2009;17595.2;992;j
XM-MER;ahweal992j;p8p100;2010;17994.5;992;j
XM-MER;ahweal992j;p8p100;2011;18291.0;992;j
XM-MER;ahweal992j;p8p100;2012;18228.6;992;j
XM-MER;ahweal992j;p8p100;2013;18605.0;992;j
XM-MER;ahweal992j;p8p100;2014;19202.0;992;j
XM-MER;ahweal992j;p8p100;2015;20162.7;992;j
XM-MER;ahweal992j;p8p100;2016;21344.0;992;j
XM-MER;ahweal992j;p8p100;2017;21814.3;992;j
XM-MER;ahweal992j;p8p100;2018;21891.3;992;j
XM-MER;ahweal992j;p8p100;2019;21955.9;992;j
XM-MER;ahweal992j;p8p100;2020;21801.7;992;j
XM-MER;ahweal992j;p8p100;2021;21849.6;992;j
XM-MER;ahweal992j;p99.7p99.8;1995;446241.5;992;j
XM-MER;ahweal992j;p99.7p99.8;1996;450399.1;992;j
XM-MER;ahweal992j;p99.7p99.8;1997;482453.7;992;j
XM-MER;ahweal992j;p99.7p99.8;1998;489785.5;992;j
XM-MER;ahweal992j;p99.7p99.8;1999;515933.3;992;j
XM-MER;ahweal992j;p99.7p99.8;2000;517944.5;992;j
XM-MER;ahweal992j;p99.7p99.8;2001;518579.7;992;j
XM-MER;ahweal992j;p99.7p99.8;2002;504568.1;992;j
XM-MER;ahweal992j;p99.7p99.8;2003;544989.9;992;j
XM-MER;ahweal992j;p99.7p99.8;2004;584132.6;992;j
XM-MER;ahweal992j;p99.7p99.8;2005;570575.2;992;j
XM-MER;ahweal992j;p99.7p99.8;2006;596440.5;992;j
XM-MER;ahweal992j;p99.7p99.8;2007;636813.2;992;j
XM-MER;ahweal992j;p99.7p99.8;2008;611162.6;992;j
XM-MER;ahweal992j;p99.7p99.8;2009;598664.1;992;j
XM-MER;ahweal992j;p99.7p99.8;2010;596253.4;992;j
XM-MER;ahweal992j;p99.7p99.8;2011;594657.9;992;j
XM-MER;ahweal992j;p99.7p99.8;2012;584309.6;992;j
XM-MER;ahweal992j;p99.7p99.8;2013;581628.3;992;j
XM-MER;ahweal992j;p99.7p99.8;2014;596976.7;992;j
XM-MER;ahweal992j;p99.7p99.8;2015;624897.6;992;j
XM-MER;ahweal992j;p99.7p99.8;2016;677819.1;992;j
XM-MER;ahweal992j;p99.7p99.8;2017;681470.6;992;j
XM-MER;ahweal992j;p99.7p99.8;2018;707395.1;992;j
XM-MER;ahweal992j;p99.7p99.8;2019;705583.3;992;j
XM-MER;ahweal992j;p99.7p99.8;2020;669897.1;992;j
XM-MER;ahweal992j;p99.7p99.8;2021;700982.2;992;j
XM-MER;bptinc992j;p99.93p100;1980;1.99770045280456;992;j
XM-MER;bptinc992j;p99.93p100;1981;2.04667329788208;992;j
XM-MER;bptinc992j;p99.93p100;1982;1.96812748908997;992;j
XM-MER;bptinc992j;p99.93p100;1983;1.99647033214569;992;j
XM-MER;bptinc992j;p99.93p100;1984;2.02393507957458;992;j
XM-MER;bptinc992j;p99.93p100;1985;2.01711511611939;992;j
XM-MER;bptinc992j;p99.93p100;1986;2.08316707611084;992;j
XM-MER;bptinc992j;p99.93p100;1987;2.08633303642273;992;j
XM-MER;bptinc992j;p99.93p100;1988;2.06108379364014;992;j
XM-MER;bptinc992j;p99.93p100;1989;2.0550844669342;992;j
XM-MER;bptinc992j;p99.93p100;1990;1.96478223800659;992;j
XM-MER;bptinc992j;p99.93p100;1991;2.04212784767151;992;j
XM-MER;bptinc992j;p99.93p100;1992;2.05694794654846;992;j
XM-MER;bptinc992j;p99.93p100;1993;2.08941984176636;992;j
XM-MER;bptinc992j;p99.93p100;1994;2.06998801231384;992;j
XM-MER;bptinc992j;p99.93p100;1995;2.09157824516296;992;j
XM-MER;bptinc992j;p99.93p100;1996;2.09122610092163;992;j
XM-MER;bptinc992j;p99.93p100;1997;2.11632752418518;992;j
XM-MER;bptinc992j;p99.93p100;1998;2.1429295539856;992;j
XM-MER;bptinc992j;p99.93p100;1999;2.09115099906921;992;j
XM-MER;bptinc992j;p99.93p100;2000;2.08579206466675;992;j
XM-MER;bptinc992j;p99.93p100;2001;2.05487895011902;992;j
XM-MER;bptinc992j;p99.93p100;2002;2.092289686203;992;j
XM-MER;bptinc992j;p99.93p100;2003;2.1161675453186;992;j
XM-MER;bptinc992j;p99.93p100;2004;2.05511045455933;992;j
XM-MER;bptinc992j;p99.93p100;2005;2.00116968154907;992;j
XM-MER;bptinc992j;p99.93p100;2006;1.92705845832825;992;j
XM-MER;bptinc992j;p99.93p100;2007;1.94165933132172;992;j
XM-MER;bptinc992j;p99.93p100;2008;1.93925309181213;992;j
XM-MER;bptinc992j;p99.93p100;2009;1.90704452991486;992;j
XM-MER;bptinc992j;p99.93p100;2010;1.99707424640655;992;j
XM-MER;bptinc992j;p99.93p100;2011;2.04193544387817;992;j
XM-MER;bptinc992j;p99.93p100;2012;2.06608271598816;992;j
XM-MER;bptinc992j;p99.93p100;2013;2.08157682418823;992;j
XM-MER;bptinc992j;p99.93p100;2014;2.07608962059021;992;j
XM-MER;bptinc992j;p99.93p100;2015;2.05221486091614;992;j
XM-MER;bptinc992j;p99.93p100;2016;2.06401300430298;992;j
XM-MER;bptinc992j;p99.93p100;2017;2.06130862236023;992;j
XM-MER;bptinc992j;p99.93p100;2018;2.04299163818359;992;j
XM-MER;bptinc992j;p99.93p100;2019;2.02986526489258;992;j
XM-MER;bptinc992j;p99.93p100;2020;2.05640482902527;992;j
XM-MER;bptinc992j;p99.93p100;2021;2.05646538734436;992;j
XM-MER;shweal992j;p15p100;1995;1.0179;992;j
XM-MER;shweal992j;p15p100;1996;1.0176;992;j
XM-MER;shweal992j;p15p100;1997;1.0171;992;j
XM-MER;shweal992j;p15p100;1998;1.017;992;j
XM-MER;shweal992j;p15p100;1999;1.0174;992;j
XM-MER;shweal992j;p15p100;2000;1.0171;992;j
XM-MER;shweal992j;p15p100;2001;1.0172;992;j
XM-MER;shweal992j;p15p100;2002;1.0171;992;j
XM-MER;shweal992j;p15p100;2003;1.0175;992;j
XM-MER;shweal992j;p15p100;2004;1.0171;992;j
XM-MER;shweal992j;p15p100;2005;1.0151;992;j
XM-MER;shweal992j;p15p100;2006;1.0147;992;j
XM-MER;shweal992j;p15p100;2007;1.0159;992;j
XM-MER;shweal992j;p15p100;2008;1.0158;992;j
XM-MER;shweal992j;p15p100;2009;1.0156;992;j
XM-MER;shweal992j;p15p100;2010;1.0155;992;j
XM-MER;shweal992j;p15p100;2011;1.0154;992;j
XM-MER;shweal992j;p15p100;2012;1.0152;992;j
XM-MER;shweal992j;p15p100;2013;1.0151;992;j
XM-MER;shweal992j;p15p100;2014;1.0151;992;j
XM-MER;shweal992j;p15p100;2015;1.0149;992;j
XM-MER;shweal992j;p15p100;2016;1.0153;992;j
XM-MER;shweal992j;p15p100;2017;1.0153;992;j
XM-MER;shweal992j;p15p100;2018;1.0154;992;j
XM-MER;shweal992j;p15p100;2019;1.0155;992;j
XM-MER;shweal992j;p15p100;2020;1.0155;992;j
XM-MER;shweal992j;p15p100;2021;1.0155;992;j
XM-MER;shweal992j;p33p100;1995;1.0148;992;j
XM-MER;shweal992j;p33p100;1996;1.0144;992;j
XM-MER;shweal992j;p33p100;1997;1.0139;992;j
XM-MER;shweal992j;p33p100;1998;1.0137;992;j
XM-MER;shweal992j;p33p100;1999;1.014;992;j
XM-MER;shweal992j;p33p100;2000;1.0136;992;j
XM-MER;shweal992j;p33p100;2001;1.0136;992;j
XM-MER;shweal992j;p33p100;2002;1.0132;992;j
XM-MER;shweal992j;p33p100;2003;1.0136;992;j
XM-MER;shweal992j;p33p100;2004;1.0127;992;j
XM-MER;shweal992j;p33p100;2005;1.0102;992;j
XM-MER;shweal992j;p33p100;2006;1.0097;992;j
XM-MER;shweal992j;p33p100;2007;1.0108;992;j
XM-MER;shweal992j;p33p100;2008;1.0105;992;j
XM-MER;shweal992j;p33p100;2009;1.0102;992;j
XM-MER;shweal992j;p33p100;2010;1.0099;992;j
