country;variable;percentile;year;value;age;pop
XM;ahweal992j;p33p34;1995;662.4;992;j
XM;ahweal992j;p33p34;1996;691.8;992;j
XM;ahweal992j;p33p34;1997;730.7;992;j
XM;ahweal992j;p33p34;1998;813.1;992;j
XM;ahweal992j;p33p34;1999;833.6;992;j
XM;ahweal992j;p33p34;2000;880.5;992;j
XM;ahweal992j;p33p34;2001;905.6;992;j
XM;ahweal992j;p33p34;2002;983.4;992;j
XM;ahweal992j;p33p34;2003;1039.1;992;j
XM;ahweal992j;p33p34;2004;1232.4;992;j
XM;ahweal992j;p33p34;2005;1381.2;992;j
XM;ahweal992j;p33p34;2006;1522.0;992;j
XM;ahweal992j;p33p34;2007;1594.9;992;j
XM;ahweal992j;p33p34;2008;1667.7;992;j
XM;ahweal992j;p33p34;2009;1690.4;992;j
XM;ahweal992j;p33p34;2010;1739.7;992;j
XM;ahweal992j;p33p34;2011;1742.2;992;j
XM;ahweal992j;p33p34;2012;1764.9;992;j
XM;ahweal992j;p33p34;2013;1853.4;992;j
XM;ahweal992j;p33p34;2014;1910.8;992;j
XM;ahweal992j;p33p34;2015;1946.6;992;j
XM;ahweal992j;p33p34;2016;2085.6;992;j
XM;ahweal992j;p33p34;2017;2101.7;992;j
XM;ahweal992j;p33p34;2018;2158.2;992;j
XM;ahweal992j;p33p34;2019;2243.1;992;j
XM;ahweal992j;p33p34;2020;2312.2;992;j
XM;ahweal992j;p33p34;2021;2424.7;992;j
XM;ahweal992j;p54p55;1995;2010.0;992;j
XM;ahweal992j;p54p55;1996;2094.4;992;j
XM;ahweal992j;p54p55;1997;2201.0;992;j
XM;ahweal992j;p54p55;1998;2365.5;992;j
XM;ahweal992j;p54p55;1999;2409.8;992;j
XM;ahweal992j;p54p55;2000;2509.4;992;j
XM;ahweal992j;p54p55;2001;2579.5;992;j
XM;ahweal992j;p54p55;2002;2790.4;992;j
XM;ahweal992j;p54p55;2003;3052.2;992;j
XM;ahweal992j;p54p55;2004;3508.8;992;j
XM;ahweal992j;p54p55;2005;3970.3;992;j
XM;ahweal992j;p54p55;2006;4389.3;992;j
XM;ahweal992j;p54p55;2007;4651.5;992;j
XM;ahweal992j;p54p55;2008;4739.0;992;j
XM;ahweal992j;p54p55;2009;4779.6;992;j
XM;ahweal992j;p54p55;2010;4958.1;992;j
XM;ahweal992j;p54p55;2011;5008.0;992;j
XM;ahweal992j;p54p55;2012;5052.0;992;j
XM;ahweal992j;p54p55;2013;5335.1;992;j
XM;ahweal992j;p54p55;2014;5523.3;992;j
XM;ahweal992j;p54p55;2015;5793.5;992;j
XM;ahweal992j;p54p55;2016;6268.4;992;j
XM;ahweal992j;p54p55;2017;6411.9;992;j
XM;ahweal992j;p54p55;2018;6564.5;992;j
XM;ahweal992j;p54p55;2019;6836.9;992;j
XM;ahweal992j;p54p55;2020;7109.5;992;j
XM;ahweal992j;p54p55;2021;7351.1;992;j
XM;aptinc992j;p36p100;1980;31970.4;992;j
XM;aptinc992j;p36p100;1981;31320.2;992;j
XM;aptinc992j;p36p100;1982;29018.4;992;j
XM;aptinc992j;p36p100;1983;27616.6;992;j
XM;aptinc992j;p36p100;1984;26675.3;992;j
XM;aptinc992j;p36p100;1985;25419.7;992;j
XM;aptinc992j;p36p100;1986;26286.2;992;j
XM;aptinc992j;p36p100;1987;25456.7;992;j
XM;aptinc992j;p36p100;1988;25697.4;992;j
XM;aptinc992j;p36p100;1989;25739.8;992;j
XM;aptinc992j;p36p100;1990;27580.4;992;j
XM;aptinc992j;p36p100;1991;27439.3;992;j
XM;aptinc992j;p36p100;1992;28072.8;992;j
XM;aptinc992j;p36p100;1993;28307.7;992;j
XM;aptinc992j;p36p100;1994;27553.3;992;j
XM;aptinc992j;p36p100;1995;27922.1;992;j
XM;aptinc992j;p36p100;1996;28150.4;992;j
XM;aptinc992j;p36p100;1997;28786.6;992;j
XM;aptinc992j;p36p100;1998;28863.8;992;j
XM;aptinc992j;p36p100;1999;28003.9;992;j
XM;aptinc992j;p36p100;2000;28971.9;992;j
XM;aptinc992j;p36p100;2001;27583.7;992;j
XM;aptinc992j;p36p100;2002;27322.4;992;j
XM;aptinc992j;p36p100;2003;28004.6;992;j
XM;aptinc992j;p36p100;2004;29605.8;992;j
XM;aptinc992j;p36p100;2005;30334.5;992;j
XM;aptinc992j;p36p100;2006;31246.6;992;j
XM;aptinc992j;p36p100;2007;31730.8;992;j
XM;aptinc992j;p36p100;2008;31771.3;992;j
XM;aptinc992j;p36p100;2009;29788.1;992;j
XM;aptinc992j;p36p100;2010;30550.5;992;j
XM;aptinc992j;p36p100;2011;31992.1;992;j
XM;aptinc992j;p36p100;2012;32016.0;992;j
XM;aptinc992j;p36p100;2013;32374.4;992;j
XM;aptinc992j;p36p100;2014;32663.4;992;j
XM;aptinc992j;p36p100;2015;32872.0;992;j
XM;aptinc992j;p36p100;2016;34093.3;992;j
XM;aptinc992j;p36p100;2017;34309.7;992;j
XM;aptinc992j;p36p100;2018;33629.0;992;j
XM;aptinc992j;p36p100;2019;32846.4;992;j
XM;aptinc992j;p36p100;2020;31738.0;992;j
XM;aptinc992j;p36p100;2021;32394.6;992;j
XM;aptinc992j;p99.2p100;1980;866303.3;992;j
