country;variable;percentile;year;value;age;pop
XN-MER;ahweal992j;p11p12;1995;31.8;992;j
XN-MER;ahweal992j;p11p12;1996;34.0;992;j
XN-MER;ahweal992j;p11p12;1997;36.1;992;j
XN-MER;ahweal992j;p11p12;1998;39.2;992;j
XN-MER;ahweal992j;p11p12;1999;42.2;992;j
XN-MER;ahweal992j;p11p12;2000;43.2;992;j
XN-MER;ahweal992j;p11p12;2001;44.3;992;j
XN-MER;ahweal992j;p11p12;2002;49.2;992;j
XN-MER;ahweal992j;p11p12;2003;52.6;992;j
XN-MER;ahweal992j;p11p12;2004;62.3;992;j
XN-MER;ahweal992j;p11p12;2005;68.8;992;j
XN-MER;ahweal992j;p11p12;2006;74.6;992;j
XN-MER;ahweal992j;p11p12;2007;75.1;992;j
XN-MER;ahweal992j;p11p12;2008;81.6;992;j
XN-MER;ahweal992j;p11p12;2009;82.0;992;j
XN-MER;ahweal992j;p11p12;2010;85.1;992;j
XN-MER;ahweal992j;p11p12;2011;86.3;992;j
XN-MER;ahweal992j;p11p12;2012;84.7;992;j
XN-MER;ahweal992j;p11p12;2013;85.0;992;j
XN-MER;ahweal992j;p11p12;2014;87.6;992;j
XN-MER;ahweal992j;p11p12;2015;91.5;992;j
XN-MER;ahweal992j;p11p12;2016;95.9;992;j
XN-MER;ahweal992j;p11p12;2017;99.4;992;j
XN-MER;ahweal992j;p11p12;2018;102.1;992;j
XN-MER;ahweal992j;p11p12;2019;105.6;992;j
XN-MER;ahweal992j;p11p12;2020;108.2;992;j
XN-MER;ahweal992j;p11p12;2021;106.3;992;j
XN-MER;ahweal992j;p77p100;1995;39740.0;992;j
XN-MER;ahweal992j;p77p100;1996;40714.5;992;j
XN-MER;ahweal992j;p77p100;1997;42777.9;992;j
XN-MER;ahweal992j;p77p100;1998;44857.0;992;j
XN-MER;ahweal992j;p77p100;1999;44983.1;992;j
XN-MER;ahweal992j;p77p100;2000;46430.6;992;j
XN-MER;ahweal992j;p77p100;2001;46727.4;992;j
XN-MER;ahweal992j;p77p100;2002;47137.9;992;j
XN-MER;ahweal992j;p77p100;2003;49731.0;992;j
XN-MER;ahweal992j;p77p100;2004;52941.2;992;j
XN-MER;ahweal992j;p77p100;2005;54654.6;992;j
XN-MER;ahweal992j;p77p100;2006;58477.4;992;j
XN-MER;ahweal992j;p77p100;2007;61489.7;992;j
XN-MER;ahweal992j;p77p100;2008;61297.7;992;j
XN-MER;ahweal992j;p77p100;2009;61891.1;992;j
XN-MER;ahweal992j;p77p100;2010;63996.7;992;j
XN-MER;ahweal992j;p77p100;2011;64447.1;992;j
XN-MER;ahweal992j;p77p100;2012;65040.2;992;j
XN-MER;ahweal992j;p77p100;2013;66899.6;992;j
XN-MER;ahweal992j;p77p100;2014;69123.5;992;j
XN-MER;ahweal992j;p77p100;2015;71895.4;992;j
XN-MER;ahweal992j;p77p100;2016;76480.1;992;j
XN-MER;ahweal992j;p77p100;2017;78343.3;992;j
XN-MER;ahweal992j;p77p100;2018;79353.7;992;j
XN-MER;ahweal992j;p77p100;2019;80127.1;992;j
XN-MER;ahweal992j;p77p100;2020;78380.2;992;j
XN-MER;ahweal992j;p77p100;2021;80372.9;992;j
XN-MER;bptinc992j;p8p100;1980;57.3019752502441;992;j
XN-MER;bptinc992j;p8p100;1981;54.2324104309082;992;j
XN-MER;bptinc992j;p8p100;1982;51.9920883178711;992;j
XN-MER;bptinc992j;p8p100;1983;50.5025939941406;992;j
XN-MER;bptinc992j;p8p100;1984;48.474365234375;992;j
