country;variable;percentile;year;value;age;pop
XR-MER;ahweal992j;p16p100;1995;6862.0;992;j
XR-MER;ahweal992j;p16p100;1996;7862.3;992;j
XR-MER;ahweal992j;p16p100;1997;8867.1;992;j
XR-MER;ahweal992j;p16p100;1998;9385.5;992;j
XR-MER;ahweal992j;p16p100;1999;9345.0;992;j
XR-MER;ahweal992j;p16p100;2000;9241.4;992;j
XR-MER;ahweal992j;p16p100;2001;9990.4;992;j
XR-MER;ahweal992j;p16p100;2002;11389.6;992;j
XR-MER;ahweal992j;p16p100;2003;12773.4;992;j
XR-MER;ahweal992j;p16p100;2004;13831.6;992;j
XR-MER;ahweal992j;p16p100;2005;14232.2;992;j
XR-MER;ahweal992j;p16p100;2006;17768.2;992;j
XR-MER;ahweal992j;p16p100;2007;21664.0;992;j
XR-MER;ahweal992j;p16p100;2008;22886.5;992;j
XR-MER;ahweal992j;p16p100;2009;22282.2;992;j
XR-MER;ahweal992j;p16p100;2010;21906.7;992;j
XR-MER;ahweal992j;p16p100;2011;19795.7;992;j
XR-MER;ahweal992j;p16p100;2012;19873.9;992;j
XR-MER;ahweal992j;p16p100;2013;20751.2;992;j
XR-MER;ahweal992j;p16p100;2014;21223.0;992;j
XR-MER;ahweal992j;p16p100;2015;22144.4;992;j
XR-MER;ahweal992j;p16p100;2016;21246.2;992;j
XR-MER;ahweal992j;p16p100;2017;21131.6;992;j
XR-MER;ahweal992j;p16p100;2018;20117.8;992;j
XR-MER;ahweal992j;p16p100;2019;21245.4;992;j
XR-MER;ahweal992j;p16p100;2020;22134.3;992;j
XR-MER;ahweal992j;p16p100;2021;21570.9;992;j
XR-MER;ahweal992j;p34p100;1995;8595.8;992;j
XR-MER;ahweal992j;p34p100;1996;9864.5;992;j
XR-MER;ahweal992j;p34p100;1997;11139.6;992;j
XR-MER;ahweal992j;p34p100;1998;11796.8;992;j
XR-MER;ahweal992j;p34p100;1999;11748.1;992;j
XR-MER;ahweal992j;p34p100;2000;11609.0;992;j
XR-MER;ahweal992j;p34p100;2001;12552.8;992;j
XR-MER;ahweal992j;p34p100;2002;14310.8;992;j
XR-MER;ahweal992j;p34p100;2003;16058.5;992;j
