country;variable;percentile;year;value;age;pop
XR;ahweal992j;p39p40;1995;2597.3;992;j
XR;ahweal992j;p39p40;1996;2649.9;992;j
XR;ahweal992j;p39p40;1997;2584.7;992;j
XR;ahweal992j;p39p40;1998;2584.0;992;j
XR;ahweal992j;p39p40;1999;2416.3;992;j
XR;ahweal992j;p39p40;2000;2531.8;992;j
XR;ahweal992j;p39p40;2001;2580.9;992;j
XR;ahweal992j;p39p40;2002;3024.9;992;j
XR;ahweal992j;p39p40;2003;3151.1;992;j
XR;ahweal992j;p39p40;2004;3392.8;992;j
XR;ahweal992j;p39p40;2005;3667.9;992;j
XR;ahweal992j;p39p40;2006;4419.0;992;j
XR;ahweal992j;p39p40;2007;5259.4;992;j
XR;ahweal992j;p39p40;2008;5157.2;992;j
XR;ahweal992j;p39p40;2009;5593.4;992;j
XR;ahweal992j;p39p40;2010;4417.7;992;j
XR;ahweal992j;p39p40;2011;4140.7;992;j
XR;ahweal992j;p39p40;2012;4402.0;992;j
XR;ahweal992j;p39p40;2013;4698.5;992;j
XR;ahweal992j;p39p40;2014;4631.1;992;j
XR;ahweal992j;p39p40;2015;4669.4;992;j
XR;ahweal992j;p39p40;2016;4346.1;992;j
XR;ahweal992j;p39p40;2017;4573.3;992;j
XR;ahweal992j;p39p40;2018;4610.5;992;j
XR;ahweal992j;p39p40;2019;4915.2;992;j
XR;ahweal992j;p39p40;2020;4769.6;992;j
XR;ahweal992j;p39p40;2021;5420.5;992;j
XR;ahweal992j;p73p74;1995;10747.2;992;j
XR;ahweal992j;p73p74;1996;11385.2;992;j
XR;ahweal992j;p73p74;1997;11185.3;992;j
XR;ahweal992j;p73p74;1998;11155.2;992;j
XR;ahweal992j;p73p74;1999;10222.2;992;j
XR;ahweal992j;p73p74;2000;10588.3;992;j
XR;ahweal992j;p73p74;2001;10842.4;992;j
XR;ahweal992j;p73p74;2002;13217.5;992;j
XR;ahweal992j;p73p74;2003;13818.0;992;j
XR;ahweal992j;p73p74;2004;14803.6;992;j
XR;ahweal992j;p73p74;2005;16298.4;992;j
XR;ahweal992j;p73p74;2006;20579.3;992;j
XR;ahweal992j;p73p74;2007;25429.4;992;j
XR;ahweal992j;p73p74;2008;24480.9;992;j
XR;ahweal992j;p73p74;2009;28074.1;992;j
XR;ahweal992j;p73p74;2010;24682.3;992;j
XR;ahweal992j;p73p74;2011;20939.5;992;j
XR;ahweal992j;p73p74;2012;21887.3;992;j
XR;ahweal992j;p73p74;2013;23106.2;992;j
XR;ahweal992j;p73p74;2014;23362.5;992;j
XR;ahweal992j;p73p74;2015;22253.3;992;j
XR;ahweal992j;p73p74;2016;20516.7;992;j
XR;ahweal992j;p73p74;2017;20867.9;992;j
XR;ahweal992j;p73p74;2018;20756.5;992;j
XR;ahweal992j;p73p74;2019;22054.5;992;j
XR;ahweal992j;p73p74;2020;21524.1;992;j
XR;ahweal992j;p73p74;2021;24171.1;992;j
XR;aptinc992j;p25p26;1980;6435.8;992;j
XR;aptinc992j;p25p26;1981;6410.0;992;j
XR;aptinc992j;p25p26;1982;6402.9;992;j
XR;aptinc992j;p25p26;1983;6258.4;992;j
XR;aptinc992j;p25p26;1984;6179.3;992;j
XR;aptinc992j;p25p26;1985;6128.4;992;j
XR;aptinc992j;p25p26;1986;6048.1;992;j
XR;aptinc992j;p25p26;1987;5939.8;992;j
XR;aptinc992j;p25p26;1988;6086.8;992;j
XR;aptinc992j;p25p26;1989;6313.1;992;j
XR;aptinc992j;p25p26;1990;6145.8;992;j
XR;aptinc992j;p25p26;1991;5801.5;992;j
XR;aptinc992j;p25p26;1992;4556.3;992;j
XR;aptinc992j;p25p26;1993;3776.1;992;j
XR;aptinc992j;p25p26;1994;2725.5;992;j
XR;aptinc992j;p25p26;1995;2228.2;992;j
XR;aptinc992j;p25p26;1996;1699.5;992;j
XR;aptinc992j;p25p26;1997;2118.1;992;j
XR;aptinc992j;p25p26;1998;2428.8;992;j
XR;aptinc992j;p25p26;1999;2618.8;992;j
XR;aptinc992j;p25p26;2000;2722.0;992;j
XR;aptinc992j;p25p26;2001;2842.8;992;j
XR;aptinc992j;p25p26;2002;3032.1;992;j
XR;aptinc992j;p25p26;2003;3156.6;992;j
XR;aptinc992j;p25p26;2004;3594.6;992;j
XR;aptinc992j;p25p26;2005;3827.3;992;j
XR;aptinc992j;p25p26;2006;4029.8;992;j
XR;aptinc992j;p25p26;2007;4267.1;992;j
XR;aptinc992j;p25p26;2008;4694.5;992;j
XR;aptinc992j;p25p26;2009;4663.2;992;j
XR;aptinc992j;p25p26;2010;5150.1;992;j
XR;aptinc992j;p25p26;2011;5274.5;992;j
XR;aptinc992j;p25p26;2012;5640.7;992;j
XR;aptinc992j;p25p26;2013;5607.8;992;j
XR;aptinc992j;p25p26;2014;5506.1;992;j
XR;aptinc992j;p25p26;2015;5299.5;992;j
XR;aptinc992j;p25p26;2016;5050.3;992;j
XR;aptinc992j;p25p26;2017;5179.0;992;j
XR;aptinc992j;p25p26;2018;5471.5;992;j
XR;aptinc992j;p25p26;2019;5618.7;992;j
XR;aptinc992j;p25p26;2020;5419.8;992;j
XR;aptinc992j;p25p26;2021;5590.9;992;j
XR;aptinc992j;p78p79;1980;21875.6;992;j
XR;aptinc992j;p78p79;1981;21804.0;992;j
XR;aptinc992j;p78p79;1982;21890.5;992;j
XR;aptinc992j;p78p79;1983;21964.3;992;j
XR;aptinc992j;p78p79;1984;21843.7;992;j
XR;aptinc992j;p78p79;1985;22003.3;992;j
XR;aptinc992j;p78p79;1986;22145.4;992;j
XR;aptinc992j;p78p79;1987;21828.6;992;j
XR;aptinc992j;p78p79;1988;22389.0;992;j
XR;aptinc992j;p78p79;1989;22405.0;992;j
XR;aptinc992j;p78p79;1990;21730.8;992;j
XR;aptinc992j;p78p79;1991;22155.7;992;j
XR;aptinc992j;p78p79;1992;17455.9;992;j
XR;aptinc992j;p78p79;1993;14972.5;992;j
XR;aptinc992j;p78p79;1994;11599.5;992;j
XR;aptinc992j;p78p79;1995;9947.7;992;j
XR;aptinc992j;p78p79;1996;10228.2;992;j
XR;aptinc992j;p78p79;1997;10393.8;992;j
XR;aptinc992j;p78p79;1998;9933.6;992;j
XR;aptinc992j;p78p79;1999;10166.8;992;j
XR;aptinc992j;p78p79;2000;10635.9;992;j
XR;aptinc992j;p78p79;2001;11094.6;992;j
XR;aptinc992j;p78p79;2002;11960.9;992;j
XR;aptinc992j;p78p79;2003;12767.0;992;j
XR;aptinc992j;p78p79;2004;14335.9;992;j
XR;aptinc992j;p78p79;2005;14913.3;992;j
XR;aptinc992j;p78p79;2006;15767.6;992;j
XR;aptinc992j;p78p79;2007;17269.3;992;j
XR;aptinc992j;p78p79;2008;17886.8;992;j
XR;aptinc992j;p78p79;2009;16401.6;992;j
XR;aptinc992j;p78p79;2010;17987.9;992;j
XR;aptinc992j;p78p79;2011;18051.6;992;j
XR;aptinc992j;p78p79;2012;19348.2;992;j
XR;aptinc992j;p78p79;2013;19008.7;992;j
XR;aptinc992j;p78p79;2014;19576.3;992;j
XR;aptinc992j;p78p79;2015;19118.0;992;j
XR;aptinc992j;p78p79;2016;18264.2;992;j
XR;aptinc992j;p78p79;2017;18471.1;992;j
XR;aptinc992j;p78p79;2018;19069.7;992;j
XR;aptinc992j;p78p79;2019;19537.2;992;j
XR;aptinc992j;p78p79;2020;19014.5;992;j
XR;aptinc992j;p78p79;2021;19651.8;992;j
XR;aptinc992j;p96p100;1980;62463.4;992;j
XR;aptinc992j;p96p100;1981;63528.0;992;j
XR;aptinc992j;p96p100;1982;64369.3;992;j
XR;aptinc992j;p96p100;1983;65377.5;992;j
XR;aptinc992j;p96p100;1984;65658.7;992;j
XR;aptinc992j;p96p100;1985;65597.8;992;j
XR;aptinc992j;p96p100;1986;65869.4;992;j
XR;aptinc992j;p96p100;1987;65414.1;992;j
XR;aptinc992j;p96p100;1988;67344.3;992;j
XR;aptinc992j;p96p100;1989;71775.4;992;j
XR;aptinc992j;p96p100;1990;73322.9;992;j
XR;aptinc992j;p96p100;1991;73556.1;992;j
XR;aptinc992j;p96p100;1992;73592.1;992;j
XR;aptinc992j;p96p100;1993;67735.7;992;j
XR;aptinc992j;p96p100;1994;64692.0;992;j
XR;aptinc992j;p96p100;1995;58981.5;992;j
XR;aptinc992j;p96p100;1996;68852.8;992;j
XR;aptinc992j;p96p100;1997;67492.3;992;j
XR;aptinc992j;p96p100;1998;62497.5;992;j
XR;aptinc992j;p96p100;1999;75030.9;992;j
XR;aptinc992j;p96p100;2000;89645.0;992;j
XR;aptinc992j;p96p100;2001;99557.8;992;j
XR;aptinc992j;p96p100;2002;102781.9;992;j
XR;aptinc992j;p96p100;2003;107850.1;992;j
XR;aptinc992j;p96p100;2004;113387.4;992;j
XR;aptinc992j;p96p100;2005;121652.5;992;j
XR;aptinc992j;p96p100;2006;138441.0;992;j
XR;aptinc992j;p96p100;2007;150449.7;992;j
XR;aptinc992j;p96p100;2008;155316.5;992;j
XR;aptinc992j;p96p100;2009;131603.5;992;j
XR;aptinc992j;p96p100;2010;125704.6;992;j
XR;aptinc992j;p96p100;2011;143548.3;992;j
XR;aptinc992j;p96p100;2012;139023.5;992;j
XR;aptinc992j;p96p100;2013;144743.6;992;j
XR;aptinc992j;p96p100;2014;140201.9;992;j
XR;aptinc992j;p96p100;2015;136038.2;992;j
XR;aptinc992j;p96p100;2016;134394.9;992;j
XR;aptinc992j;p96p100;2017;139469.4;992;j
XR;aptinc992j;p96p100;2018;144306.2;992;j
XR;aptinc992j;p96p100;2019;147638.1;992;j
XR;aptinc992j;p96p100;2020;143186.6;992;j
XR;aptinc992j;p96p100;2021;148574.9;992;j
XR;aptinc992j;p99.2p100;1980;127672.9;992;j
XR;aptinc992j;p99.2p100;1981;128606.3;992;j
XR;aptinc992j;p99.2p100;1982;129488.1;992;j
XR;aptinc992j;p99.2p100;1983;131442.4;992;j
XR;aptinc992j;p99.2p100;1984;130843.5;992;j
XR;aptinc992j;p99.2p100;1985;133417.5;992;j
XR;aptinc992j;p99.2p100;1986;135642.7;992;j
XR;aptinc992j;p99.2p100;1987;135927.1;992;j
XR;aptinc992j;p99.2p100;1988;141374.1;992;j
XR;aptinc992j;p99.2p100;1989;151037.7;992;j
XR;aptinc992j;p99.2p100;1990;173921.4;992;j
XR;aptinc992j;p99.2p100;1991;187237.5;992;j
XR;aptinc992j;p99.2p100;1992;167269.2;992;j
XR;aptinc992j;p99.2p100;1993;159426.8;992;j
XR;aptinc992j;p99.2p100;1994;137440.3;992;j
XR;aptinc992j;p99.2p100;1995;133955.8;992;j
XR;aptinc992j;p99.2p100;1996;158590.7;992;j
XR;aptinc992j;p99.2p100;1997;162436.8;992;j
XR;aptinc992j;p99.2p100;1998;155684.1;992;j
XR;aptinc992j;p99.2p100;1999;204992.8;992;j
