country;variable;percentile;year;value;age;pop
XS-MER;ahweal992j;p50p51;1995;855.0;992;j
XS-MER;ahweal992j;p50p51;1996;908.5;992;j
XS-MER;ahweal992j;p50p51;1997;966.7;992;j
XS-MER;ahweal992j;p50p51;1998;965.2;992;j
XS-MER;ahweal992j;p50p51;1999;998.4;992;j
XS-MER;ahweal992j;p50p51;2000;1104.1;992;j
XS-MER;ahweal992j;p50p51;2001;1165.1;992;j
XS-MER;ahweal992j;p50p51;2002;1212.0;992;j
XS-MER;ahweal992j;p50p51;2003;1274.7;992;j
XS-MER;ahweal992j;p50p51;2004;1365.5;992;j
XS-MER;ahweal992j;p50p51;2005;1456.8;992;j
XS-MER;ahweal992j;p50p51;2006;1556.1;992;j
XS-MER;ahweal992j;p50p51;2007;1654.0;992;j
XS-MER;ahweal992j;p50p51;2008;1718.4;992;j
XS-MER;ahweal992j;p50p51;2009;1786.6;992;j
XS-MER;ahweal992j;p50p51;2010;1827.3;992;j
XS-MER;ahweal992j;p50p51;2011;1879.6;992;j
XS-MER;ahweal992j;p50p51;2012;2011.8;992;j
XS-MER;ahweal992j;p50p51;2013;2060.4;992;j
XS-MER;ahweal992j;p50p51;2014;2138.3;992;j
XS-MER;ahweal992j;p50p51;2015;2270.1;992;j
XS-MER;ahweal992j;p50p51;2016;2414.4;992;j
XS-MER;ahweal992j;p50p51;2017;2539.6;992;j
XS-MER;ahweal992j;p50p51;2018;2660.1;992;j
XS-MER;ahweal992j;p50p51;2019;2760.1;992;j
XS-MER;ahweal992j;p50p51;2020;2683.9;992;j
XS-MER;ahweal992j;p50p51;2021;2827.4;992;j
XS-MER;ahweal992j;p94p100;1995;27149.1;992;j
XS-MER;ahweal992j;p94p100;1996;28746.3;992;j
XS-MER;ahweal992j;p94p100;1997;30040.6;992;j
XS-MER;ahweal992j;p94p100;1998;29673.0;992;j
XS-MER;ahweal992j;p94p100;1999;30685.7;992;j
XS-MER;ahweal992j;p94p100;2000;32841.0;992;j
XS-MER;ahweal992j;p94p100;2001;33551.4;992;j
XS-MER;ahweal992j;p94p100;2002;34883.0;992;j
XS-MER;ahweal992j;p94p100;2003;36141.5;992;j
XS-MER;ahweal992j;p94p100;2004;38152.3;992;j
XS-MER;ahweal992j;p94p100;2005;40257.0;992;j
XS-MER;ahweal992j;p94p100;2006;43119.5;992;j
XS-MER;ahweal992j;p94p100;2007;47173.0;992;j
XS-MER;ahweal992j;p94p100;2008;52881.4;992;j
XS-MER;ahweal992j;p94p100;2009;53807.1;992;j
XS-MER;ahweal992j;p94p100;2010;60104.3;992;j
XS-MER;ahweal992j;p94p100;2011;67011.6;992;j
XS-MER;ahweal992j;p94p100;2012;70122.5;992;j
XS-MER;ahweal992j;p94p100;2013;72521.2;992;j
XS-MER;ahweal992j;p94p100;2014;78278.8;992;j
XS-MER;ahweal992j;p94p100;2015;80820.1;992;j
XS-MER;ahweal992j;p94p100;2016;86680.0;992;j
XS-MER;ahweal992j;p94p100;2017;89634.3;992;j
XS-MER;ahweal992j;p94p100;2018;93450.8;992;j
XS-MER;ahweal992j;p94p100;2019;97511.4;992;j
XS-MER;ahweal992j;p94p100;2020;93346.1;992;j
XS-MER;ahweal992j;p94p100;2021;100288.8;992;j
XS-MER;ahweal992j;p99.97p99.98;1995;440519.2;992;j
XS-MER;ahweal992j;p99.97p99.98;1996;459307.4;992;j
XS-MER;ahweal992j;p99.97p99.98;1997;452259.8;992;j
XS-MER;ahweal992j;p99.97p99.98;1998;439166.4;992;j
XS-MER;ahweal992j;p99.97p99.98;1999;458459.1;992;j
XS-MER;ahweal992j;p99.97p99.98;2000;473756.8;992;j
XS-MER;ahweal992j;p99.97p99.98;2001;485769.3;992;j
XS-MER;ahweal992j;p99.97p99.98;2002;520898.4;992;j
XS-MER;ahweal992j;p99.97p99.98;2003;517765.1;992;j
XS-MER;ahweal992j;p99.97p99.98;2004;536679.8;992;j
XS-MER;ahweal992j;p99.97p99.98;2005;560427.1;992;j
XS-MER;ahweal992j;p99.97p99.98;2006;608966.3;992;j
XS-MER;ahweal992j;p99.97p99.98;2007;656794.8;992;j
XS-MER;ahweal992j;p99.97p99.98;2008;749716.8;992;j
XS-MER;ahweal992j;p99.97p99.98;2009;828851.3;992;j
XS-MER;ahweal992j;p99.97p99.98;2010;889896.8;992;j
XS-MER;ahweal992j;p99.97p99.98;2011;945562.7;992;j
