"소득","가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액"
0,1011555,906735,104820
0,1030440,974607,55833
0,1047655,1047655,0
0,1048691,919099,129592
0,1049337,830471,218867
0,1050490,925490,125000
0,1060300,1060300,0
0,1078947,1054251,24697
0,1099702,948535,151167
0,1105519,1095754,9765
0,1107905,1053065,54840
0,1110780,1110780,0
0,1115254,1059721,55533
0,1126952,1041952,85000
0,1132336,1096836,35500
0,1148414,1036381,112033
0,1175500,1175500,0
0,1175502,1125502,50000
0,1181854,522999,658855
0,1205716,1101303,104413
0,1224344,1041030,183313
0,1228461,1054461,174000
0,1234658,1166950,67707
0,1246861,1048841,198020
0,1252435,1241935,10500
0,1272527,1181804,90723
0,1293520,1238715,54805
0,1305610,1305610,0
0,1308220,1268220,40000
0,1310094,1213071,97023
0,1310897,1143937,166960
0,1311976,1157236,154740
0,1313651,1293651,20000
0,1315310,1303990,11320
0,1324677,1322677,2000
0,1332440,1299773,32667
0,1334308,1031398,302910
0,1367543,1222600,144944
0,1383234,1369854,13380
0,1386301,1221707,164593
0,1396299,1123982,272317
0,1406930,999110,407820
0,1410108,1410108,0
0,1416044,1409794,6250
0,1422020,1381520,40500
0,1441814,1211064,230750
0,1451155,1269035,182120
0,1453188,1224514,228675
0,1465409,1241819,223590
0,1482846,1047726,435120
0,1496604,1346274,150330
0,1502613,1401613,101000
0,1518770,1418770,100000
0,1521683,1412017,109667
0,1548465,1363345,185120
0,1550145,824130,726015
0,1550888,817213,733675
0,1552676,1552676,0
0,1571916,928473,643443
0,1590957,1487051,103907
0,1594566,945515,649051
0,1599570,929570,670000
0,1611788,1304861,306927
0,1634787,1618121,16667
0,1641758,1509525,132233
0,1655804,911863,743942
0,1701139,1467199,233940
0,1755305,1604898,150407
0,1772902,1706236,66667
0,1781920,1556930,224990
0,1785310,1749810,35500
0,1840443,1557789,282653
0,1841381,1632078,209303
0,1850606,1748440,102167
0,1859471,1773398,86073
0,1915363,1583470,331893
0,1958082,1502399,455682
0,1962038,1663365,298673
0,1981671,1627111,354560
0,1993080,1963080,30000
0,1997473,1924080,73393
0,2016520,2016520,0
0,2036092,1752962,283130
0,2041545,1377050,664495
0,2062562,1335322,727240
0,2068950,2065617,3333
0,2069914,1993414,76500
0,2086986,1617436,469550
0,2133709,2094703,39007
0,2135225,1910225,225000
0,2176196,2089986,86210
0,2235338,2235338,0
0,2249775,2218438,31337
0,2265193,2175423,89770
0,2459645,2242885,216760
0,2505085,2473135,31950
0,2524433,961396,1563037
0,2593733,2277067,316667
0,261400,261400,0
0,2684678,2470752,213927
0,2685606,1704286,981320
0,2729729,2389744,339985
0,2816039,1706129,1109910
0,2919482,1871226,1048257
0,3032447,2937353,95093
0,3230433,2593102,637331
0,333326,290481,42845
0,3633952,3197452,436500
0,3807101,3304078,503023
0,402170,333783,68387
0,4051139,2168629,1882510
0,4068141,3197571,870570
0,4152503,4022503,130000
0,430281,377361,52920
0,4353007,3980647,372360
0,440790,370290,70500
0,447325,425658,21667
0,4615572,4376502,239070
0,505995,495995,10000
0,507504,442024,65480
0,5121444,4114139,1007305
0,5130825,4748905,381920
0,5315962,4567355,748607
0,536553,506553,30000
0,5466289,4916895,549393
0,548060,548060,0
0,5512193,5211473,300720
0,561780,547000,14780
0,5644785,5370382,274403
0,596860,425910,170950
0,6050829,5891629,159200
0,642739,632739,10000
0,6615908,5683188,932720
0,690222,603832,86390
0,706366,379076,327290
0,711334,697754,13580
0,712800,698100,14700
0,724672,704672,20000
0,730951,721061,9890
0,741437,446830,294607
0,744601,523601,221000
0,756211,746321,9890
0,764466,707485,56981
0,768469,583425,185043
0,769990,679630,90360
0,777933,722100,55833
0,793290,723220,70070
0,797491,727421,70070
0,801484,713461,88023
0,802177,711317,90860
0,803799,665799,138000
0,806847,758514,48333
0,808174,495384,312790
0,812010,797310,14700
0,818170,731170,87000
0,821090,718666,102423
0,827012,824512,2500
0,830027,830027,0
0,837800,837800,0
0,843652,763706,79945
0,845007,811007,34000
0,849602,648752,200850
0,861773,819613,42160
0,868895,731800,137095
0,872999,779129,93870
0,875490,859490,16000
0,890322,890322,0
0,897300,621277,276023
0,900568,727688,172880
0,914858,704701,210157
0,924308,839743,84565
0,925956,686623,239333
0,930571,925571,5000
0,943130,821774,121356
0,961860,864005,97855
0,967156,954656,12500
0,975461,805798,169663
0,982700,910917,71783
0,989415,698510,290905
0,996320,845867,150453
100000,1081109,1042729,38380
100000,1166947,1153427,13520
100000,141590,64960,76630
100000,158640,84010,74630
100000,1640017,1438017,202000
100000,178973,49190,129783
100000,3327042,2944535,382507
100000,785899,757899,28000
100000,896334,641334,255000
1000000,1054127,1047460,6667
1000000,1067182,1046742,20440
1000000,1118233,1063233,55000
1000000,1134630,1134630,0
1000000,1155389,1032526,122863
1000000,1233997,1218997,15000
1000000,1252229,1093396,158833
1000000,1302650,1302650,0
1000000,1313598,1255968,57630
1000000,1442962,1274599,168363
1000000,1465594,1415594,50000
1000000,1524006,1424006,100000
1000000,1531475,996995,534480
1000000,1541316,1491649,49667
1000000,1705604,1374762,330841
