"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
1000055,648106,351949,1,01,1
1000915,752887,248028,1,01,2
1001204,762024,239180,1,02,2
1001280,822610,178670,2,03,2
1001410,926410,75000,2,04,3
1001519,856941,144578,1,01,1
1001840,967840,34000,1,01,1
1001904,969404,32500,1,01,1
1001936,478752,523184,2,03,2
1002093,519291,482802,1,01,1
1002474,958054,44420,1,02,2
10025077,7476200,2548877,5,10,8
10039117,8513646,1525471,4,08,7
1004138,540805,463333,1,02,2
1004236,915976,88260,1,01,1
1004459,853509,150950,1,02,2
1004567,896234,108333,1,01,1
10049574,8005353,2044221,5,10,8
1005158,941458,63700,1,02,2
10051830,6591040,3460790,5,10,8
1005904,910994,94910,1,02,2
10062821,3917361,6145460,5,10,8
10067026,7945935,2121091,5,10,8
1006708,906708,100000,2,03,2
1007360,750775,256585,1,02,2
1007621,952671,54950,2,03,2
1008388,680393,327995,1,01,1
10085489,7092379,2993110,5,10,8
1008786,835686,173100,2,03,2
1008964,909173,99790,2,04,3
1009310,962560,46750,1,01,2
1009410,890743,118667,1,02,2
1009418,892198,117220,1,02,2
1009649,846464,163185,1,01,1
1009792,765889,243903,1,01,1
1009864,631164,378700,1,01,1
1010168,906588,103580,1,01,1
1010524,890524,120000,1,02,2
1010568,849330,161238,1,02,2
1010632,934194,76438,1,02,2
1010874,990596,20278,2,03,3
10110547,7537268,2573279,5,10,8
1011336,903234,108102,2,03,3
10113520,8295730,1817789,4,07,6
1011382,1011382,0,1,01,1
1011424,957591,53833,1,01,1
1011516,889633,121883,1,02,2
1011549,904461,107088,4,07,5
1011884,963344,48540,1,02,2
1012349,992939,19410,1,02,2
1012984,838324,174660,2,03,3
1013421,729087,284333,2,04,3
1013498,956015,57483,1,01,1
1014117,946104,68013,2,03,3
1014205,1002782,11423,2,03,2
1014207,874207,140000,1,02,2
1014323,804627,209697,2,03,2
1014331,989431,24900,1,02,2
1015036,846199,168837,2,03,3
1015104,1015104,0,1,01,1
1015230,591497,423734,1,02,2
1015475,959683,55792,4,07,5
1015739,995872,19867,2,04,3
1015810,1003727,12083,1,01,1
1016172,901342,114830,1,01,1
1017283,1017283,0,1,01,1
1017455,961915,55540,1,02,2
1017677,912677,105000,2,03,3
10183341,4008904,6174437,5,10,8
10184022,8050127,2133895,5,10,8
1018469,659829,358640,1,01,1
10192896,3801152,6391743,4,07,6
1019484,837908,181577,2,03,2
1020472,1015657,4815,1,02,2
10206609,4656719,5549890,5,10,8
1020688,689783,330905,1,02,2
1020773,965107,55667,1,01,1
1020774,931774,89000,1,02,2
1020939,908502,112437,2,03,2
1021011,903647,117364,1,02,2
10210460,1565606,8644854,5,10,8
1021236,556029,465207,1,02,2
1021390,823830,197560,2,03,2
1021519,963844,57675,1,02,2
10216110,9334324,881787,4,07,5
1021669,968537,53132,1,02,2
1021907,581907,440000,1,01,1
1021937,1017937,4000,1,01,2
1021997,983286,38712,1,02,2
1022064,775286,246778,2,03,3
1022249,930123,92126,1,01,1
1023235,977677,45558,1,02,2
1023516,981976,41540,1,01,1
1023629,833679,189950,1,01,1
1023669,929002,94667,1,01,1
1023694,1019694,4000,1,01,1
1023809,846598,177212,1,02,2
1023871,848091,175780,1,02,2
1024099,885766,138333,2,04,3
1024197,943614,80583,2,04,3
1024253,1024253,0,1,01,1
1024515,1009515,15000,1,02,2
1024659,967471,57188,1,02,2
1024722,945497,79225,1,02,2
10253554,6604874,3648680,5,10,8
1025487,912635,112852,1,02,2
1025608,922488,103120,2,04,3
1025710,432039,593671,2,03,2
1025715,927029,98686,1,01,1
10258923,9188504,1070418,5,09,8
10266780,7427051,2839728,5,10,8
1027240,813868,213372,1,02,2
1028701,1022859,5842,1,02,2
1028729,927279,101450,1,01,1
1028755,834711,194044,1,01,1
1028832,919498,109333,1,02,2
1029020,1010725,18295,2,03,2
1029180,936680,92500,1,01,1
1029237,948371,80867,1,02,2
1029340,826332,203008,3,05,4
10300074,8614170,1685903,5,10,8
1030069,815219,214850,3,05,4
1030291,720744,309547,1,02,2
1030623,999667,30957,1,01,2
10307999,9776003,531996,5,09,8
1030810,912477,118333,1,02,2
1030811,1015736,15075,1,01,1
10312563,7717902,2594661,5,09,8
1031269,944324,86945,1,02,2
1031740,1002925,28815,1,01,1
1031810,946305,85505,2,03,2
1031970,805694,226276,2,04,3
1032252,824890,207362,2,04,3
1032337,1014383,17953,1,01,1
10324074,5882626,4441447,5,10,8
10325234,7144999,3180235,5,10,8
1032551,932551,100000,1,02,2
1033545,865208,168337,2,03,3
1033676,956353,77323,3,06,4
10336901,9899920,436981,3,06,5
1033747,988747,45000,1,01,1
1034171,756717,277454,2,03,2
1034179,886074,148105,2,03,3
1034405,755022,279383,2,04,3
1035025,935025,100000,2,03,2
1035551,1002916,32635,1,02,2
1035737,793893,241843,1,01,1
10357816,8576551,1781265,5,10,8
1035808,1025592,10217,1,01,1
10358859,8404793,1954066,5,10,8
1035956,1035956,0,1,01,1
1035972,946441,89532,1,02,2
1036009,948138,87872,1,01,1
1036148,536148,500000,1,02,2
1036794,740791,296003,4,07,5
1036948,739328,297620,1,02,2
1037119,1008802,28317,1,02,2
1038248,1014441,23807,1,02,2
1038840,850690,188150,1,02,2
1039124,708699,330425,2,04,3
1039311,1039311,0,1,02,2
1039413,809747,229667,1,02,2
10395095,6769045,3626050,5,10,8
1039539,887039,152500,1,01,1
10395924,5955704,4440220,5,10,8
10403430,6709263,3694166,5,10,8
